ORF,Common Name,Uncharacterized?,Mitochondrial Ribosome?,In Gold Standard?,bioPIXIE Confidence,bioPIXIE Precision,MEFIT Confidence,MEFIT Precision,Spell Rank,Spell Precision,Ensemble Precision,Current Process Annotations
YOR266W,PNT1,0,0,1,0.868416,0.260274,18.9343,1,165,0.134831461,0.465035154, GO:0006996:organelle organization and biogenesis;  GO:0007005:mitochondrion organization and biogenesis;  GO:0007006:mitochondrial membrane organization and biogenesis;  GO:0007007:inner mitochondrial membrane organization and biogenesis;  GO:0008150:biological_process;  GO:0009987:cellular process;  GO:0016043:cellular component organization and biogenesis;  GO:0016044:membrane organization and biogenesis; 
YPL132W,COX11,0,0,0,0.232857,0.071622,17.8554,1,96,0.136363636,0.402661879, GO:0006091:generation of precursor metabolites and energy;  GO:0006461:protein complex assembly;  GO:0008150:biological_process;  GO:0008152:metabolic process;  GO:0009060:aerobic respiration;  GO:0009987:cellular process;  GO:0015980:energy derivation by oxidation of organic compounds;  GO:0016043:cellular component organization and biogenesis;  GO:0019538:protein metabolic process;  GO:0022607:cellular component assembly;  GO:0030154:cell differentiation;  GO:0032502:developmental process;  GO:0043170:macromolecule metabolic process;  GO:0044238:primary metabolic process;  GO:0045333:cellular respiration;  GO:0048468:cell development;  GO:0048869:cellular developmental process;  GO:0065003:macromolecular complex assembly; 
YDR194C,MSS116,0,0,0,1.152939,0.351351,17.2527,0.5,145,0.134831461,0.328727487," GO:0006139:nucleobase, nucleoside, nucleotide and nucleic acid metabolic process;  GO:0006396:RNA processing;  GO:0008150:biological_process;  GO:0008152:metabolic process;  GO:0008380:RNA splicing;  GO:0009987:cellular process;  GO:0016070:RNA metabolic process;  GO:0043170:macromolecule metabolic process;  GO:0043283:biopolymer metabolic process;  GO:0044237:cellular metabolic process;  GO:0044238:primary metabolic process; "
YMR109W,MYO5,0,0,0,2.995048,0.5625,,,1150,0.053993251,0.308246626," GO:0000003:reproduction;  GO:0000282:cellular bud site selection;  GO:0000902:cell morphogenesis;  GO:0000910:cytokinesis;  GO:0006810:transport;  GO:0006887:exocytosis;  GO:0006897:endocytosis;  GO:0006950:response to stress;  GO:0006970:response to osmotic stress;  GO:0007047:cell wall organization and biogenesis;  GO:0007105:cytokinesis, site selection;  GO:0007114:cell budding;  GO:0007121:bipolar cellular bud site selection;  GO:0007163:establishment and/or maintenance of cell polarity;  GO:0008150:biological_process;  GO:0009628:response to abiotic stimulus;  GO:0009651:response to salt stress;  GO:0009653:anatomical structure morphogenesis;  GO:0009987:cellular process;  GO:0010324:membrane invagination;  GO:0016043:cellular component organization and biogenesis;  GO:0016044:membrane organization and biogenesis;  GO:0016192:vesicle-mediated transport;  GO:0019954:asexual reproduction;  GO:0030010:establishment of cell polarity;  GO:0030467:establishment and/or maintenance of cell polarity (sensu Fungi);  GO:0030468:establishment of cell polarity (sensu Fungi);  GO:0032502:developmental process;  GO:0032505:reproduction of a single-celled organism;  GO:0032506:cytokinetic process;  GO:0032940:secretion by cell;  GO:0032989:cellular structure morphogenesis;  GO:0045045:secretory pathway;  GO:0045229:external encapsulating structure organization and biogenesis;  GO:0046903:secretion;  GO:0048856:anatomical structure development;  GO:0050896:response to stimulus;  GO:0051179:localization;  GO:0051234:establishment of localization;  GO:0051301:cell division;  GO:0051641:cellular localization;  GO:0051649:establishment of cellular localization; "
YNL284C,MRPL10,0,1,0,1.401214,0.446809,13.6753,0.222222222,8,0.222222222,0.297084481, GO:0006412:translation;  GO:0008150:biological_process;  GO:0008152:metabolic process;  GO:0009058:biosynthetic process;  GO:0009059:macromolecule biosynthetic process;  GO:0009987:cellular process;  GO:0019538:protein metabolic process;  GO:0043170:macromolecule metabolic process;  GO:0044237:cellular metabolic process;  GO:0044238:primary metabolic process;  GO:0044260:cellular macromolecule metabolic process;  GO:0044267:cellular protein metabolic process; 
YGR231C,PHB2,0,0,0,1.576128,0.514286,11.7667,0.148648649,17,0.222222222,0.29505229, GO:0001302:replicative cell aging;  GO:0006457:protein folding;  GO:0006508:proteolysis;  GO:0007568:aging;  GO:0007569:cell aging;  GO:0008150:biological_process;  GO:0008152:metabolic process;  GO:0009892:negative regulation of metabolic process;  GO:0009987:cellular process;  GO:0019222:regulation of metabolic process;  GO:0019538:protein metabolic process;  GO:0030162:regulation of proteolysis;  GO:0031323:regulation of cellular metabolic process;  GO:0031324:negative regulation of cellular metabolic process;  GO:0032502:developmental process;  GO:0043170:macromolecule metabolic process;  GO:0044237:cellular metabolic process;  GO:0044238:primary metabolic process;  GO:0044260:cellular macromolecule metabolic process;  GO:0044267:cellular protein metabolic process;  GO:0045861:negative regulation of proteolysis;  GO:0048519:negative regulation of biological process;  GO:0048523:negative regulation of cellular process;  GO:0050789:regulation of biological process;  GO:0050794:regulation of cellular process;  GO:0051246:regulation of protein metabolic process;  GO:0051248:negative regulation of protein metabolic process;  GO:0065007:biological regulation; 
YKL129C,MYO3,0,0,0,2.288682,0.541667,,,2217,0.03887936,0.29027318," GO:0000003:reproduction;  GO:0000282:cellular bud site selection;  GO:0000902:cell morphogenesis;  GO:0000910:cytokinesis;  GO:0006810:transport;  GO:0006887:exocytosis;  GO:0006897:endocytosis;  GO:0006950:response to stress;  GO:0006970:response to osmotic stress;  GO:0007047:cell wall organization and biogenesis;  GO:0007105:cytokinesis, site selection;  GO:0007114:cell budding;  GO:0007121:bipolar cellular bud site selection;  GO:0007163:establishment and/or maintenance of cell polarity;  GO:0008150:biological_process;  GO:0009628:response to abiotic stimulus;  GO:0009653:anatomical structure morphogenesis;  GO:0009987:cellular process;  GO:0010324:membrane invagination;  GO:0016043:cellular component organization and biogenesis;  GO:0016044:membrane organization and biogenesis;  GO:0016192:vesicle-mediated transport;  GO:0019954:asexual reproduction;  GO:0030010:establishment of cell polarity;  GO:0030467:establishment and/or maintenance of cell polarity (sensu Fungi);  GO:0030468:establishment of cell polarity (sensu Fungi);  GO:0032502:developmental process;  GO:0032505:reproduction of a single-celled organism;  GO:0032506:cytokinetic process;  GO:0032940:secretion by cell;  GO:0032989:cellular structure morphogenesis;  GO:0045045:secretory pathway;  GO:0045229:external encapsulating structure organization and biogenesis;  GO:0046903:secretion;  GO:0048856:anatomical structure development;  GO:0050896:response to stimulus;  GO:0051179:localization;  GO:0051234:establishment of localization;  GO:0051301:cell division;  GO:0051641:cellular localization;  GO:0051649:establishment of cellular localization; "
YNL121C,TOM70,0,0,1,1.241895,0.409836,14.0795,0.222222222,26,0.222222222,0.284760148, GO:0006605:protein targeting;  GO:0006626:protein targeting to mitochondrion;  GO:0006810:transport;  GO:0006839:mitochondrial transport;  GO:0006886:intracellular protein transport;  GO:0006996:organelle organization and biogenesis;  GO:0007005:mitochondrion organization and biogenesis;  GO:0007006:mitochondrial membrane organization and biogenesis;  GO:0007007:inner mitochondrial membrane organization and biogenesis;  GO:0008104:protein localization;  GO:0008150:biological_process;  GO:0009987:cellular process;  GO:0015031:protein transport;  GO:0016043:cellular component organization and biogenesis;  GO:0016044:membrane organization and biogenesis;  GO:0017038:protein import;  GO:0030150:protein import into mitochondrial matrix;  GO:0033036:macromolecule localization;  GO:0043681:protein import into mitochondrion;  GO:0045039:protein import into mitochondrial inner membrane;  GO:0045184:establishment of protein localization;  GO:0046907:intracellular transport;  GO:0051179:localization;  GO:0051234:establishment of localization;  GO:0051641:cellular localization;  GO:0051649:establishment of cellular localization; 
YGR220C,MRPL9,0,1,0,1.401214,0.446809,14.5751,0.222222222,39,0.176470588,0.281833937, GO:0000027:ribosomal large subunit assembly and maintenance;  GO:0006412:translation;  GO:0006996:organelle organization and biogenesis;  GO:0008150:biological_process;  GO:0008152:metabolic process;  GO:0009058:biosynthetic process;  GO:0009059:macromolecule biosynthetic process;  GO:0009987:cellular process;  GO:0016043:cellular component organization and biogenesis;  GO:0019538:protein metabolic process;  GO:0022607:cellular component assembly;  GO:0022613:ribonucleoprotein complex biogenesis and assembly;  GO:0022618:protein-RNA complex assembly;  GO:0030154:cell differentiation;  GO:0032502:developmental process;  GO:0042254:ribosome biogenesis and assembly;  GO:0042255:ribosome assembly;  GO:0042257:ribosomal subunit assembly;  GO:0042273:ribosomal large subunit biogenesis and assembly;  GO:0043170:macromolecule metabolic process;  GO:0044237:cellular metabolic process;  GO:0044238:primary metabolic process;  GO:0044260:cellular macromolecule metabolic process;  GO:0044267:cellular protein metabolic process;  GO:0048468:cell development;  GO:0048869:cellular developmental process;  GO:0065003:macromolecular complex assembly; 
YGR132C,PHB1,0,0,0,1.546523,0.486486,13.0879,0.166666667,29,0.181818182,0.278323616, GO:0001302:replicative cell aging;  GO:0006457:protein folding;  GO:0006508:proteolysis;  GO:0007568:aging;  GO:0007569:cell aging;  GO:0008150:biological_process;  GO:0008152:metabolic process;  GO:0009892:negative regulation of metabolic process;  GO:0009987:cellular process;  GO:0019222:regulation of metabolic process;  GO:0019538:protein metabolic process;  GO:0030162:regulation of proteolysis;  GO:0031323:regulation of cellular metabolic process;  GO:0031324:negative regulation of cellular metabolic process;  GO:0032502:developmental process;  GO:0043170:macromolecule metabolic process;  GO:0044237:cellular metabolic process;  GO:0044238:primary metabolic process;  GO:0044260:cellular macromolecule metabolic process;  GO:0044267:cellular protein metabolic process;  GO:0045861:negative regulation of proteolysis;  GO:0048519:negative regulation of biological process;  GO:0048523:negative regulation of cellular process;  GO:0050789:regulation of biological process;  GO:0050794:regulation of cellular process;  GO:0051246:regulation of protein metabolic process;  GO:0051248:negative regulation of protein metabolic process;  GO:0065007:biological regulation; 
