Gene,Rank,Positive,Negative,Agnostic,True Positive,False Positive,True Negative,False Negative,Accuracy,Precision,Recall,False Positive Rate,Selectivity
YPL118W,1,0,1,0,0,1,4809,291,0.942756322,0,0,0.0002079,0.9997921
YMR157C,2,0,1,0,0,2,4808,291,0.942560282,0,0,0.0004158,0.9995842
YMR024W,3,0,1,0,0,3,4807,291,0.942364242,0,0,0.000623701,0.999376299
YJR080C,4,1,0,0,1,3,4807,290,0.942560282,0.25,0.003436426,0.000623701,0.999376299
YDR116C,5,0,1,0,1,4,4806,290,0.942364242,0.2,0.003436426,0.000831601,0.999168399
YOR150W,6,0,1,0,1,5,4805,290,0.942168202,0.166666667,0.003436426,0.001039501,0.998960499
YNL137C,7,0,1,0,1,6,4804,290,0.941972162,0.142857143,0.003436426,0.001247401,0.998752599
YNL284C,8,0,1,0,1,7,4803,290,0.941776122,0.125,0.003436426,0.001455301,0.998544699
YJL180C,9,1,0,0,2,7,4803,289,0.941972162,0.222222222,0.006872852,0.001455301,0.998544699
YNL315C,10,1,0,0,3,7,4803,288,0.942168202,0.3,0.010309278,0.001455301,0.998544699
YBL038W,11,0,1,0,3,8,4802,288,0.941972162,0.272727273,0.010309278,0.001663202,0.998336798
YKL170W,12,0,1,0,3,9,4801,288,0.941776122,0.25,0.010309278,0.001871102,0.998128898
YMR089C,13,0,1,0,3,10,4800,288,0.941580082,0.230769231,0.010309278,0.002079002,0.997920998
YMR267W,14,0,1,0,3,11,4799,288,0.941384042,0.214285714,0.010309278,0.002286902,0.997713098
YMR193W,15,0,1,0,3,12,4798,288,0.941188002,0.2,0.010309278,0.002494802,0.997505198
YPL104W,16,0,1,0,3,13,4797,288,0.940991962,0.1875,0.010309278,0.002702703,0.997297297
YGR231C,17,1,0,0,4,13,4797,287,0.941188002,0.235294118,0.013745704,0.002702703,0.997297297
YKR006C,18,0,1,0,4,14,4796,287,0.940991962,0.222222222,0.013745704,0.002910603,0.997089397
YBR185C,19,1,0,0,5,14,4796,286,0.941188002,0.263157895,0.017182131,0.002910603,0.997089397
YHR147C,20,0,1,0,5,15,4795,286,0.940991962,0.25,0.017182131,0.003118503,0.996881497
YOR187W,21,0,1,0,5,16,4794,286,0.940795922,0.238095238,0.017182131,0.003326403,0.996673597
YDL202W,22,0,1,0,5,17,4793,286,0.940599882,0.227272727,0.017182131,0.003534304,0.996465696
YNL081C,23,0,1,0,5,18,4792,286,0.940403842,0.217391304,0.017182131,0.003742204,0.996257796
YEL050C,24,0,1,0,5,19,4791,286,0.940207802,0.208333333,0.017182131,0.003950104,0.996049896
YJR100C,25,1,0,0,6,19,4791,285,0.940403842,0.24,0.020618557,0.003950104,0.996049896
YNL121C,26,1,0,0,7,19,4791,284,0.940599882,0.269230769,0.024054983,0.003950104,0.996049896
YLR239C,27,0,1,0,7,20,4790,284,0.940403842,0.259259259,0.024054983,0.004158004,0.995841996
YJL096W,28,0,1,0,7,21,4789,284,0.940207802,0.25,0.024054983,0.004365904,0.995634096
YGR132C,29,1,0,0,8,21,4789,283,0.940403842,0.275862069,0.027491409,0.004365904,0.995634096
YLR163C,30,1,0,0,9,21,4789,282,0.940599882,0.3,0.030927835,0.004365904,0.995634096
YOR158W,31,0,1,0,9,22,4788,282,0.940403842,0.290322581,0.030927835,0.004573805,0.995426195
YLR203C,32,1,0,0,10,22,4788,281,0.940599882,0.3125,0.034364261,0.004573805,0.995426195
YBR146W,33,0,1,0,10,23,4787,281,0.940403842,0.303030303,0.034364261,0.004781705,0.995218295
YGR165W,34,0,1,0,10,24,4786,281,0.940207802,0.294117647,0.034364261,0.004989605,0.995010395
YKL194C,35,0,1,0,10,25,4785,281,0.940011762,0.285714286,0.034364261,0.005197505,0.994802495
