YORF	NAME	GWEIGHT	Primig00_SK1a alpha t 0	Primig00_SK1a alpha 1h	Primig00_SK1a alpha 2h	Primig00_SK1a alpha 3h	Primig00_SK1a alpha 4h	Primig00_SK1a alpha 6h	Primig00_SK1a alpha 8h	Primig00_SK1a alpha 10h	Primig00_SK1alpha alpha t 0	Primig00_SK1alpha alpha 2h	Primig00_SK1alpha alpha 4h	Primig00_SK1alpha alpha 6h	Primig00_SK1alpha alpha 8h	Primig00_W303a alpha t 0	Primig00_W303a alpha 2h	Primig00_W303a alpha 4h	Primig00_W303a alpha 6h	Primig00_W303a alpha 8h	Primig00_W303a alpha 10h	Primig00_W303a alpha 12h	Primig00_W303a a t 0	Primig00_W303a a 2h	Primig00_W303a a 4h	Primig00_ 6h
EWEIGHT			1.932851128625532	0.543731162774313	-0.21677832757832755	0.8680345299552388	0.5826518948497788	1.291616673746749	0.5126570637420813	0.4597420713081476	1.4945471311789336	1.3458262763455948	0.7888993046868248	1.7177336646285644	-0.34340216197483614	0.14452360370741008	-0.16720186935850956	0.400773899592114	-0.10582499977570525	1.855032854009437	1.423070328592621	0.3592948238276204	-0.47348062889223796	0.8268269776944539	-1.3168742170581718	0.2674470482020855
YDL025C	YDL025C	1.0	0.5278218667666732	-1.3872594389666548	-0.3988471106364907	-0.09445545797009391	-0.5616777726798619	0.5034954844226384	-0.7610893476692818	-0.7552964400492572	0.602415391577463	-0.4343820972993352	-1.9690686892149054	-0.7622382147921608	-2.032457325850547	0.7305629648403992	-1.5717137591190427	-1.0272785103076811	0.5228958010362734	0.009823100980563333	0.3644033617315557	0.5712298776181952	-1.9589710392737938	-0.2959373408059294	0.022007260433039622	-0.34307295349267247
YPR128C	YPR128C	1.0	1.10729835519033	2.11606395360443	-0.9928928079538845	1.2017800196218098	1.0392048484258998	1.1204427938343775	0.5604650331506597	-0.144405758571753	-0.725545192760662	0.5597447690794518	-0.1558264304378177	-1.875383408054262	-0.005910324735017183	0.8887262814089343	-0.9271288881356567	-0.7660160563122627	-1.044281005764924	1.0909503125233186	-0.7091151599456371	0.6553381485402756	-0.020649314276597212	0.10597681159126393	1.0139054569006745	0.6832165713984553
YKL032C	YKL032C	1.0	0.6804050454097824	-0.43508486542293723	-0.5522604962769131	-0.6699607783331359	-2.761836292240465	-1.7136916460006575	-0.5581265699336418	-0.8955509308635915	-0.3119344982815947	0.3468424613963138	-0.8469101719884568	-0.2919041978289215	1.4157187419027446	1.9479990213761074	1.515553586470982	-0.4075946618410608	1.3373384435593245	0.0882714669587972	0.8605529252785862	0.9443426872142086	-0.64037052812858	-0.31747499662141654	0.281356660933439	1.2424096517724477
YNL325C	YNL325C	1.0	-0.8467903888967148	0.14614492978499335	0.7513255930926976	-1.6690026884080131	-0.19408874011386065	1.6255758868811288	-0.259912216075078	-1.9433193537271285	0.6652321394680112	-0.5747479889134891	0.8845180649990162	0.6358889799919621	0.892076898861883	0.41847983843482567	-1.9408828406231788	-0.6890968270679549	0.9950786579998767	0.01717801670795931	-0.557615969301562	-1.3228276102672178	-0.8333523545436913	-0.03862300160799422	0.28969813342659473	-1.1175430893949214
YJR150C	YJR150C	1.0	2.9908901450163783	-1.8152991454625553	-2.109496525661125	0.07376231424594257	-1.0604321314451937	-0.4619361253732321	-0.9092266926124141	0.007612780623491467	-1.8939730026497628	-0.23065779178956436	0.5081260364652094	-0.5279162788836739	2.0670264151199196	-0.32380940805226005	0.23656785526396007	-0.41850674334302956	0.2891048769963827	0.7077900353267302	0.4011045933298536	-0.29444939524221325	0.7921993992917272	-1.6411045149577774	0.8038131693387986	-0.439807489128491
YPL201C	YPL201C	1.0	-1.2526356961543053	0.5900040087863409	1.7270317481326416	0.13510060101598695	2.611094370072774	1.6114697393608277	1.9714193078583426	2.0180375239740944	-1.6984820892179424	1.2165057938433805	0.976289286276255	-0.7524876040538059	0.4701531593806989	-0.37319771466629703	-0.21574196045021002	1.1426473011394267	2.158695482360937	-0.8691063274190679	0.5206538693507657	0.5634041512065637	2.9231995213577466	-0.27694286915351823	0.2353805085701329	-0.5179040392196828
YPR097W	YPR097W	1.0	-0.2988831431726772	1.674257418167433	-0.29135019520540034	0.527959846073703	0.5713498286028705	-0.4096200031503686	1.681208383125459	2.1272231829346655	1.6610732317045065	-0.4531458449084928	-0.9583782833374758	0.6763802210193051	0.7377185916410266	0.9473632269404776	0.750255840905472	-0.14681499578826648	0.5363231199685314	-0.4671271635406735	-0.5521132466814019	-0.19309447990204018	0.4799429554439708	1.1220974674905697	0.7112088645173098	2.367674267390665
YER048C	YER048C	1.0	0.9817817423597718	-0.8574815312820242	-0.1606175767154698	-0.4792736107893586	0.7891167447714044	-1.890194523633212	-0.9647307670111834	0.683664669894386	0.2513539312189995	1.6414728457219478	-0.4061641585798669	-0.19048498978566988	0.7914535974511551	0.035907872937468936	0.9860681837376969	0.7140297055268131	0.05428407320898798	0.05791848118168048	-0.3219773974702743	1.088598637743178	-0.8104831981339943	-0.07421903412944034	0.18262356090759913	-1.147987221617566
YIL114C	YIL114C	1.0	0.19540401042559077	1.0133634963571247	-0.5509903064039178	-0.8305588099632899	0.23431389828882146	-0.4600443065669806	0.6624459723600389	1.4606543037321886	0.010349315659976245	-0.18671963163213925	0.23809554659227516	0.14603646150675584	-2.1300274710753064	-0.7056226031398869	0.849025468114659	-0.29831025210346646	-1.7982309083059131	1.6603384135766952	1.479288374324581	-0.11494263610245617	0.08579271906684549	1.2292601072947416	-1.264810999376901	1.484550648580293
