Gene,Confidence,Positive,Negative,Agnostic,True Positive,False Positive,True Negative,False Negative,Accuracy,Precision,Recall,False Positive Rate,Selectivity
YOR266W,18.9343,1,0,0,1,0,3287,96,0.971631206,1,0.010309278,0,1
YHR091C,16.4763,0,0,1,1,0,3287,96,0.971631206,1,0.010309278,0,1
YOR354C,16.2839,0,1,0,1,1,3286,96,0.971335697,0.5,0.010309278,0.000304229,0.999695771
YLR069C,15.7958,0,0,1,1,1,3286,96,0.971335697,0.5,0.010309278,0.000304229,0.999695771
YOL023W,15.6336,0,0,1,1,1,3286,96,0.971335697,0.5,0.010309278,0.000304229,0.999695771
YKR085C,15.3374,1,0,0,2,1,3286,95,0.971631206,0.666666667,0.020618557,0.000304229,0.999695771
YGL115W,15.0485,0,1,0,2,2,3285,95,0.971335697,0.5,0.020618557,0.000608458,0.999391542
YNL121C,14.0795,1,0,0,3,2,3285,94,0.971631206,0.6,0.030927835,0.000608458,0.999391542
YGL236C,13.8591,0,0,1,3,2,3285,94,0.971631206,0.6,0.030927835,0.000608458,0.999391542
YOL033W,13.8494,0,0,1,3,2,3285,94,0.971631206,0.6,0.030927835,0.000608458,0.999391542
YJL063C,13.8058,1,0,0,4,2,3285,93,0.971926714,0.666666667,0.041237113,0.000608458,0.999391542
YPL104W,13.674,0,0,1,4,2,3285,93,0.971926714,0.666666667,0.041237113,0.000608458,0.999391542
YPL097W,12.9283,0,0,1,4,2,3285,93,0.971926714,0.666666667,0.041237113,0.000608458,0.999391542
YGL143C,12.7815,0,0,1,4,2,3285,93,0.971926714,0.666666667,0.041237113,0.000608458,0.999391542
YPR047W,12.7397,0,0,1,4,2,3285,93,0.971926714,0.666666667,0.041237113,0.000608458,0.999391542
YNL073W,12.6393,0,0,1,4,2,3285,93,0.971926714,0.666666667,0.041237113,0.000608458,0.999391542
YGR171C,12.6234,0,0,1,4,2,3285,93,0.971926714,0.666666667,0.041237113,0.000608458,0.999391542
YBR185C,12.5154,1,0,0,5,2,3285,92,0.972222222,0.714285714,0.051546392,0.000608458,0.999391542
YPL098C,12.21,1,0,0,6,2,3285,91,0.97251773,0.75,0.06185567,0.000608458,0.999391542
YPL029W,12.0529,0,1,0,6,3,3284,91,0.972222222,0.666666667,0.06185567,0.000912686,0.999087314
