Gene,Confidence,Positive,Negative,Agnostic,True Positive,False Positive,True Negative,False Negative,Accuracy,Precision,Recall,False Positive Rate,Selectivity
YOR266W,18.9343,1,0,0,1,0,3832,267,0.934878049,1,0.003731343,0,1
YPL132W,17.8554,0,1,0,1,1,3831,267,0.934634146,0.5,0.003731343,0.00026096,0.99973904
YDR194C,17.2527,0,1,0,1,2,3830,267,0.934390244,0.333333333,0.003731343,0.000521921,0.999478079
YHR091C,16.4763,0,1,0,1,3,3829,267,0.934146341,0.25,0.003731343,0.000782881,0.999217119
YOR354C,16.2839,0,1,0,1,4,3828,267,0.933902439,0.2,0.003731343,0.001043841,0.998956159
YMR098C,15.901,1,0,0,2,4,3828,266,0.934146341,0.333333333,0.007462687,0.001043841,0.998956159
YLR069C,15.7958,0,1,0,2,5,3827,266,0.933902439,0.285714286,0.007462687,0.001304802,0.998695198
YOL023W,15.6336,0,1,0,2,6,3826,266,0.933658537,0.25,0.007462687,0.001565762,0.998434238
YJL046W,15.4663,0,1,0,2,7,3825,266,0.933414634,0.222222222,0.007462687,0.001826722,0.998173278
YNL315C,15.4604,1,0,0,3,7,3825,265,0.933658537,0.3,0.01119403,0.001826722,0.998173278
YGL107C,15.4257,0,1,0,3,8,3824,265,0.933414634,0.272727273,0.01119403,0.002087683,0.997912317
YKR085C,15.3374,0,1,0,3,9,3823,265,0.933170732,0.25,0.01119403,0.002348643,0.997651357
YMR024W,15.33,0,1,0,3,10,3822,265,0.932926829,0.230769231,0.01119403,0.002609603,0.997390397
YGR082W,15.1155,1,0,0,4,10,3822,264,0.933170732,0.285714286,0.014925373,0.002609603,0.997390397
YNL137C,15.0549,0,1,0,4,11,3821,264,0.932926829,0.266666667,0.014925373,0.002870564,0.997129436
YGL115W,15.0485,0,1,0,4,12,3820,264,0.932682927,0.25,0.014925373,0.003131524,0.996868476
YLR253W,14.9496,1,0,0,5,12,3820,263,0.932926829,0.294117647,0.018656716,0.003131524,0.996868476
YKL195W,14.9236,1,0,0,6,12,3820,262,0.933170732,0.333333333,0.02238806,0.003131524,0.996868476
YMR157C,14.791,0,1,0,6,13,3819,262,0.932926829,0.315789474,0.02238806,0.003392484,0.996607516
YGR220C,14.5751,0,1,0,6,14,3818,262,0.932682927,0.3,0.02238806,0.003653445,0.996346555
YJR133W,14.5679,0,1,0,6,15,3817,262,0.932439024,0.285714286,0.02238806,0.003914405,0.996085595
YIL093C,14.5578,0,1,0,6,16,3816,262,0.932195122,0.272727273,0.02238806,0.004175365,0.995824635
YKL003C,14.362,0,1,0,6,17,3815,262,0.93195122,0.260869565,0.02238806,0.004436326,0.995563674
YKL155C,14.3604,0,1,0,6,18,3814,262,0.931707317,0.25,0.02238806,0.004697286,0.995302714
YEL050C,14.3092,0,1,0,6,19,3813,262,0.931463415,0.24,0.02238806,0.004958246,0.995041754
YJL003W,14.309,1,0,0,7,19,3813,261,0.931707317,0.269230769,0.026119403,0.004958246,0.995041754
YDR316W,14.2379,0,1,0,7,20,3812,261,0.931463415,0.259259259,0.026119403,0.005219207,0.994780793
