Gene,Rank,Positive,Negative,Agnositc,True Positive,False Positive,True Negative,False Negative,Accuracy,Precision,Recall,False Positive Rate,Selectivity
YPL104W,16,0,0,1,0,0,4063,105,0.974808061,1,0,0,1
YBR185C,19,1,0,0,1,0,4063,104,0.975047985,1,0.00952381,0,1
YNL121C,26,1,0,0,2,0,4063,103,0.975287908,1,0.019047619,0,1
YNL073W,41,0,0,1,2,0,4063,103,0.975287908,1,0.019047619,0,1
YNL026W,45,1,0,0,3,0,4063,102,0.975527831,1,0.028571429,0,1
YOL062C,46,0,1,0,3,1,4062,102,0.975287908,0.75,0.028571429,0.000246124,0.999753876
YGL115W,47,0,1,0,3,2,4061,102,0.975047985,0.6,0.028571429,0.000492247,0.999507753
YLR382C,50,0,1,0,3,3,4060,102,0.974808061,0.5,0.028571429,0.000738371,0.999261629
YLR069C,53,0,0,1,3,3,4060,102,0.974808061,0.5,0.028571429,0.000738371,0.999261629
YOR354C,56,0,1,0,3,4,4059,102,0.974568138,0.428571429,0.028571429,0.000984494,0.999015506
YKR085C,60,1,0,0,4,4,4059,101,0.974808061,0.5,0.038095238,0.000984494,0.999015506
YGL040C,67,0,1,0,4,5,4058,101,0.974568138,0.444444444,0.038095238,0.001230618,0.998769382
YNL051W,68,0,1,0,4,6,4057,101,0.974328215,0.4,0.038095238,0.001476741,0.998523259
YOL033W,81,0,0,1,4,6,4057,101,0.974328215,0.4,0.038095238,0.001476741,0.998523259
YDR296W,85,1,0,0,5,6,4057,100,0.974568138,0.454545455,0.047619048,0.001476741,0.998523259
YPL002C,87,0,1,0,5,7,4056,100,0.974328215,0.416666667,0.047619048,0.001722865,0.998277135
YML110C,93,0,1,0,5,8,4055,100,0.974088292,0.384615385,0.047619048,0.001968988,0.998031012
YPR140W,97,1,0,0,6,8,4055,99,0.974328215,0.428571429,0.057142857,0.001968988,0.998031012
YNL330C,100,0,1,0,6,9,4054,99,0.974088292,0.4,0.057142857,0.002215112,0.997784888
YLR090W,102,0,1,0,6,10,4053,99,0.973848369,0.375,0.057142857,0.002461236,0.997538764
YHR091C,105,0,0,1,6,10,4053,99,0.973848369,0.375,0.057142857,0.002461236,0.997538764
YJL112W,116,1,0,0,7,10,4053,98,0.974088292,0.411764706,0.066666667,0.002461236,0.997538764
YGR232W,117,0,1,0,7,11,4052,98,0.973848369,0.388888889,0.066666667,0.002707359,0.997292641
YOL122C,118,0,1,0,7,12,4051,98,0.973608445,0.368421053,0.066666667,0.002953483,0.997046517
YPL097W,120,0,0,1,7,12,4051,98,0.973608445,0.368421053,0.066666667,0.002953483,0.997046517
YGL019W,122,0,1,0,7,13,4050,98,0.973368522,0.35,0.066666667,0.003199606,0.996800394
YJR076C,126,0,1,0,7,14,4049,98,0.973128599,0.333333333,0.066666667,0.00344573,0.99655427
YPR011C,127,0,1,0,7,15,4048,98,0.972888676,0.318181818,0.066666667,0.003691853,0.996308147
YPR129W,129,0,1,0,7,16,4047,98,0.972648752,0.304347826,0.066666667,0.003937977,0.996062023
YDL078C,131,0,1,0,7,17,4046,98,0.972408829,0.291666667,0.066666667,0.0041841,0.9958159
YIR021W,132,0,1,0,7,18,4045,98,0.972168906,0.28,0.066666667,0.004430224,0.995569776
YNL183C,133,0,1,0,7,19,4044,98,0.971928983,0.269230769,0.066666667,0.004676348,0.995323652
YDR268W,134,0,1,0,7,20,4043,98,0.97168906,0.259259259,0.066666667,0.004922471,0.995077529
YPL098C,135,1,0,0,8,20,4043,97,0.971928983,0.285714286,0.076190476,0.004922471,0.995077529
YNL229C,136,0,1,0,8,21,4042,97,0.97168906,0.275862069,0.076190476,0.005168595,0.994831405
YOR241W,137,0,1,0,8,22,4041,97,0.971449136,0.266666667,0.076190476,0.005414718,0.994585282
YLR201C,138,0,1,0,8,23,4040,97,0.971209213,0.258064516,0.076190476,0.005660842,0.994339158
YJR125C,139,0,1,0,8,24,4039,97,0.97096929,0.25,0.076190476,0.005906965,0.994093035
YMR302C,140,1,0,0,9,24,4039,96,0.971209213,0.272727273,0.085714286,0.005906965,0.994093035
YGR171C,141,0,0,1,9,24,4039,96,0.971209213,0.272727273,0.085714286,0.005906965,0.994093035
YCL052C,143,0,1,0,9,25,4038,96,0.97096929,0.264705882,0.085714286,0.006153089,0.993846911
YLR250W,147,0,1,0,9,26,4037,96,0.970729367,0.257142857,0.085714286,0.006399212,0.993600788
YOL096C,152,0,1,0,9,27,4036,96,0.970489443,0.25,0.085714286,0.006645336,0.993354664
YML121W,153,0,1,0,9,28,4035,96,0.97024952,0.243243243,0.085714286,0.00689146,0.99310854
