Gene,Confidence,Positive,Negative,Agnostic,True Positive,False Positive,True Negative,False Negative,Accuracy,Precision,Recall,False Positive Rate,Selectivity
YCR088W,3.635684,0,1,0,0,1,4809,291,0.942756322,0,0,0.0002079,0.9997921
YOR181W,3.561067,0,1,0,0,2,4808,291,0.942560282,0,0,0.0004158,0.9995842
YLR337C,3.464689,0,1,0,0,3,4807,291,0.942364242,0,0,0.000623701,0.999376299
YDL029W,3.192347,1,0,0,1,3,4807,290,0.942560282,0.25,0.003436426,0.000623701,0.999376299
YDR388W,3.055402,0,1,0,1,4,4806,290,0.942364242,0.2,0.003436426,0.000831601,0.999168399
YJR065C,3.002868,0,1,0,1,5,4805,290,0.942168202,0.166666667,0.003436426,0.001039501,0.998960499
YMR109W,2.995048,0,1,0,1,6,4804,290,0.941972162,0.142857143,0.003436426,0.001247401,0.998752599
YDR129C,2.969995,0,1,0,1,7,4803,290,0.941776122,0.125,0.003436426,0.001455301,0.998544699
YNR017W,2.837127,1,0,0,2,7,4803,289,0.941972162,0.222222222,0.006872852,0.001455301,0.998544699
YIL062C,2.751667,1,0,0,3,7,4803,288,0.942168202,0.3,0.010309278,0.001455301,0.998544699
YKL013C,2.649508,0,1,0,3,8,4802,288,0.941972162,0.272727273,0.010309278,0.001663202,0.998336798
YNR035C,2.624792,0,1,0,3,9,4801,288,0.941776122,0.25,0.010309278,0.001871102,0.998128898
YLL001W,2.583777,1,0,0,4,9,4801,287,0.941972162,0.307692308,0.013745704,0.001871102,0.998128898
YEL020W-A,2.511385,1,0,0,5,9,4801,286,0.942168202,0.357142857,0.017182131,0.001871102,0.998128898
YBR179C,2.454402,1,0,0,6,9,4801,285,0.942364242,0.4,0.020618557,0.001871102,0.998128898
YLR370C,2.394002,0,1,0,6,10,4800,285,0.942168202,0.375,0.020618557,0.002079002,0.997920998
YCR009C,2.386632,0,1,0,6,11,4799,285,0.941972162,0.352941176,0.020618557,0.002286902,0.997713098
YGR082W,2.351128,1,0,0,7,11,4799,284,0.942168202,0.388888889,0.024054983,0.002286902,0.997713098
YLL006W,2.31306,1,0,0,8,11,4799,283,0.942364242,0.421052632,0.027491409,0.002286902,0.997713098
YKL129C,2.288682,0,1,0,8,12,4798,283,0.942168202,0.4,0.027491409,0.002494802,0.997505198
YOR367W,2.231324,0,1,0,8,13,4797,283,0.941972162,0.380952381,0.027491409,0.002702703,0.997297297
YBR091C,2.160861,1,0,0,9,13,4797,282,0.942168202,0.409090909,0.030927835,0.002702703,0.997297297
YMR092C,2.118297,0,1,0,9,14,4796,282,0.941972162,0.391304348,0.030927835,0.002910603,0.997089397
YOR035C,2.096628,0,1,0,9,15,4795,282,0.941776122,0.375,0.030927835,0.003118503,0.996881497
YBR234C,2.014789,0,1,0,9,16,4794,282,0.941580082,0.36,0.030927835,0.003326403,0.996673597
YJL054W,1.992612,1,0,0,10,16,4794,281,0.941776122,0.384615385,0.034364261,0.003326403,0.996673597
YJL112W,1.933452,1,0,0,11,16,4794,280,0.941972162,0.407407407,0.037800687,0.003326403,0.996673597
YLR429W,1.933452,0,1,0,11,17,4793,280,0.941776122,0.392857143,0.037800687,0.003534304,0.996465696
YOR297C,1.931094,1,0,0,12,17,4793,279,0.941972162,0.413793103,0.041237113,0.003534304,0.996465696
YKL007W,1.895278,0,1,0,12,18,4792,279,0.941776122,0.4,0.041237113,0.003742204,0.996257796
YPR024W,1.80399,1,0,0,13,18,4792,278,0.941972162,0.419354839,0.04467354,0.003742204,0.996257796
YIL034C,1.80399,0,1,0,13,19,4791,278,0.941776122,0.40625,0.04467354,0.003950104,0.996049896
YNL138W,1.786409,1,0,0,14,19,4791,277,0.941972162,0.424242424,0.048109966,0.003950104,0.996049896
YNL079C,1.734422,1,0,0,15,19,4791,276,0.942168202,0.441176471,0.051546392,0.003950104,0.996049896
YAL010C,1.674951,1,0,0,16,19,4791,275,0.942364242,0.457142857,0.054982818,0.003950104,0.996049896
