YORF	NAME	GWEIGHT	1-1-dCy5; src: segregant from BY4716 x wild wine strain; src: reference pool of BY4716 strain	1-3-dCy5; src: segregant from BY4716 x wild wine strain; src: reference pool of BY4716 strain	1-4-dCy5; src: segregant from BY4716 x wild wine strain; src: reference pool of BY4716 strain	1-5-cCy5; src: segregant from BY4716 x wild wine strain; src: reference pool of BY4716 strain	2-2-dCy5; src: segregant from BY4716 x wild wine strain; src: reference pool of BY4716 strain	2-3-dCy5; src: segregant from BY4716 x wild wine strain; src: reference pool of BY4716 strain	2-4-aCy5; src: segregant from BY4716 x wild wine strain; src: reference pool of BY4716 strain	2-5-dCy5; src: segregant from BY4716 x wild wine strain; src: reference pool of BY4716 strain	2-6-dCy5; src: segregant from BY4716 x wild wine strain; src: reference pool of BY4716 strain	3-1-dCy5; src: segregant from BY4716 x wild wine strain; src: reference pool of BY4716 strain	3-3-dCy5; src: segregant from BY4716 x wild wine strain; src: reference pool of BY4716 strain	3-4-dCy5; src: segregant from BY4716 x wild wine strain; src: reference pool of BY4716 strain	3-5-dCy5; src: segregant from BY4716 x wild wine strain; src: reference pool of BY4716 strain	4-1-cCy5; src: segregant from BY4716 x wild wine strain; src: reference pool of BY4716 strain	4-3-dCy5; src: segregant from BY4716 x wild wine strain; src: reference pool of BY4716 strain	4-4-dCy5; src: segregant from BY4716 x wild wine strain; src: reference pool of BY4716 strain	5-1-dCy5; src: segregant from BY4716 x wild wine strain; src: reference pool of BY4716 strain	5-2-dCy5; src: segregant from BY4716 x wild wine strain; src: reference pool of BY4716 strain	5-3-dCy5; src: segregant from BY4716 x wild wine strain; src: reference pool of BY4716 strain	5-4-dCy5; src: segregant from BY4716 x wild wine strain; src: reference pool of BY4716 strain	5-5-dCy5; src: segregant from BY4716 x wild wine strain; src: reference pool of BY4716 strain	6-1-dCy5; src: segregant from BY4716 x wild wine strain; src: reference pool of BY4716 strain	6-2-bCy5; src: segregant from BY4716 x wild wine strain; src: reference pool of BY4716 strain	6-3-cCy5; src: segregant from BY4716 x wild wine strain; src: reference pool of BY4716 strain
EWEIGHT			1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
YDL025C	YDL025C	1	-0.2159	-0.226	0.2497	0.2837	-0.2903	0.0212	-0.1456	0.123	0.0708	-0.1275	0.1869	0.2701	0.1534	0.4173	0.2333	-0.3427	0.1505	0.1905	-0.0778	-0.1381	0.0597	-0.1182	-0.0715	0.0394
YKL032C	YKL032C	1	-0.0209	0.1219	-0.1033	0.302	-0.2381	-0.2584	0.2715	0.4312	0.0892	0.3334	0.3292	0.1936	-0.3057	0.0685	-0.4938	0.4462	-0.2291	0.0491	-0.2894	-0.1725	-0.3555	-0.2463	0.993	0.014
YNL325C	YNL325C	1	0.3518	0.08	0.156	0.1867	0.0697	-0.1482	0.0183	0.127	0.0081	-0.042	0.0514	0.1208	0.1301	0.731	0.2602	0.2456	0.0935	0.2756	-0.156	-0.015	0.1755	-0.0748	0.1003	0.0083
YJR150C	YJR150C	1	0.3219	0.5592	0.1323	0.2441	0.6136	0.4395	0.1656	-0.0167	0.2399	0.3448	0.2458	-0.0638	0.089	-0.0714	0.1263	0.8289	0.2894	0.1129	-3.764	0.0914	0.0202	-0.0148	0.2592	0.2922
YPR097W	YPR097W	1	0.3029	0.0675	0.1022	0.0656	0.2629	0.0265	0.3106	0.0889	0.0639	0.1406	0.1708	0.2133	0.2248	-0.0085	0.0812	0.5524	0.2175	0.08	0.4431	0.3044	0.1365	0.1944	0.153	-0.0141
YER048C	YER048C	1	0.441	0.4966	0.2328	0.2354	0.2336	0.453	0.1566	0.0396	-0.0199	-0.0591	0.1606	-0.102	0.2419	0.0464	0.1654	-0.0949	0.0596	0.0379	0.1811	-0.0066	0.1382	-0.1674	0.0804	0.1101
YNL098C	YNL098C	1	-0.0107	0.0233	0.0075	-0.3126	-0.2386	0.0389	0.0651	0.1355	0.2241	-0.0585	-0.0293	0.118	0.2513	0.5265	0.1604	0.201	0.2498	0.0835	-0.1582	-0.106	0.076	-0.1213	-0.0891	0.1769
YJL166W	YJL166W	1	-0.8203	-0.9408	-0.8645	-0.1887	-0.6377	-1.4574	-1.4919	0.0034	-0.9386	-0.2504	-0.2711	-0.2308	-0.3589	-0.1488	-0.1349	-1.6459	-0.5866	-0.8723	-0.363	-0.5796	-0.38	-0.9544	-0.6999	-0.8987
YCR014C	YCR014C	1	0.3302	0.5054	0.2915	0.3254	0.6163	0.3094	0.3115	0.2832	0.2321	0.1184	0.1546	0.4942	0.1699	-0.0048	0.0338	0.1854	0.2175	0.0829	-0.0528	-0.0228	0.1202	0.1431	0.1573	0.1399
YDR006C	YDR006C	1	0.1653	-0.0755	0.0721	0.04	0.2427	0.1328	-0.2036	0.0327	0.1107	-0.0764	-0.007	0.1327	-0.0757	0.1226	0.0056	-0.2537	0.1266	0.2236	0.0018	0.1851	0.1773	0.0373	-0.1037	0.0526
YOR291W	YOR291W	1	-0.166	-0.1139	-0.1798	-0.0572	-0.1864	0.1602	-0.2621	-0.2193	-0.1467	-0.2949	-0.2801	0.0457	-0.1584	-0.076	-0.0225	0.0872	0.05	0.0571	-0.3871	-0.1481	0.107	-0.1957	0.1227	-0.0492
YGL215W	YGL215W	1	-0.2692	-0.4727	-0.2513	0.0398	-0.3165	-0.2482	-0.1052	0.4447	0.3401	0.0771	0.2363	-0.0292	-0.2554	-0.1876	-0.5258	0.1697	-0.3669	0.0306	0.3026	0.3034	-0.0964	0.4455	0.0332	-0.3641
YMR027W	YMR027W	1	-0.0255	0.0622	0.0578	-0.0365	-0.2536	0.0579	0.0904	0.0338	-0.084	-0.238	-0.0694	-0.1361	0.2242	-0.0619	0.1906	0.883	0.1648	0.245	0.4305	-0.1602	-0.026	-0.073	-0.1453	0.1225
YBR111C	YBR111C	1	-0.1012	-0.1763	0.3188	0.0179	0.2018	0.2585	0.0203	-0.1576	0.0123	-0.2713	-0.0106	-0.4493	0.4233	-0.6128	0.6827	-0.9231	0.1601	0.3604	-0.2282	-0.0354	0.1391	-0.2664	-0.1868	-0.0195
YMR046C	YMR046C	1	0.9535	0.0295	0.8823	1.3621	1.0009	1.0387	3.4045	1.8078	1.1804	1.4569	0.9956	-0.3779	0.8302	0.0507	1.0854	1.9985	1.5061	0.6904	0.4894	1.3153	-0.1471	1.2019	2.5062	0.9961
YJR030C	YJR030C	1	0.3893	-0.0222	0.2988	0.3222	0.3518	0.4295	0.0863	0.1545	0.3399	0.4518	0.5003	0.6044	0.1482	0.3101	0.2681	0.6539	0.7467	-0.0465	0.1208	-0.1946	-0.5788	-0.1736	0.1799	0.4083
YJL200C	YJL200C	1	0.0539	0.292	-0.042	-0.1199	0.177	0.0088	-0.2164	-0.0855	-0.0021	-0.1729	0.0369	-0.0576	0.0281	-0.4067	-0.0107	0.0439	-0.0289	0.0435	-0.2424	-0.0825	-0.0936	0.0605	0.3679	0.1036
YLR159W	YLR159W	1	0.621	0.0236	0.2522	-0.9143	0.3809	-0.012	2.3326	-0.2821	-0.2989	1.4333	0.6469	1.1222	0	1.7499	-0.47	-0.0601	0	0.0575	0	-0.0044	0	0	0	0
YFL066C	YFL066C	1	-0.0227	0.666	0.1744	2.1018	1.502	0.1914	0.9337	1.1461	0.5338	1.3323	1.0981	0.7966	0.2579	1.2282	0.7804	1.1101	0.1221	-0.3163	0.9326	0.2554	0.3218	0.5437	0.6886	1.0433
YBR023C	YBR023C	1	-0.119	-0.4344	-0.0666	-0.016	-0.4723	-0.2471	-0.0829	-0.2895	-0.2901	-0.1986	-0.3696	-0.4277	0	-0.3015	-0.2069	0.1724	0	0.0638	-0.4126	0.0449	-0.3578	-0.3891	-0.0096	-0.2063
YEL049W	YEL049W	1	0.0137	0.1407	0.2837	0.4758	0.4422	0.0311	0.4338	-0.0425	0.2689	0.1195	0.1225	-0.1501	0.1877	0.7712	0.2621	-0.4367	0.2126	0.2401	-0.3236	-0.0266	0.6759	0.8564	0.1328	0.0674
YER101C	YER101C	1	0.1322	0.339	0.1098	0.2453	-0.1268	0.2063	-0.0249	0.188	0.133	0.1076	0.0606	0.0904	0.1308	-0.4175	0.1933	0.2814	0.0168	0.0053	0.18	-0.2358	-0.0467	0.0657	-0.1573	-0.0739
YGL017W	YGL017W	1	-0.0691	-0.2818	-0.0591	-0.0617	0.0777	0.0512	-0.0906	0.0684	-0.0844	-0.1705	-0.0822	-0.1797	0.0765	-0.0703	0.0021	-0.0702	-0.0338	-0.0114	-0.0935	-0.0862	0.1035	0.1153	-0.2184	-0.0753
YLR220W	YLR220W	1	-0.5571	-0.3207	-0.0318	-0.0783	-0.4233	-0.2269	-0.4677	-0.4222	-0.2449	-0.6266	-0.2178	-0.0027	-0.3032	-0.1221	0.0007	-0.715	-0.3391	-0.095	-0.3281	-0.3277	0.0045	-0.383	-0.5235	-0.3244
YPR010C	YPR010C	1	0.3405	-0.1114	-0.3548	-0.1542	0.2045	0.0369	0.2251	-0.354	-0.3057	0.0161	-0.3154	-0.2443	-0.2682	-0.3754	-0.417	0.54	-0.1698	-0.0222	0.233	0.2611	-0.2983	-0.0382	0.1856	-0.3438
YOR150W	YOR150W	1	-0.4305	-0.5587	-0.5128	-0.2502	-0.0937	-1.0294	-0.7054	0.05	-0.3554	-0.0433	-0.2303	-0.3369	-0.085	0.1768	-0.3383	-1.1515	-0.2033	-0.5992	0.1437	-0.6706	-0.0617	-0.1784	-0.2027	-0.748
YJL143W	YJL143W	1	-0.2048	-0.1945	-0.1223	-0.1799	-0.1312	-0.0213	-0.3844	-0.4234	-0.4265	-0.3691	-0.3469	-0.3215	-0.3778	-0.0806	-0.3368	-0.7367	-0.3333	-0.1836	-0.5763	-0.4345	-0.3026	-0.2491	-0.5025	-0.3044
YBR164C	YBR164C	1	0.1785	0.0096	0.0275	-0.136	-0.0738	-0.0358	0.1018	-0.1617	-0.2516	-0.0985	-0.1784	-0.268	-0.0124	-0.0787	-0.1005	-0.4865	-0.1613	-0.0344	-0.2081	-0.036	-0.1429	-0.2319	-0.1655	-0.0544
YPL213W	YPL213W	1	-0.1138	-0.3701	-0.3306	-0.0558	-0.0932	-0.3765	-0.1087	0.0453	-0.0419	-0.1217	0.0139	-0.0499	-0.0933	-0.09	-0.0835	0.3718	-0.2751	-0.2853	0.3228	0.0324	-0.103	-0.0113	-0.0906	-0.2811
