Batch,Training Loss,Testing Loss,Learning Rate
0,24.615593254566193,24.615593254566193,0.01
100,30.318448148667812,32.69820809364319,0.01
200,30.3840212225914,47.49628305435181,0.01
300,30.07972602546215,32.23177194595337,0.01
400,32.574073508381844,38.457173109054565,0.01
500,29.538531564176083,40.138763189315796,0.01
600,33.49112416803837,24.894405901432037,0.01
700,28.994597546756268,65.79179167747498,0.01
800,31.43475578725338,47.57782816886902,0.01
900,36.0113912075758,57.88080096244812,0.01
1000,31.931215047836304,32.57332146167755,0.01
1100,32.3534599840641,32.298263907432556,0.01
1200,32.84894994646311,25.412413477897644,0.01
1300,32.01229181140661,38.271453976631165,0.01
1400,34.310167111456394,38.21665942668915,0.01
1500,30.062387563288212,32.78367221355438,0.01
1600,33.78464834392071,24.186936020851135,0.01
1700,27.137537464499474,55.12714982032776,0.01
1800,30.759866192936897,15.507788956165314,0.01
1900,33.335537165403366,33.89877676963806,0.01
2000,32.89152756333351,24.977855384349823,0.01
2100,31.48871037364006,40.283599495887756,0.01
2200,29.464690998196602,32.74632692337036,0.01
2300,31.570166543126106,47.40813970565796,0.01
2400,32.835463270545006,41.23867750167847,0.01
2500,31.45979481935501,7.965278625488281,0.01
2600,29.675257623195648,46.03448212146759,0.01
2700,29.85763943195343,66.14733338356018,0.01
2800,31.466385554522276,39.872291684150696,0.01
2900,28.3349050283432,46.72401547431946,0.01
3000,31.16322024166584,17.258387804031372,0.01
3100,31.787280328571796,24.267341196537018,0.01
3200,28.411362759768963,-0.0,0.01
3300,33.00398749858141,40.87182581424713,0.01
3400,34.83855140954256,15.497921407222748,0.01
3500,33.817368909716606,31.78507089614868,0.01
3600,32.11439613252878,17.048166692256927,0.01
3700,29.094724468886852,41.63845777511597,0.01
3800,31.689102105796337,8.300387114286423,0.01
3900,31.311445079743862,70.93475461006165,0.01
4000,30.627741493284702,29.47530746459961,0.01
4100,30.463826648890972,63.97178769111633,0.01
4200,30.63093811273575,15.768985450267792,0.01
4300,28.673732206225395,33.36012363433838,0.01
4400,32.46002182364464,24.545279145240784,0.01
4500,29.851297356188297,56.88983201980591,0.01
4600,34.18161129206419,8.22223499417305,0.01
4700,31.705550752580166,8.479946106672287,0.01
4800,27.679222993552685,32.939815521240234,0.01
4900,34.264401115477085,16.928330063819885,0.01
5000,32.125416338443756,23.202019929885864,0.01
5100,29.75995186716318,7.799062877893448,0.01
5200,33.62236671149731,75.72011351585388,0.01
5300,30.362392403185368,16.861343383789062,0.01
5400,31.051612183451653,29.998785257339478,0.01
5500,31.730053164064884,24.00781661272049,0.01
5600,34.03422072529793,31.64946436882019,0.01
5700,30.214147195219994,63.52110505104065,0.01
5800,30.492123164236546,7.345760613679886,0.01
5900,32.63254050910473,22.92751371860504,0.01
6000,31.249726228415966,64.78410363197327,0.01
6100,32.60738851130009,16.237445175647736,0.01
6200,28.553812108933926,56.97094202041626,0.01
6300,31.646497189998627,47.86297082901001,0.01
6400,28.038508012890816,31.0670405626297,0.01
6500,31.000949278473854,53.98854613304138,0.01
6600,32.433199502527714,62.08293437957764,0.01
6700,34.11152258515358,32.643234729766846,0.01
