Term,Index
GO:0000054,0
GO:0000278,1
GO:0000747,2
GO:0001403,3
GO:0002181,4
GO:0006260,5
GO:0006281,6
GO:0006310,7
GO:0006325,8
GO:0006352,9
GO:0006353,10
GO:0006360,11
GO:0006364,12
GO:0006366,13
GO:0006383,14
GO:0006397,15
GO:0006401,16
GO:0006413,17
GO:0006414,18
GO:0006418,19
GO:0006457,20
GO:0006468,21
GO:0006470,22
GO:0006486,23
GO:0006629,24
GO:0006811,25
GO:0006865,26
GO:0006869,27
GO:0006873,28
GO:0006887,29
GO:0006897,30
GO:0006970,31
GO:0006979,32
GO:0007005,33
GO:0007010,34
GO:0007031,35
GO:0007033,36
GO:0007059,37
GO:0007124,38
GO:0008033,39
GO:0008380,40
GO:0008643,41
GO:0009408,42
GO:0009451,43
GO:0016197,44
GO:0032196,45
GO:0032543,46
GO:0042273,47
GO:0042274,48
GO:0045333,49
GO:0051321,50
GO:0051603,51
GO:0051726,52
