Dataset,Index
GSE10066_setA_family.pcl,0
GSE10073_setA_family.pcl,1
GSE8900_setA_family.pcl,2
GSE34330GPL8154.sfp.pcl,3
GSE5185_setA_family.pcl,4
GSE26437_final.pcl,5
GSE4261_setA_family.pcl,6
GSE12055_set0_family.pcl,7
GSE6185_setA_family.pcl,8
2010.Angus01.flt.knn.avg.pcl,9
GSE31774_final.pcl,10
GSE33097_s257_final.pcl,11
GSE33098_final.pcl,12
GSE3729_set0_family.pcl,13
GSE3729_set1_family.pcl,14
GSE3729_set2_family.pcl,15
GSE3729_set3_family.pcl,16
GSE3729_set4_family.pcl,17
GSE3729_set5_family.pcl,18
GSE3729_set6_family.pcl,19
GSE8624_set0_family.pcl,20
GSE8624_set1_family.pcl,21
GSE8624_set2_family.pcl,22
GSE4272_set0_family.pcl,23
GSE10521_setA_family.pcl,24
GSE4887_setA_family.pcl,25
GSE8902_setA_family.pcl,26
2010.Baetz01.flt.knn.avg.pcl,27
GSE5027_setA_family.pcl,28
GSE24712_final.pcl,29
2010.Bedalov01.flt.knn.avg.pcl,30
2010.Belli04.filter.flt.knn.avg.div.log.pcl,31
GSE6018_set0_family.pcl,32
GSE6018_set1_family.pcl,33
2010.Bernstein00_HDACrpd3sin3hda1.log.flt.knn.avg.pcl,34
2010.Bernstein00_HDACsin3sap30ume6hda1hos2hos3.filter.flt.knn.avg.div.log.pcl,35
2010.Bernstein00_TSA.filter.flt.knn.avg.div.log.pcl,36
GSE8335_set00_family.pcl,37
GSE8335_set01_family.pcl,38
GSE8335_set02_family.pcl,39
GSE8335_set03_family.pcl,40
GSE8335_set04_family.pcl,41
GSE8335_set05_family.pcl,42
GSE8335_set06_family.pcl,43
GSE8335_set07_family.pcl,44
GSE8335_set08_family.pcl,45
GSE8335_set09_family.pcl,46
GSE8335_set10_family.pcl,47
GSE8335_set11_family.pcl,48
GSE8335_set12_family.pcl,49
GSE8335_set13_family.pcl,50
GSE17716_final.pcl,51
GSE29371_final.pcl,52
2010.Boer05.filter.flt.knn.avg.div.log.pcl,53
GSE6405_setA_family.pcl,54
GSE10944_setA_family.pcl,55
GSE10947_setA_family.pcl,56
GSE10948_setA_family.pcl,57
GSE11754_set0_family.pcl,58
GSE11754_set1_family.pcl,59
2010.Brauer05_batch1.flt.knn.avg.pcl,60
2010.Brauer05_batch2.flt.knn.avg.pcl,61
GSE8825_set0_family.pcl,62
GSE8825_set1_family.pcl,63
GSE8825_set2_family.pcl,64
GSE8825_set3_family.pcl,65
GSE8825_set4_family.pcl,66
GSE8825_set5_family.pcl,67
2010.Brem05_orig.flt.knn.avg.pcl,68
GSE9875_setA_family.pcl,69
2010.Bro03.filter.flt.knn.avg.div.log.pcl,70
2010.Bulik03.filter.flt.knn.avg.div.log.pcl,71
2010.Caba05.filter.flt.knn.avg.div.log.pcl,72
GSE12270_setA_family.pcl,73
2010.CarmelHarel01.flt.knn.avg.pcl,74
2010.Carroll01.log.flt.knn.avg.pcl,75
GSE5938_setA_family.pcl,76
GSE34787_final.pcl,77
GSE27925_final.pcl,78
GSE25697_final.pcl,79
2010.Causton01_acid.filter.flt.knn.avg.div.log.pcl,80
2010.Causton01_alkali.filter.flt.knn.avg.div.log.pcl,81
2010.Causton01_heat.filter.flt.knn.avg.div.log.pcl,82
2010.Causton01_NaCl.filter.flt.knn.avg.div.log.pcl,83
2010.Causton01_peroxide.filter.flt.knn.avg.div.log.pcl,84
2010.Causton01_sorbitol.filter.flt.knn.avg.div.log.pcl,85
GSE23711_final.pcl,86
GSE12004_set0_family.pcl,87
GSE12004_set1_family.pcl,88
GSE13219_set00_family.pcl,89
GSE13219_set01_family.pcl,90
GSE13219_set02_family.pcl,91
GSE13219_set03_family.pcl,92
GSE13219_set04_family.pcl,93
GSE13219_set05_family.pcl,94
GSE13219_set06_family.pcl,95
GSE13219_set07_family.pcl,96
GSE13219_set08_family.pcl,97
GSE13219_set09_family.pcl,98
GSE13219_set10_family.pcl,99
GSE13219_set11_family.pcl,100
GSE13219_set12_family.pcl,101
GSE3160_setA_family.pcl,102
GSE12272_setA_family.pcl,103
2010.Chitikila02.flt.knn.avg.pcl,104
GSE18334_final.pcl,105
2010.Cho98.filter.flt.knn.avg.div.log.pcl,106
GSE5499_set0_family.pcl,107
GSE5499_set1_family.pcl,108
GSE32418_final.pcl,109
2010.Chu98.flt.knn.avg.pcl,110
GSE5238_setA_family.pcl,111
GSE9644_set0_family.pcl,112
GSE9644_set1_family.pcl,113
2010.Clark02_orig.flt.knn.avg.pcl,114
2010.Cohen02.filter.flt.knn.avg.div.log.pcl,115
2010.glycosylation.pcl,116
GSE8895_setA_family.pcl,117
GSE9232_setA_family.pcl,118
2010.diauxic.pcl,119
GSE6870_setA_family.pcl,120
2010.deNadal04.flt.knn.avg.pcl,121
GSE8035_setA_family.pcl,122
GSE8089_setA_family.pcl,123
GSE2324_setA_family.pcl,124
GSE36958_final.pcl,125
GSE6647_setA_family.pcl,126
GSE28849GPL13449.sfp.pcl,127
GSE29960_final.pcl,128
GSE1914_setA_family.pcl,129
GSE1915_setA_family.pcl,130
2010.Duvel03_delayedRap.flt.knn.avg.pcl,131
2010.Duvel03_immediateRap.flt.knn.avg.pcl,132
GSE31326_final.pcl,133
2010.Epstein00.flt.knn.avg.pcl,134
2010.Eriksson05.filter.flt.knn.avg.div.log.pcl,135
GSE12150_setA_family.pcl,136
2010.evolution.pcl,137
2010.Fleming99.log.flt.knn.avg.pcl,138
GSE34757_final.pcl,139
GSE3814_set0_family.pcl,140
GSE3814_set1_family.pcl,141
GSE3815_set0_family.pcl,142
GSE3815_set1_family.pcl,143
GSE3816_set0_family.pcl,144
GSE3816_set1_family.pcl,145
GSE3820_setA_family.pcl,146
2010.Fry03.filter.flt.knn.avg.div.log.pcl,147
GSE5301_setA_family.pcl,148
2010.ploidy.pcl,149
GSE29420_final.pcl,150
GSE12684_setA_family.pcl,151
GSE2159_setA_family.pcl,152
GSE2329_setA_family.pcl,153
GSE2330_setA_family.pcl,154
2010.Gasch00_adenineStarvation.flt.knn.avg.pcl,155
2010.Gasch00_carbonSources.flt.knn.avg.pcl,156
2010.Gasch00_diamideTreatment.flt.knn.avg.pcl,157
2010.Gasch00_DTT(y13).flt.knn.avg.pcl,158
2010.Gasch00_DTT(y14).flt.knn.avg.pcl,159
2010.Gasch00_HOtimeCourse.flt.knn.avg.pcl,160
2010.Gasch00_HS25-37.flt.knn.avg.pcl,161
2010.Gasch00_HS29-33.flt.knn.avg.pcl,162
2010.Gasch00_HS30-37.flt.knn.avg.pcl,163
2010.Gasch00_HS37-25.flt.knn.avg.pcl,164
2010.Gasch00_HSmild.flt.knn.avg.pcl,165
2010.Gasch00_HSto37.flt.knn.avg.pcl,166
2010.Gasch00_hyper-osmotic.flt.knn.avg.pcl,167
2010.Gasch00_hypo-osmotic.flt.knn.avg.pcl,168
2010.Gasch00_menadione.flt.knn.avg.pcl,169
2010.Gasch00_Ndepletion.flt.knn.avg.pcl,170
2010.Gasch00_stationaryPhase(y12).flt.knn.avg.pcl,171
2010.Gasch00_stationaryPhase(y14).flt.knn.avg.pcl,172
2010.Gasch00_steadyState(y13).flt.knn.avg.pcl,173
2010.Gasch00_steadyState(y14).flt.knn.avg.pcl,174
2010.DNAdamage.pcl,175
GSE28677_final.pcl,176
GSE24802_final.pcl,177
GSE19302_final.pcl,178
GSE26303_final.pcl,179
GSE6801_setA_family.pcl,180
GSE13435_set0_family.pcl,181
2010.Gross00.flt.knn.avg.pcl,182
GSE6370_set0_family.pcl,183
GSE3076_setA_family.pcl,184
GSE32196GPL15778.sfp.pcl,185
GSE2419_setA_family.pcl,186
GSE2420_setA_family.pcl,187
GSE32703_final.pcl,188
2010.Hardwick00.flt.knn.avg.pcl,189
2010.arsenic_deletions.pcl,190
2010.arsenic_time_dose.pcl,191
GSE9590_setA_family.pcl,192
GSE8613_setA_family.pcl,193
GSE14619_setA_family.pcl,194
GSE27185_final.pcl,195
GSE36118_final.pcl,196
2010.Huang02.flt.knn.avg.pcl,197
2010.rapamycin.pcl,198
2010.Hughes00.flt.knn.avg.pcl,199
GSE7385_setA_family.pcl,200
GSE4654_setA_family.pcl,201
2010.Ideker01.flt.knn.avg.pcl,202
GSE3006_setA_family.pcl,203
GSE6118_setA_family.pcl,204
GSE8718_setA_family.pcl,205
GSE9432_setA_family.pcl,206
GSE8897_setA_family.pcl,207
GSE8898_setA_family.pcl,208
GSE18994_final.pcl,209
2010.Jin04.filter.flt.knn.avg.div.log.pcl,210
GSE6331_setA_family.pcl,211
GSE2818_set0_family.pcl,212
GSE9482_setA_family.pcl,213
2010.Jones03_orig.flt.knn.avg.pcl,214
GSE7393_set0_family.pcl,215
GSE7393_set1_family.pcl,216
GSE7393_set2_family.pcl,217
GSE7393_set3_family.pcl,218
GSE7393_set4_family.pcl,219
GSE7393_set5_family.pcl,220
GSE11071_setA_family.pcl,221
GSE12822_setA_family.pcl,222
2010.Keller01.flt.knn.avg.pcl,223
GSE4311_setA_family.pcl,224
GSE14102_setA_family.pcl,225
GSE9336_setA_family.pcl,226
GSE9337_setA_family.pcl,227
GSE9401_setA_family.pcl,228
GSE2583_setA_family.pcl,229
GSE6358_setA_family.pcl,230
GSE4807_setA_family.pcl,231
GSE11452_setA_family.pcl,232
GSE8761_setA_family.pcl,233
GSE3821_setA_family.pcl,234
GSE6620_setA_family.pcl,235
2010.Kuhn01.flt.knn.avg.pcl,236
GSE8343_setA_family.pcl,237
GSE4049_setA_family.pcl,238
GSE10269_set0_family.pcl,239
2010.galactose_anoxia_reoxygenation.pcl,240
2010.glucose_anoxia_reoxygenation.pcl,241
GSE3706_setA_family.pcl,242
GSE3021_setA_family.pcl,243
GSE7537_setA_family.pcl,244
GSE26923_final.pcl,245
2010.Leber04.flt.knn.avg.pcl,246
2010.HO_endonuclease.pcl,247
2010.Lee05.filter.flt.knn.avg.div.log.pcl,248
GSE25909_s313_final.pcl,249
GSE6302_set00_family.pcl,250
GSE6302_set01_family.pcl,251
GSE6302_set02_family.pcl,252
GSE6302_set03_family.pcl,253
GSE6302_set04_family.pcl,254
GSE6302_set05_family.pcl,255
GSE6302_set06_family.pcl,256
GSE6302_set07_family.pcl,257
GSE6302_set08_family.pcl,258
GSE6302_set09_family.pcl,259
GSE6302_set10_family.pcl,260
GSE8379_setA_family.pcl,261
GSE31389_final.pcl,262
GSE31390_final.pcl,263
GSE9302_setA_family.pcl,264
2010.Lopez00.filter.flt.knn.avg.div.log.pcl,265
2010.Lyons00.flt.knn.avg.pcl,266
2010.Madhani99.filter.flt.knn.avg.div.log.pcl,267
GSE2831_setA_family.pcl,268
GSE8536_setA_family.pcl,269
2010.Martin04.filter.flt.knn.avg.div.log.pcl,270
2010.Marton98.log.flt.knn.avg.pcl,271
GSE3316_setA_family.pcl,272
GSE7820_set0_family.pcl,273
GSE7820_set1_family.pcl,274
GSE7820_setA_family.pcl,275
GSE8111_setA_family.pcl,276
GSE5842_set0_family.pcl,277
GSE3354_setA_family.pcl,278
2010.swr1_htz1_hmr_sir2.pcl,279
2010.Miyake04.flt.knn.avg.pcl,280
2010.swr1_htz1_ino80.pcl,281
2010.EssentialGenes.pcl,282
GSE9645_set0_family.pcl,283
GSE9663_set0_family.pcl,284
GSE21571_final.pcl,285
GSE24675_final.pcl,286
GSE24681_final.pcl,287
GSE6316_setA_family.pcl,288
GSE6847_setA_family.pcl,289
GSE11282_setA_family.pcl,290
GSE28213GPL13340.sfp.pcl,291
GSE28213GPL14666.sfp.pcl,292
GSE33185_final.pcl,293
2010.ORourke03.flt.knn.avg.pcl,294
GSE3859_setA_family.pcl,295
2010.Ogawa00_set1.flt.knn.avg.pcl,296
2010.Ogawa00_set2.flt.knn.avg.pcl,297
2010.Olesen02.filter.flt.knn.avg.div.log.pcl,298
2010.Orlandi04.filter.flt.knn.avg.div.log.pcl,299
GSE8799_setA_family.pcl,300
GSE40116_final.pcl,301
GSE10554_setA_family.pcl,302
GSE22122_final.pcl,303
GSE3806_setA_family.pcl,304
GSE7337_setA_family.pcl,305
GSE7338_setA_family.pcl,306
GSE8629_setA_family.pcl,307
GSE3200_set0_family.pcl,308
GSE3200_set1_family.pcl,309
2010.Pitkanen04.filter.flt.knn.avg.div.log.pcl,310
GSE3635_setA_family.pcl,311
GSE5283_setA_family.pcl,312
GSE4987_setA_family.pcl,313
2010.Primig00.filter.flt.knn.avg.div.log.pcl,314
2010.Prinz04.flt.knn.avg.pcl,315
2010.Protchenko01.flt.knn.avg.pcl,316
GSE9514_setA_family.pcl,317
GSE11236_setA_family.pcl,318
GSE34286_final.pcl,319
GSE4584_set0_family.pcl,320
GSE4584_set1_family.pcl,321
GSE4586_setA_family.pcl,322
GSE22832_final.pcl,323
2010.Robertson00.filter.flt.knn.avg.div.log.pcl,324
2010.alpha_conc.pcl,325
2010.alpha_time.pcl,326
2010.glucose_glycerol_transition.pcl,327
2010.RodriguezNavarro04.filter.flt.knn.avg.div.log.pcl,328
GSE5931_setA_family.pcl,329
GSE4158_set0_family.pcl,330
GSE2434_setA_family.pcl,331
GSE27222_final.pcl,332
GSE11651_setA_family.pcl,333
GSE11620_setA_family.pcl,334
2010.Rudra05.filter.flt.knn.avg.div.log.pcl,335
2010.Sabet04.filter.flt.knn.avg.div.log.pcl,336
