Gene,Fold
YBL010C,0
YDR446W,0
YNL012W,0
YPR132W,0
YMR234W,0
YJR017C,0
YDL033C,0
YBR236C,0
YGR249W,0
YDL209C,0
YCR067C,0
YNL253W,0
YOL044W,0
YOR329C,0
YML032C,0
YPR024W,0
YDL014W,0
YNL259C,0
YIL126W,0
YKL085W,0
YLR287C-A,0
YJL214W,0
YCL048W,0
YGL173C,0
YPR029C,0
YKR058W,0
YBR036C,0
YER099C,0
YPR026W,0
YCR094W,0
YHR073W,0
YHR052W,0
YJR046W,0
YBR276C,0
YDL194W,0
YMR037C,0
YDL083C,0
YBL023C,0
YLL022C,0
YHR007C,0
YDR166C,0
YPR091C,0
YFR034C,0
YBR205W,0
YGR282C,0
YJL167W,0
YPL258C,0
YKR088C,0
YLR380W,0
YOR242C,0
YGR097W,0
YDL097C,0
YOR167C,0
YDL022W,0
YMR319C,0
YOL070C,0
YCR042C,0
YPL011C,0
YIL098C,0
YBL004W,0
YGR202C,0
YOR065W,0
YOL078W,0
YCR066W,0
YGL043W,0
YOR156C,0
YDR076W,0
YNR023W,0
YDR014W-A,0
YKL046C,0
YJR132W,0
YHR099W,0
YHR027C,0
YDR147W,0
YGL163C,0
YPL164C,0
YPL009C,0
YDR214W,0
YOR047C,0
YBR278W,0
YHR114W,0
YFR046C,0
YHR017W,0
YHR112C,0
YPL153C,0
YNR031C,0
YGR248W,0
YDL046W,0
YIL064W,0
YHR070W,0
YNL288W,0
YKL002W,0
YJR054W,0
YNL313C,0
YER054C,0
YDR508C,0
YOR344C,0
YDR369C,0
YIL074C,0
YOL112W,0
YMR179W,0
YDR074W,0
YMR009W,0
YDL052C,0
YGL181W,0
YML082W,0
YKL208W,0
YCR055C,0
YMR154C,0
YGL017W,0
YOR001W,0
YLR345W,0
YBR280C,0
YLR262C,0
YBL046W,0
YBR260C,0
YML010W,0
YMR045C,0
YGL211W,0
YGL178W,0
YDR108W,0
YBR079C,0
YLR034C,0
YAL030W,0
YER042W,0
YER109C,0
YCR040W,0
YNL148C,0
YOR157C,0
YDR062W,0
YJL011C,0
YDL245C,0
YKL055C,0
YMR042W,0
YER023W,0
YDL149W,0
YER016W,0
YDR459C,0
YOR070C,0
YFR041C,0
YDR343C,0
YAR019C,0
YGL039W,0
YCR014C,0
YGR225W,0
YDR378C,0
YMR110C,0
YEL062W,0
YLR219W,0
YGR134W,0
YJL103C,0
YHR197W,0
YGL065C,0
YBL045C,0
YJL087C,0
YNR001C,0
YJL133W,0
YJL013C,0
YDL044C,0
YNL248C,0
YCL001W,0
YPL271W,0
YFR047C,0
YOR168W,0
YDR300C,0
YPL132W,0
YLR176C,0
YNL029C,0
YCR097WB,0
YDR190C,0
YOR272W,0
YER051W,0
YAL013W,0
YNL119W,0
YDL178W,0
YBL017C,0
YML130C,0
YGL174W,0
YCR029C-A,0
YIL123W,0
YPL015C,0
YDR361C,0
YGR247W,0
YJL050W,0
YLL013C,0
YKL155C,0
YMR295C,0
YGR155W,0
YJL138C,0
YGR070W,0
YML124C,0
YPL218W,0
YNL292W,0
YPR004C,0
YER106W,0
YAL060W,0
YJL114W,0
YIL052C,0
YOR017W,0
YJR077C,0
YPL016W,0
YJR015W,0
YIL027C,0
YKR029C,0
YKL003C,0
YGL030W,0
YHR046C,0
YOR211C,0
YIL011W,0
YHR206W,0
YDR144C,0
YNR074C,0
YPL237W,0
YLR187W,0
YIL158W,0
YDL072C,0
YPR199C,0
YIL047C,0
YBR031W,0
YNL219C,0
YLR200W,0
YOR252W,0
YER177W,0
YBR058C-A,0
YIL136W,0
YIL107C,0
YCL005W-A,0
YER035W,0
YBR231C,0
YNL133C,0
YPR018W,0
YML021C,0
YBR172C,0
YMR089C,0
YLR038C,0
YKL179C,0
YHR215W,0
YFL035C-A,0
YNR049C,0
YDR134C,0
YKR092C,0
YPR144C,0
YJL225C,0
YPL115C,0
YPL013C,0
YOR046C,0
YLR069C,0
YPL149W,0
YHR135C,0
YNR043W,0
YDR517W,0
YGR080W,0
YNL101W,0
YLR011W,0
YDR018C,0
YNL002C,0
YNR027W,0
YPL066W,0
YDR030C,0
YBR217W,0
YOL053C-A,0
YDL155W,0
YNR026C,0
YAL056W,0
YPL098C,0
YJR135W-A,0
YEL029C,0
YLR003C,0
YJL197W,0
YNL045W,0
YGR120C,0
YDR354W,0
YNL006W,0
YOL018C,0
YNL190W,0
YOR209C,0
YJR055W,0
YPL150W,0
YMR016C,0
YFR016C,0
YFR048W,0
YLR148W,0
YBL007C,0
YIL066C,0
YMR083W,0
YOR204W,0
YMR025W,0
YOR327C,0
YMR264W,0
YCR105W,0
YPR113W,0
YKL067W,0
YBR302C,0
YDL058W,0
YIL162W,0
YOR222W,0
YAL068C,0
YOR370C,0
YPR030W,0
YPR095C,0
YNL079C,0
YOR020C,0
YGR060W,0
YPL177C,0
YBR044C,0
YML058W,0
YER100W,0
YAL051W,0
YHL013C,0
YJL026W,0
YJR131W,0
YHR124W,0
YMR193W,0
YLR304C,0
YGR284C,0
YGR128C,0
YGR003W,0
YML106W,0
YLR096W,0
YBR096W,0
YNL233W,0
YDR443C,0
YLR084C,0
YKR009C,0
YJL204C,0
YDL115C,0
YMR270C,0
YOR224C,0
YPL051W,0
YDL130W,0
YMR079W,0
YIL118W,0
YBR227C,0
YOR246C,0
YHL006C,0
YJL100W,0
YMR235C,0
YDR316W-A,0
YKL038W,0
YMR260C,0
YER111C,0
YDL061C,0
YHR016C,0
YBR301W,0
YLR410W,0
YDL045C,0
YJL201W,0
YKL040C,0
YGL186C,0
YPR148C,0
YBL030C,0
YPL257W-A,0
YMR308C,0
YMR097C,0
YFL033C,0
YCL017C,0
YPL175W,0
YMR055C,0
YCL066W,0
YML061C,0
YHR160C,0
YGR159C,0
YPL267W,0
YHL024W,0
YJL098W,0
YDR453C,0
YLR164W,0
YPR031W,0
YDR389W,0
YKR054C,0
YER012W,0
YHR152W,0
YLR227W-A,0
YPL091W,0
YBR081C,0
YMR069W,0
YBR043C,0
YPR075C,0
YGR163W,0
YML016C,0
YBR122C,0
YEL051W,0
YNL014W,0
YLR075W,0
YNL217W,0
YIL153W,0
YFL058W,0
YMR125W,0
YLR439W,0
YKR046C,0
YNR061C,0
YER068W,0
YPR086W,0
YBR283C,0
YDL008W,0
YKL112W,0
YIL031W,0
YOR269W,0
YDR226W,0
YKL041W,0
YOR288C,0
YDR208W,0
YFL021W,0
YER048W-A,0
YER032W,0
YPL113C,0
YJL136C,0
YHR090C,0
YMR117C,0
YMR283C,0
YAR042W,0
YOL096C,0
YDR261W-B,0
YGL071W,0
YIL041W,0
YHL025W,0
YIL144W,0
YPL040C,0
YFR014C,0
YOL026C,0
YOR388C,0
YOR158W,0
YPR143W,0
YOL092W,0
YNL330C,0
YPR158C-C,0
YDR168W,0
YDL051W,0
YJL200C,0
YDR492W,0
YGL089C,0
YBR257W,0
YDL036C,0
YJL044C,0
YNR050C,0
YLR138W,0
YEL063C,0
YIL014W,0
YOR253W,0
YLR450W,0
YER083C,0
YER159C,0
YDL197C,0
YML039W,0
YDR448W,0
YLR196W,0
YMR051C,0
YDR148C,0
YOR298C-A,0
YNL164C,0
YLL057C,0
YMR026C,0
YMR086W,0
YGL253W,0
YJR076C,0
YPL235W,0
YIL111W,0
YKL043W,0
YLR383W,0
YAL007C,0
YBL009W,0
YLR438C-A,0
YNL085W,0
YER126C,0
YGR278W,0
YDR150W,0
YGR103W,0
YHR014W,0
YHR209W,0
YDR489W,0
YJR032W,0
YDR174W,0
YIL021W,0
YCR020W-B,0
YMR240C,0
YDL120W,0
YGL175C,0
YPR100W,0
YIR005W,0
YGL032C,0
YLR435W,0
YNL176C,0
YOL149W,0
YLR093C,0
YGR143W,0
YOR340C,0
YJR113C,0
YGR001C,0
YDR266C,0
YIL143C,0
YJR119C,0
YML131W,0
YMR067C,0
YER114C,0
YIL113W,0
YML062C,0
YOL141W,0
YFL041W,0
YDR233C,0
YPL007C,0
YOL066C,0
YLR272C,0
YLR344W,0
YCL027C-A,0
YLR120C,0
YDL006W,0
YDR425W,0
YLR336C,0
YNL159C,0
YER087W,0
YPL152W,0
YLR429W,0
YKL185W,0
YIL017C,0
YLL041C,0
YEL069C,0
YCL044C,0
YDR353W,0
YPL131W,0
YGR147C,0
YGL194C,0
YPR167C,0
YOR210W,0
YLL021W,0
YDR400W,0
YNL305C,0
YLR414C,0
YBR161W,0
YOL146W,0
YER153C,0
YOR275C,0
YOR273C,0
YAL028W,0
YGR283C,0
YPR194C,0
YKL080W,0
YPR065W,0
YJL158C,0
YPL154C,0
YOR142W-A,0
YHR186C,0
YDL225W,0
YHR171W,0
YDR328C,0
YIR010W,0
YCR079W,0
YAL024C,0
YGL255W,0
YGL143C,0
YPR023C,0
YGR009C,0
YHR031C,0
YPL156C,0
YKL068W,0
YGL011C,0
YLR014C,0
YMR237W,0
YLR347C,0
YDR181C,0
YML070W,0
YLL043W,0
YDR162C,0
YGR238C,0
YNL156C,0
YMR095C,0
YHR045W,0
YNL311C,0
YER004W,0
YNL149C,0
YBR208C,0
YHR020W,0
YOR188W,0
YLR382C,0
YNL281W,0
YER179W,0
YGR264C,0
YER164W,0
YIL020C,0
YLR157C-A,0
YNL323W,0
YIR028W,0
YHL009C,0
YOR198C,0
YDR507C,0
YGR241C,0
YDR498C,0
YOR362C,0
YNL283C,0
YGR161C-D,0
YCL059C,0
YGL150C,0
YKL065C,0
YGL156W,0
YGL009C,0
YGL090W,0
YGR254W,0
YBR059C,0
YPL239W,0
YNL220W,0
YHL032C,0
YMR146C,0
YLR127C,0
YPR141C,0
YLL054C,0
YIL029C,0
YPL135W,0
YOL068C,0
YML063W,0
YJR095W,0
YLL060C,0
YLR224W,0
YAL025C,0
YFR002W,0
YBL093C,0
YIL105C,0
YNL080C,0
YNR034W,0
YFR031C-A,0
YOL097C,0
YER094C,0
YDL166C,0
YGR199W,0
YLR397C,0
YEL034W,0
YOR207C,0
YDR039C,0
YIL030C,0
YGR266W,0
YML054C,0
YOR241W,0
YER147C,0
YKR093W,0
YJR075W,0
YDR126W,0
YMR143W,0
YIL009C-A,0
YDL074C,0
YCR048W,0
YDR304C,0
YER117W,0
YOR136W,0
YLR340W,0
YER145C,0
YDR189W,0
YML116W,0
YHR038W,0
YHR214C-B,0
YBR253W,0
YGR008C,0
YMR297W,0
YGL224C,0
YPL210C,0
YPR054W,0
YFL060C,0
YPL254W,0
YMR242C,0
YDR052C,0
YNR019W,0
YIL137C,0
YDR356W,0
YER007W,0
YDR408C,0
YBR068C,0
YGR169C,0
YDR451C,0
YNR036C,0
YGL195W,0
YOR356W,0
YNL291C,0
YLR292C,0
YNL264C,0
YNL142W,0
YBR295W,0
YLR170C,0
YLR114C,0
YOR023C,0
YFR008W,0
YGR161W-A,0
YOR213C,0
YNL328C,0
YDL028C,0
YJR002W,0
YMR269W,0
YPL021W,0
YGR223C,0
YOR334W,0
YHR157W,0
YBR263W,0
YMR255W,0
YKR086W,0
YNL167C,0
YHR079C,0
YJL028W,0
YOR130C,0
YMR078C,0
YLR391W,0
YCR107W,0
YKL099C,0
YFR033C,0
YDL214C,0
YKR052C,0
YJL061W,0
YKR061W,0
YMR243C,0
YHR050W,0
YDL019C,0
YKL045W,0
YJL207C,0
YGL103W,0
YLR201C,0
YMR220W,0
YJL153C,0
YKL204W,0
YCR021C,0
YMR005W,0
YKL056C,0
YEL024W,0
YPR083W,0
YDR273W,0
YBR162C,0
YMR205C,0
YKL140W,0
YPR107C,0
YNL042W,0
YOR094W,0
YAL063C,0
YHR108W,0
YGR014W,0
YMR221C,0
YGR129W,0
YNR033W,0
YDR381C-A,0
YML097C,0
YER143W,0
YDR059C,0
YMR184W,0
YDL059C,0
YNL172W,0
YDR180W,0
YKR022C,0
YHR166C,0
YLR157C,0
YOL142W,0
YLR172C,0
YJL173C,0
YPL057C,0
YDR246W,0
YBR267W,0
YJL171C,0
YKL021C,0
YOR115C,0
YHR113W,0
YNL250W,0
YKR050W,0
YDR350C,0
YDR195W,0
YFL045C,0
YGL233W,0
YIL002C,0
YGR055W,0
YPR184W,0
YDR477W,0
YDR145W,0
YDR432W,0
YLR276C,0
YMR301C,0
YDR160W,0
YGL245W,0
YGL123W,0
YOR078W,0
YPR036W-A,0
YLR033W,0
YJL024C,0
YOR068C,0
YHR128W,0
YMR287C,0
YOR391C,0
YGL184C,0
YDL065C,0
YHR133C,0
YPR189W,0
YLR335W,0
YCR016W,0
YNL325C,0
YDR447C,0
YNL064C,0
YJL034W,0
YLL066C,0
YGR123C,0
YMR218C,0
YDL160C,0
YDR036C,0
YDR416W,0
YJL221C,0
YKL138C,0
YLL017W,0
YFL053W,0
YBL069W,0
YCR053W,0
YJR143C,0
YBR200W,0
YER025W,0
YML105C,0
YPL050C,0
YER058W,0
YOR279C,0
YDL102W,0
YPL203W,0
YOL016C,0
YNL225C,0
YLR328W,0
YGL251C,0
YJR091C,0
YCL055W,0
YGR274C,0
YJL178C,0
YBR123C,0
YPL228W,0
YEL060C,0
YPR181C,0
YMR164C,0
YIL053W,0
YDR117C,0
YDL085W,0
YOR112W,0
YGR279C,0
YIL145C,0
YPL129W,0
YNL008C,0
YKR026C,0
YNL093W,0
YNL066W,0
YLL004W,0
YPR093C,0
YCR024C-A,0
YMR070W,0
YDL202W,0
YNL275W,0
YPR187W,0
YOL120C,0
YJL154C,0
YDR276C,0
YIL156W,0
YFL018C,0
YOR074C,0
YGR148C,0
YHL050C,0
YJL020C,0
YDR165W,0
YKR006C,0
YGR082W,0
YMR048W,0
YMR133W,0
YAL012W,0
YEL012W,0
YOL147C,0
YCL010C,0
YHR188C,0
YGR281W,0
YOL094C,0
YNL218W,0
YDR204W,0
YKL014C,0
YDR345C,0
YPL084W,0
YMR166C,0
YJR090C,0
YDR177W,0
YPR021C,0
YKL195W,0
YER108C,0
YNL307C,0
YDL075W,0
YFL008W,0
YNL191W,0
YOR247W,0
YGL229C,0
YKL163W,0
YBR107C,0
YJR145C,0
YML041C,0
YNL336W,0
YOR382W,0
YIL078W,0
YGR256W,0
YDR043C,0
YDR536W,0
YLR320W,0
YIL103W,0
YPL283C,0
YDL121C,0
YER011W,0
YMR093W,0
YDR339C,0
YKL097W-A,0
YHR002W,0
YHL040C,0
YJL174W,0
YNL333W,0
YDL004W,0
YOR369C,0
YER053C,0
YLR406C,0
YLR385C,0
YCR044C,0
YKL110C,0
YML052W,0
YBR233W-A,0
YIR021W,0
YOR159C,0
YDR022C,0
YER018C,0
YPR036W,0
YDL106C,0
YMR292W,0
YLR208W,0
YOR007C,0
YMR096W,0
YHR096C,0
YDL012C,0
YGR180C,0
YDR436W,0
YGL051W,0
YER172C,0
YBR282W,0
YNL041C,0
YJR082C,0
YDR485C,0
YMR109W,0
YER081W,0
YPL170W,0
YBR084W,0
YKL009W,0
YLR453C,0
YLL018C,0
YMR054W,0
YNL025C,0
YBR196C,0
YGR027W-A,0
YCR028C,0
YJL116C,0
YNL001W,0
YNL162W,0
YJR058C,0
YJL004C,0
YAR002C-A,0
YIL114C,0
YOR292C,0
YBR142W,0
YMR053C,0
YMR227C,0
YDR337W,0
YDL135C,0
YKR080W,0
YHR109W,0
YMR087W,0
YCR063W,0
YHL017W,0
YDL090C,0
YAL062W,0
YOL020W,0
YCL060C,0
YNL181W,0
YPL190C,0
YDR050C,0
YJL194W,0
YPL262W,0
YKR069W,0
YPL088W,0
YER053C-A,0
YCL025C,0
