Gene,Fold
YHR199C,0
YML011C,0
YIL128W,0
YLR120C,0
YKL035W,0
YDR097C,0
YDR100W,0
YBR149W,0
YHR127W,0
YOR075W,0
YKR080W,0
YPL117C,0
YCR023C,0
YMR260C,0
YDR081C,0
YKL023W,0
YDR542W,0
YBL098W,0
YLR466W,0
YGL233W,0
YDR337W,0
YDR328C,0
YMR109W,0
YPR007C,0
YNL248C,0
YKL081W,0
YLR148W,0
YLR370C,0
YMR289W,0
YLL023C,0
YPR198W,0
YLR225C,0
YPR097W,0
YJL140W,0
YMR295C,0
YIL098C,0
YKL046C,0
YLR090W,0
YNL133C,0
YKR027W,0
YDL248W,0
YNL059C,0
YBR220C,0
YOR249C,0
YOL116W,0
YKL113C,0
YDR503C,0
YJL139C,0
YBR168W,0
YBR098W,0
YHL047C,0
YDL087C,0
YNL126W,0
YBR264C,0
YKR026C,0
YAL062W,0
YJL189W,0
YNR061C,0
YAL042W,0
YHR199C-A,0
YLR250W,0
YDR049W,0
YNR044W,0
YGR036C,0
YDL155W,0
YHR039C-A,0
YNR032C-A,0
YGL201C,0
YFL066C,0
YIL072W,0
YDR368W,0
YJL092W,0
YLR244C,0
YGR180C,0
YNL016W,0
YDR066C,0
YPL171C,0
YJR067C,0
YDR477W,0
YDR365C,0
YDR322W,0
YLR006C,0
YPL002C,0
YGR233C,0
YFL045C,0
YOR191W,0
YBR061C,0
YPL270W,0
YER163C,0
YMR029C,0
YPL184C,0
YKL057C,0
YDL036C,0
YLR332W,0
YMR210W,0
YKL025C,0
YNR074C,0
YPL265W,0
YDL170W,0
YJL174W,0
YIL038C,0
YPR066W,0
YLL049W,0
YGR209C,0
YCR020W-B,0
YPL001W,0
YMR148W,0
YDL225W,0
YPL211W,0
YIL168W,0
YKL079W,0
YDR341C,0
YMR152W,0
YOL031C,0
YPR137C-B,0
YKL043W,0
YFR008W,0
YBL076C,0
YLR359W,0
YOL114C,0
YPR054W,0
YOR110W,0
YGL168W,0
YOR244W,0
YPL242C,0
YOR330C,0
YKL152C,0
YML121W,0
YOR096W,0
YHR193C,0
YOR275C,0
YGL255W,0
YDR144C,0
YGR148C,0
YDR210W,0
YGL209W,0
YMR142C,0
YMR231W,0
YOR269W,0
YLR063W,0
YDL127W,0
YDR383C,0
YBR106W,0
YAR031W,0
YNL246W,0
YDR365W-A,0
YDL159W,0
YDR069C,0
YMR197C,0
YBR020W,0
YJL192C,0
YNL092W,0
YMR288W,0
YPR196W,0
YPL216W,0
YPL090C,0
YDR295C,0
YPR004C,0
YGR277C,0
YNL256W,0
YCR057C,0
YIL079C,0
YJL020C,0
YPL203W,0
YDL122W,0
YNL336W,0
