Term,Alpha
GO:0000054,44404.662306777645
GO:0000278,406.76100382315457
GO:0000747,2390.036544
GO:0001403,14357.678200692042
GO:0002181,1493772.84
GO:0003677,128.54258728284702
GO:0003682,14357.678200692042
GO:0003700,2019.0484969723184
GO:0003735,744.2666015625
GO:0004386,3888.4132653061224
GO:0004518,1637.836980834174
GO:0005085,38859.85535900104
GO:0005576,4714.596768084838
GO:0005618,2977.06640625
GO:0005694,360.17438563327033
GO:0005730,648.33890625
GO:0005740,298.0012209135306
GO:0005773,693.8228485434007
GO:0005777,10728.043952887101
GO:0005783,191.15252042341476
GO:0005794,731.15202834991
GO:0005840,313.7519092627599
GO:0005886,283.4074858274708
GO:0005933,1045.4444444444443
GO:0005938,2924.60811339964
GO:0006260,1728.1836734693877
GO:0006281,642.9696630567655
GO:0006310,1178.6491920212095
GO:0006325,1515.0440585824983
GO:0006352,8573.076446280991
GO:0006353,77157.68801652892
GO:0006360,4509.639053254438
GO:0006364,699.8429752066115
GO:0006366,317.4214910453978
GO:0006383,10036.098091910777
GO:0006397,1233.4628418549346
GO:0006401,4610.41
GO:0006413,15553.65306122449
GO:0006414,55243.07840236687
GO:0006418,25861.71814404432
GO:0006457,3589.4195501730105
GO:0006468,1371.6922314049586
GO:0006470,24552.479289940828
GO:0006486,7408.117635389804
GO:0006629,450.2353515625
GO:0006811,880.0151050994439
GO:0006865,16905.532367587144
GO:0006869,20197.036776636018
GO:0006873,2637.1245674740485
GO:0006887,15553.65306122449
GO:0006897,4714.596768084838
GO:0006970,4610.41
GO:0006979,6298.586776859504
GO:0007005,1339.0340636093083
GO:0007010,785.7991961956064
GO:0007031,27278.53981008035
GO:0007033,10373.4225
GO:0007059,1139.90174292604
GO:0007124,8076.193987889274
GO:0008033,4052.1181640625
GO:0008168,4822.355501033057
GO:0008233,992.25
GO:0008289,7843.797731568998
GO:0008380,2111.1606648199445
GO:0008643,20197.036776636018
GO:0009408,59750.9136
GO:0009451,807.8814710654408
GO:0016197,27278.53981008035
GO:0016301,757.7372169466764
GO:0016491,349.2440871980473
GO:0016757,3589.4195501730105
GO:0016779,2143.269111570248
GO:0016791,3969.0
GO:0016798,13810.769600591717
GO:0016829,4137.874903047092
GO:0016853,7843.797731568998
GO:0016874,1554.3942143600416
GO:0019843,27278.53981008035
GO:0022857,340.8541451793978
GO:0030427,718.3810595567867
GO:0030674,9714.96383975026
GO:0031410,712.1206880112888
GO:0032196,1826.2174678468384
GO:0032543,5168.764152249135
GO:0042273,7408.117635389804
GO:0042274,3323.631274474902
GO:0042393,84681.0
GO:0045333,1659.7476
GO:0051082,5049.259194159004
GO:0051321,757.7372169466764
GO:0051603,648.33890625
GO:0051726,1165.5167129615181
