Gene,Fold
YLR319C,0
YFR030W,0
YGL078C,0
YDR494W,0
YBR296C,0
YDL108W,0
YPR031W,0
YCR077C,0
YLR285W,0
YLR233C,0
YDR043C,0
YLR382C,0
YJL090C,0
YGR037C,0
YBL008W,0
YNL291C,0
YPL131W,0
YDR058C,0
YPR017C,0
YPL106C,0
YOR171C,0
YPL240C,0
YPR120C,0
YEL060C,0
YBL074C,0
YPL221W,0
YGR140W,0
YCR057C,0
YER053C,0
YDR175C,0
YMR021C,0
YGL249W,0
YLR208W,0
YMR079W,0
YJL164C,0
YPR010C,0
YJL146W,0
YJR090C,0
YBR245C,0
YCL010C,0
YPL095C,0
YKR007W,0
YGL012W,0
YNL130C,0
YOR372C,0
YDL074C,0
YNL023C,0
YPL138C,0
YMR156C,0
YMR186W,0
YJR077C,0
YDL223C,0
YDR045C,0
YPL011C,0
YIL110W,0
YER154W,0
YAL041W,0
YNL161W,0
YPL200W,0
YPR036W,0
YGR225W,0
YGR112W,0
YBR273C,0
YHR197W,0
YOL076W,0
YMR314W,0
YJR108W,0
YGR270W,0
YJL196C,0
YLR390W-A,0
YJL186W,0
YGR013W,0
YKL166C,0
YHR052W,0
YDR217C,0
YGR191W,0
YER038C,0
YLR092W,0
YAR003W,0
YMR025W,0
YGR082W,0
YDR086C,0
YGL205W,0
YOR279C,0
YMR087W,0
YML023C,0
YER107C,0
YNL188W,0
YPR075C,0
YER009W,0
YLL061W,0
YHR060W,0
YNL027W,0
YHR172W,0
YHR016C,0
YKL079W,0
YMR143W,0
YDL225W,0
YLR035C,0
YDR377W,0
YDR210W-D,0
YLR409C,0
YMR309C,0
YOR315W,0
YKR081C,0
YDR082W,0
YPR158C-D,0
YCL054W,0
YMR190C,0
YEL071W,0
YLR276C,0
YKL001C,0
YKR079C,0
YOL044W,0
YGR296W,0
YDR330W,0
YLR305C,0
YEL041W,0
YMR056C,0
YDR208W,0
YML075C,0
YLR154C,0
YPL082C,0
YGR038C-B,0
YDR036C,0
YIL034C,0
YDL232W,0
YER035W,0
YGR089W,0
YML093W,0
YNR046W,0
YOL130W,0
YMR201C,0
YDL055C,0
YHR024C,0
YKL025C,0
YKL201C,0
YKL185W,0
YDR311W,0
YFL045C,0
YDR195W,0
YGR241C,0
YJL093C,0
YMR277W,0
YDL095W,0
YKL172W,0
YML069W,0
YLR321C,0
YBL013W,0
YKL053C-A,0
YMR241W,0
YML043C,0
YER179W,0
YKL122C,0
YOR330C,0
YOR198C,0
YDL046W,0
YCR044C,0
YHR066W,0
YBR041W,0
YMR192W,0
YLR079W,0
YDR362C,0
YBR083W,0
YDR484W,0
YFL041W,0
YBR179C,0
YER007W,0
YMR059W,0
YML046W,0
YKR029C,0
YLR337W,0
YMR061W,0
YHR085W,0
YDR409W,0
YOL127W,0
YJR093C,0
YDR077W,0
YDR376W,0
YPL060C-A,0
YOR341W,0
YGR101W,0
YPL253C,0
YGR009C,0
YFR005C,0
YLR398C,0
YDL111C,0
YOL145C,0
YKL048C,0
YKL073W,0
YNL111C,0
YPR193C,0
YOL105C,0
YGL175C,0
YHR043C,0
YBR131W,0
YGL253W,0
YMR054W,0
YDR341C,0
YKL012W,0
YER031C,0
YKL092C,0
YBR175W,0
YPL144W,0
YCR106W,0
YPR056W,0
YBR290W,0
YJR025C,0
YNL207W,0
YER051W,0
YDL052C,0
YJR160C,0
YGR074W,0
YPR105C,0
YML024W,0
YPL267W,0
YML124C,0
YHR115C,0
YDR079W,0
YPL217C,0
YHR111W,0
YOR078W,0
YHR083W,0
YNL071W,0
YIR011C,0
YDR306C,0
YMR089C,0
YHL007C,0
YCL067C,0
YDR356W,0
YAL058W,0
YDL002C,0
YOR054C,0
YGL133W,0
YDR284C,0
YBR068C,0
YDR264C,0
YDR480W,0
YIR022W,0
YMR305C,0
YPL175W,0
YOL102C,0
YNR058W,0
YCL027W,0
YDR359C,0
YIL173W,0
YNR049C,0
