Gene,Fold
YDR162C,0
YGR081C,0
YNL334C,0
YML080W,0
YHL022C,0
YKR035W-A,0
YOR162C,0
YHR137W,0
YER099C,0
YPL096C-A,0
YER190W,0
YLR098C,0
YHR166C,0
YDR484W,0
YGR159C,0
YLR398C,0
YKL182W,0
YMR198W,0
YOR056C,0
YJL157C,0
YBR183W,0
YMR313C,0
YPL122C,0
YNL082W,0
YGL018C,0
YJR043C,0
YEL069C,0
YDR379W,0
YGR158C,0
YDR517W,0
YDR005C,0
YPR065W,0
YJL053W,0
YLR270W,0
YNR072W,0
YGL241W,0
YGR033C,0
YKR001C,0
YGL030W,0
YLR354C,0
YNL072W,0
YGR218W,0
YNL084C,0
YOL080C,0
YHR171W,0
YNL094W,0
YKR008W,0
YDR320C,0
YKL006C-A,0
YIL140W,0
YOR150W,0
YCR091W,0
YJR089W,0
YHR037W,0
YPL047W,0
YJL099W,0
YLL004W,0
YHL009C,0
YCR106W,0
YPL091W,0
YGR165W,0
YOR098C,0
YBL071W-A,0
YLR293C,0
YDR356W,0
YJL124C,0
YOR060C,0
YER065C,0
YDL074C,0
YNL007C,0
YGL053W,0
YHR004C,0
YGL257C,0
YJR084W,0
YPR054W,0
YCR067C,0
YBR249C,0
YDR210C-C,0
YCL052C,0
YKL104C,0
YPL209C,0
YLL017W,0
YGL212W,0
YDR189W,0
YDR103W,0
YKL150W,0
YMR301C,0
YKR060W,0
YDL101C,0
YBR117C,0
YJL014W,0
YAL016W,0
YOL105C,0
YOR028C,0
YGR161W-B,0
YCL033C,0
YML100W,0
YDR077W,0
YHR042W,0
YGR047C,0
YMR264W,0
YLR084C,0
YPR007C,0
YMR135C,0
YGR257C,0
YER105C,0
YBR061C,0
YGL046W,0
YDR310C,0
YNL014W,0
YDR059C,0
YNL104C,0
YOR381W,0
YDR529C,0
YPR103W,0
YPL283C,0
YKL160W,0
YNR032W,0
YLR147C,0
YOL043C,0
YOR063W,0
YNL066W,0
YGL029W,0
YFL003C,0
YPL045W,0
YPR154W,0
YLR455W,0
YDR143C,0
YMR172W,0
YCL008C,0
YOL088C,0
YOR031W,0
YDR058C,0
YGL168W,0
YML123C,0
YDR121W,0
YMR104C,0
YPL024W,0
YNR033W,0
YDR515W,0
YHR086W,0
YDR190C,0
