Term,Annos2007,Annos2022
GO:0000054,25,54
GO:0000278,248,386
GO:0000747,114,125
GO:0000902,259,45
GO:0000910,106,109
GO:0001403,43,55
GO:0003700,60,181
GO:0004518,140,151
GO:0005085,38,59
GO:0006260,112,158
GO:0006281,185,314
GO:0006310,109,254
GO:0006325,245,305
GO:0006352,56,87
GO:0006353,20,41
GO:0006360,30,72
GO:0006364,171,296
GO:0006366,333,553
GO:0006383,39,46
GO:0006397,149,210
GO:0006401,69,166
GO:0006413,41,64
GO:0006414,20,48
GO:0006418,31,37
GO:0006457,83,123
GO:0006468,96,218
GO:0006470,28,55
GO:0006486,73,81
GO:0006497,46,49
GO:0006605,244,255
GO:0006629,233,349
GO:0006766,87,62
GO:0006811,108,340
GO:0006865,37,58
GO:0006869,34,78
GO:0006873,110,167
GO:0006887,45,55
GO:0006897,84,140
GO:0006970,73,69
GO:0006979,67,130
GO:0006997,56,105
GO:0007005,106,292
GO:0007010,227,282
GO:0007031,40,53
GO:0007033,69,115
GO:0007059,117,224
GO:0007114,82,61
GO:0007124,65,77
GO:0008033,31,136
GO:0008135,45,57
GO:0008213,22,60
GO:0008380,121,146
GO:0008643,33,48
GO:0009408,22,59
GO:0009451,65,116
GO:0010324,84,1
GO:0015931,87,185
GO:0016050,15,101
GO:0016197,46,114
GO:0016570,88,139
GO:0018193,27,229
GO:0032196,109,120
GO:0032200,274,137
GO:0032787,124,168
GO:0042221,371,525
GO:0042255,62,80
GO:0042273,64,129
GO:0042274,22,145
GO:0042594,19,90
GO:0043543,62,86
GO:0045333,80,107
GO:0048193,161,210
GO:0048284,22,113
GO:0048308,41,57
GO:0051049,10,102
GO:0051052,31,126
GO:0051321,144,330
GO:0051603,148,270
GO:0051726,165,298
