Gene,Index
YKR042W,0
YPR125W,1
YHR083W,2
YLR368W,3
YNL310C,4
YKR085C,5
YNL026W,6
YOL027C,7
YNL149C,8
YMR012W,9
YLR370C,10
YBR212W,11
YDR150W,12
YKL053C-A,13
YNL121C,14
YGR101W,15
YDL142C,16
YPR024W,17
YJL054W,18
YGR181W,19
YNL055C,20
YCR028C-A,21
YPR083W,22
YMR241W,23
YCL044C,24
YHR120W,25
YLL013C,26
YMR060C,27
YFL036W,28
YMR072W,29
YDL029W,30
YGL219C,31
YNL066W,32
YJL116C,33
YDL006W,34
YER154W,35
YIL138C,36
YMR275C,37
YBR179C,38
YJR144W,39
YPL098C,40
YML061C,41
YOL076W,42
YML091C,43
YJR118C,44
YOR060C,45
YNL070W,46
YOR266W,47
YDL217C,48
YDR219C,49
YBR192W,50
YIL065C,51
YOL060C,52
YJL063C,53
YHR031C,54
YOR211C,55
YOR330C,56
YDR258C,57
YJR120W,58
YMR302C,59
YPR140W,60
YEL020W-A,61
YDR339C,62
YOR147W,63
YPR131C,64
YIL062C,65
YLR190W,66
YGR144W,67
YML104C,68
YOR326W,69
YFL039C,70
YBR234C,71
YML058W,72
YLR355C,73
YKR036C,74
YDR077W,75
YLR304C,76
YHR194W,77
YOL009C,78
YNL213C,79
YBR091C,80
YMR211W,81
YDR393W,82
YNR035C,83
YCR020C,84
YBL080C,85
YLL001W,86
YIL051C,87
YNL304W,88
YKL013C,89
YDR470C,90
YGL055W,91
YJR135W-A,92
YNL079C,93
YLL006W,94
YGL020C,95
YJL112W,96
YOR037W,97
YDL198C,98
YOL095C,99
YBR185C,100
YJR065C,101
YHR005C-A,102
YDR296W,103
YMR134W,104
21S_rRNA,105
A1,106
ALD1,107
ANC4,108
APG11,109
AUT6,110
AWA1,111
BIO6,112
BLM3,113
BST3,114
DBF1,115
DEX2,116
ESC3,117
Endo.SceI,118
GCD3,119
GRD10,120
GRD14,121
GRD15,122
GRD16,123
GRD17,124
GRD18,125
GRD3,126
GRD4,127
GRD5,128
HIR4,129
HRA1,130
MAL21,131
MAL22,132
MAL23,133
MAL41,134
MAL42,135
MAL43,136
MAL61,137
MAL62,138
MAL63,139
