Dataset,Index
2010.alpha_conc.pcl,325
2010.alpha_time.pcl,326
2010.Angus01.flt.knn.avg.pcl,9
2010.Baetz01.flt.knn.avg.pcl,27
2010.Bedalov01.flt.knn.avg.pcl,30
2010.Belli04.filter.flt.knn.avg.div.log.pcl,31
2010.Bernstein00_HDACrpd3sin3hda1.log.flt.knn.avg.pcl,34
2010.Bernstein00_HDACsin3sap30ume6hda1hos2hos3.filter.flt.knn.avg.div.log.pcl,35
2010.Bernstein00_TSA.filter.flt.knn.avg.div.log.pcl,36
2010.Boer05.filter.flt.knn.avg.div.log.pcl,53
2010.Brauer05_batch1.flt.knn.avg.pcl,60
2010.Brauer05_batch2.flt.knn.avg.pcl,61
2010.Brem05_orig.flt.knn.avg.pcl,68
2010.Bro03.filter.flt.knn.avg.div.log.pcl,70
2010.Bulik03.filter.flt.knn.avg.div.log.pcl,71
2010.Caba05.filter.flt.knn.avg.div.log.pcl,72
2010.CarmelHarel01.flt.knn.avg.pcl,74
2010.Carroll01.log.flt.knn.avg.pcl,75
2010.Causton01_acid.filter.flt.knn.avg.div.log.pcl,80
2010.Causton01_alkali.filter.flt.knn.avg.div.log.pcl,81
2010.Causton01_heat.filter.flt.knn.avg.div.log.pcl,82
2010.Causton01_NaCl.filter.flt.knn.avg.div.log.pcl,83
2010.Causton01_peroxide.filter.flt.knn.avg.div.log.pcl,84
2010.Causton01_sorbitol.filter.flt.knn.avg.div.log.pcl,85
2010.Chitikila02.flt.knn.avg.pcl,104
2010.Cho98.filter.flt.knn.avg.div.log.pcl,106
2010.Chu98.flt.knn.avg.pcl,110
2010.Clark02_orig.flt.knn.avg.pcl,114
2010.Cohen02.filter.flt.knn.avg.div.log.pcl,115
2010.deNadal04.flt.knn.avg.pcl,121
2010.diauxic.pcl,119
2010.Duvel03_delayedRap.flt.knn.avg.pcl,131
2010.Duvel03_immediateRap.flt.knn.avg.pcl,132
2010.Epstein00.flt.knn.avg.pcl,134
2010.Eriksson05.filter.flt.knn.avg.div.log.pcl,135
2010.evolution.pcl,137
2010.Fleming99.log.flt.knn.avg.pcl,138
2010.Fry03.filter.flt.knn.avg.div.log.pcl,147
2010.Gasch00_adenineStarvation.flt.knn.avg.pcl,155
2010.Gasch00_carbonSources.flt.knn.avg.pcl,156
2010.Gasch00_diamideTreatment.flt.knn.avg.pcl,157
2010.Gasch00_DTT(y13).flt.knn.avg.pcl,158
2010.Gasch00_DTT(y14).flt.knn.avg.pcl,159
2010.Gasch00_HOtimeCourse.flt.knn.avg.pcl,160
2010.Gasch00_HS25-37.flt.knn.avg.pcl,161
