GO Term,Index
GO:0000054,0
GO:0000278,1
GO:0000747,2
GO:0001403,3
GO:0002181,4
GO:0003677,5
GO:0003682,6
GO:0003700,7
GO:0003735,8
GO:0004386,9
GO:0004518,10
GO:0005085,11
GO:0005576,12
GO:0005618,13
GO:0005694,14
GO:0005730,15
GO:0005740,16
GO:0005773,17
GO:0005777,18
GO:0005783,19
GO:0005794,20
GO:0005840,21
GO:0005886,22
GO:0005933,23
GO:0005938,24
GO:0006260,25
GO:0006281,26
GO:0006310,27
GO:0006325,28
GO:0006352,29
GO:0006353,30
GO:0006360,31
GO:0006364,32
GO:0006366,33
GO:0006383,34
GO:0006397,35
GO:0006401,36
GO:0006413,37
GO:0006414,38
GO:0006418,39
GO:0006457,40
GO:0006468,41
GO:0006470,42
GO:0006486,43
GO:0006629,44
GO:0006811,45
GO:0006865,46
GO:0006869,47
GO:0006873,48
GO:0006887,49
GO:0006897,50
GO:0006970,51
GO:0006979,52
GO:0007005,53
GO:0007010,54
GO:0007031,55
GO:0007033,56
GO:0007059,57
GO:0007124,58
GO:0008033,59
GO:0008168,60
GO:0008233,61
GO:0008289,62
GO:0008380,63
GO:0008643,64
GO:0009408,65
GO:0009451,66
GO:0016197,67
GO:0016301,68
GO:0016491,69
GO:0016757,70
GO:0016779,71
GO:0016791,72
GO:0016798,73
GO:0016829,74
GO:0016853,75
GO:0016874,76
GO:0019843,77
GO:0022857,78
GO:0030427,79
GO:0030674,80
GO:0031410,81
GO:0032196,82
GO:0032543,83
GO:0042273,84
GO:0042274,85
GO:0042393,86
GO:0045333,87
GO:0051082,88
GO:0051321,89
GO:0051603,90
GO:0051726,91
