Gene,Index
YJL131C,0
YGL103W,1
YGL235W,2
YMR202W,3
YPR093C,4
YDL066W,5
YCR036W,6
YCR068W,7
tT(UGU)G2,8
YDL052C,9
YNR076W,10
YJR034W,11
YDR483W,12
YLR044C,13
YDR397C,14
YOR067C,15
YMR172W,16
YER030W,17
YGR052W,18
tR(ACG)D,19
YGR116W,20
YIL151C,21
YJL109C,22
YIL006W,23
YBL071C,24
YJR129C,25
YFR037C,26
YIL038C,27
YNL037C,28
YJL087C,29
YGR221C,30
YDR391C,31
tI(AAU)E1,32
YER039C-A,33
YJL206C,34
YOR343C-B,35
YDL139C,36
YDR282C,37
tT(UGU)P,38
YLR241W,39
21S_rRNA,40
YLL043W,41
YDR335W,42
YBR098W,43
YNL050C,44
YFL004W,45
YGR121W-A,46
YHR157W,47
YDR468C,48
YKL200C,49
tG(GCC)D1,50
YGR211W,51
YHR100C,52
YIL047C,53
YKL102C,54
YGL252C,55
YOL071W,56
YNL040W,57
YOR249C,58
YJR149W,59
YHR036W,60
YIL171W,61
YOR178C,62
YIL039W,63
YDR172W,64
YNL305C,65
YCL036W,66
YMR305C,67
YEL076C,68
YBR106W,69
YDR524C,70
YIR021W,71
YJL069C,72
YLR392C,73
YGL029W,74
YLL050C,75
YAR018C,76
YBR109C,77
YKL004W,78
YOL096C,79
YCR092C,80
snR64,81
YOL103W-A,82
YMR321C,83
YCL054W,84
YPR084W,85
YLR255C,86
YEL004W,87
YDL017W,88
YML126C,89
YIL082W-A,90
YGR127W,91
tL(CAA)K,92
YGR159C,93
YHR140W,94
tS(UGA)E,95
YLR424W,96
tL(CAA)D,97
YMR215W,98
YLR138W,99
YBR003W,100
YLR258W,101
YHR022C-A,102
YFL055W,103
YHR093W,104
YJR013W,105
YGL022W,106
YCR038C,107
YOR306C,108
YBR093C,109
YAL067W-A,110
YDR373W,111
YCR087C-A,112
YGL170C,113
YJR074W,114
YKL124W,115
YDL148C,116
YBL039W-B,117
YNL051W,118
YLR357W,119
YGR263C,120
YJR005C-A,121
YBR238C,122
YDR351W,123
YJR134C,124
YIL099W,125
YNL311C,126
YJL177W,127
YHR078W,128
YLR348C,129
YGR101W,130
YDR110W,131
YHR059W,132
