Gene,Fold
YKL148C,0
YOR368W,0
YDR062W,0
YBL055C,0
YBR006W,0
YLR427W,0
YHR183W,0
YBR290W,0
YOL021C,0
YPR086W,0
YLR401C,0
YLR377C,0
YOR172W,0
YIL052C,0
YNL026W,0
YBL098W,0
YGR095C,0
YOR265W,0
YPL075W,0
YPR010C,0
YBR212W,0
YKL114C,0
YGR027W-B,0
YJR135W-A,0
YOL100W,0
YGR246C,0
YMR093W,0
YHL034C,0
YLR256W-A,0
YLR277C,0
YDR299W,0
YPL120W,0
YLL024C,0
YER161C,0
YNL304W,0
YNL250W,0
YOL143C,0
YMR322C,0
YER190W,0
YJR097W,0
YDL040C,0
YMR200W,0
YJL012C-A,0
YFR048W,0
YBL013W,0
YER020W,0
YBR202W,0
YBL063W,0
YBR132C,0
YML113W,0
YLR259C,0
YIR023W,0
YBR058C-A,0
YBR057C,0
YHR172W,0
YPR131C,0
YFR021W,0
YBL024W,0
YHR048W,0
YLR450W,0
YHR197W,0
YPR186C,0
YBR172C,0
YNR013C,0
YJR006W,0
YLR363C,0
YBR100W,0
YJL090C,0
YOR343W-A,0
YPL149W,0
YKL001C,0
YIL075C,0
YKR039W,0
YBR221C,0
YEL071W,0
YER054C,0
YPL212C,0
YDR465C,0
YML110C,0
YLR399C,0
YDR394W,0
YHR069C,0
YCR073C,0
YBR240C,0
YKL008C,0
YHR058C,0
YMR001C,0
YML041C,0
YML008C,0
YOL139C,0
YDR142C,0
YOR133W,0
YBL090W,0
YFR041C,0
YBL035C,0
YDL115C,0
YBL047C,0
YIR018W,0
YOR241W,0
YLL041C,0
YHR115C,0
YJR126C,0
YLR286C,0
YBR050C,0
YML048W,0
YKR067W,0
YCL067C,0
YHR188C,0
YER093C,0
YER070W,0
YKL038W,0
YHR075C,0
YKR025W,0
YBR058C,0
YLR212C,0
YOR123C,0
YMR046C,0
YOL034W,0
YKL176C,0
YPR081C,0
YMR127C,0
YMR101C,0
YBL015W,0
YPL269W,0
YDR323C,0
YBR298C,0
YNL239W,0
YDR414C,0
YPR033C,0
YLR274W,0
YDR372C,0
YLR157C-A,0
YGR014W,0
YCR024C-A,0
YDR485C,0
YJL048C,0
YJL039C,0
YNL160W,0
YOR132W,0
YNL156C,0
YBR294W,0
YHR079C-B,0
YOL044W,0
YBR289W,0
YNR072W,0
YMR038C,0
YJL170C,0
YGR081C,0
YMR092C,0
YLR309C,0
YGL227W,0
YLR346C,0
YOL113W,0
YDR459C,0
YMR014W,0
YMR153W,0
YMR015C,0
YGR038W,0
YNR008W,0
YGR116W,0
YPL029W,0
YNR049C,0
YGR161C,0
YNR054C,0
YDR148C,0
YOL054W,0
YMR235C,0
YOL164W,0
YIL035C,0
YGL032C,0
YOR257W,0
YFR024C-A,0
YBL101W-B,0
YJR021C,0
YJR140C,0
YBR160W,0
YGR133W,0
YCR091W,0
YDR017C,0
YKR079C,0
YBR228W,0
YDL155W,0
YKL191W,0
YFR003C,0
YOL004W,0
YIL080W,0
YGR214W,0
YNL268W,0
YGL116W,0
YOR212W,0
YGR181W,0
YOL122C,0
YER083C,0
YLR292C,0
YOR239W,0
YGL113W,0
YOR187W,0
YNL284C-A,0
YGR156W,0
YPL060W,0
YBR275C,0
YOR351C,0
YDL174C,0
YCL005W-A,0
YBL041W,0
YDR025W,0
YDL154W,0
YLR119W,0
YOL009C,0
YBR179C,0
YDR488C,0
YGR090W,0
YNR034W,0
YOR304W,0
YNL216W,0
YEL032W,0
YDR221W,0
YOR362C,0
YKL015W,0
YER157W,0
YHR142W,0
YKR024C,0
YDR277C,0
YDR375C,0
YIL120W,0
YDR213W,0
YMR296C,0
YOR126C,0
YBR171W,0
YOR130C,0
YDR395W,0
YCL063W,0
YJL113W,0
YNL054W-B,0
YPL253C,0
YDL038C,0
YGL158W,0
YPR163C,0
YBR012W-B,0
YER040W,0
YDL084W,0
YBR186W,0
YER038C,0
YKL192C,0
YFL003C,0
YHR089C,0
YLR167W,0
YHR114W,0
YGL053W,0
YDR484W,0
YHL019C,0
YGL245W,0
YOR182C,0
YOR153W,0
YNL072W,0
YDR140W,0
YMR264W,0
YDR448W,0
YLL018C-A,0
YCR009C,0
YLL022C,0
YGL153W,0
YNL197C,0
YOR122C,0
YDL039C,0
YHR011W,0
YPR138C,0
YOR348C,0
YPR104C,0
YGL027C,0
YNL280C,0
YBR286W,0
YDL209C,0
YNL213C,0
YER106W,0
YBR086C,0
YDL229W,0
YLR023C,0
YDL231C,0
YDR255C,0
YIR011C,0
YBR068C,0
YGR056W,0
YHL009W-A,0
YGR281W,0
YBL005W-B,0
YKR086W,0
YER007W,0
YDL069C,0
YKR095W,0
YBR072W,0
YMR072W,0
YGR108W,0
YHR027C,0
YPL042C,0
YML042W,0
YCR008W,0
YLR110C,0
YLR254C,0
YDR075W,0
YIL155C,0
YGL049C,0
YMR164C,0
YOR288C,0
YBL016W,0
YBL057C,0
YPL181W,0
YJR147W,0
YDR524C,0
YHR157W,0
YJL050W,0
YBR060C,0
YDL150W,0
YEL017C-A,0
YDR195W,0
YHR171W,0
YML091C,0
YNR003C,0
YHR204W,0
YPR139C,0
YHR036W,0
YJL087C,0
YAR003W,0
YPR024W,0
YCR058C,0
YGR157W,0
YCR042C,0
YBR198C,0
YLR240W,0
YBR081C,0
YGL207W,0
YDR180W,0
YDR516C,0
YMR273C,0
YOR355W,0
YKL085W,0
YLR256W,0
YMR214W,0
YLR133W,0
YIL128W,0
YNL154C,0
YDR361C,0
YMR268C,0
YGR111W,0
YMR237W,0
YKL140W,0
YKR035W-A,0
YDR091C,0
YDR243C,0
YNL065W,0
YFL033C,0
YPL051W,0
YOR210W,0
YPL110C,0
YLR096W,0
YGR199W,0
YOR349W,0
YOL076W,0
YBR216C,0
YNL309W,0
YLR355C,0
YGR170W,0
YFR040W,0
YFL002W-B,0
YML014W,0
YHR074W,0
YLR103C,0
YLL012W,0
YBR034C,0
YGL241W,0
YKL052C,0
YPL256C,0
YJL201W,0
YMR231W,0
YFL037W,0
YGR169C,0
YJR110W,0
YDL005C,0
YCL066W,0
YPL010W,0
YGL163C,0
YLR097C,0
YMR238W,0
YMR117C,0
YDL004W,0
YNR067C,0
YML114C,0
YGR070W,0
YFL048C,0
YDL042C,0
YBR154C,0
YML129C,0
YAL029C,0
YMR060C,0
YHR166C,0
YLR090W,0
YDR244W,0
YDR337W,0
YDL074C,0
YAL017W,0
YDL194W,0
YJR158W,0
YGL044C,0
YAL009W,0
YAR042W,0
YDR153C,0
YGR267C,0
YKL019W,0
