Dataset,Index
Abbott_2008_PMID_18676708\GSE10066_setA_family.pcl,0
Agarwal_2008_PMID_18156292\GSE10073_setA_family.pcl,1
Aguilera_2005_PMID_15780657\GSE8900_setA_family.pcl,2
Albulescu_2012_PMID_22479188\GSE34330GPL8154.sfp.pcl,3
Alper_2006_PMID_17158319\GSE5185_setA_family.pcl,4
Ambroset_2011_PMID_22384338\GSE26437_final.pcl,5
Anderson_2006_PMID_16896209\GSE4261_setA_family.pcl,6
Anderson_2009_PMID_19273689\GSE12055_set0_family.pcl,7
Angell_2006_PMID_17185230\GSE6185_setA_family.pcl,8
Angus-Hill_2001_PMID_11336698\2010.Angus01.flt.knn.avg.pcl,9
Ansari_2012_PMID_21971086\GSE31774_final.pcl,10
Apweiler_2012_PMID_22697265\GSE33097_s257_final.pcl,11
Apweiler_2012_PMID_22697265\GSE33098_final.pcl,12
Aragon_2006_PMID_16507144\GSE3729_set0_family.pcl,13
Aragon_2006_PMID_16507144\GSE3729_set1_family.pcl,14
Aragon_2006_PMID_16507144\GSE3729_set2_family.pcl,15
Aragon_2006_PMID_16507144\GSE3729_set3_family.pcl,16
Aragon_2006_PMID_16507144\GSE3729_set4_family.pcl,17
Aragon_2006_PMID_16507144\GSE3729_set5_family.pcl,18
Aragon_2006_PMID_16507144\GSE3729_set6_family.pcl,19
Aragon_2008_PMID_18199684\GSE8624_set0_family.pcl,20
Aragon_2008_PMID_18199684\GSE8624_set1_family.pcl,21
Aragon_2008_PMID_18199684\GSE8624_set2_family.pcl,22
Auld_2006_PMID_16543154\GSE4272_set0_family.pcl,23
Azzouz_2009_PMID_19155328\GSE10521_setA_family.pcl,24
Backhus_2001_PMID_12702356\GSE4887_setA_family.pcl,25
Baerends_2008_PMID_18378663\GSE8902_setA_family.pcl,26
Baetz_2001_PMID_11533240\2010.Baetz01.flt.knn.avg.pcl,27
Barbara_2007_PMID_17124610\GSE5027_setA_family.pcl,28
Barreto_2012_PMID_23039231\GSE24712_final.pcl,29
Bedalov_2001_PMID_11752457\2010.Bedalov01.flt.knn.avg.pcl,30
Belli_2004_PMID_14722110\2010.Belli04.filter.flt.knn.avg.div.log.pcl,31
Benton_2006_PMID_17140446\GSE6018_set0_family.pcl,32
Benton_2006_PMID_17140446\GSE6018_set1_family.pcl,33
Bernstein_2000_PMID_11095743\2010.Bernstein00_HDACrpd3sin3hda1.log.flt.knn.avg.pcl,34
