YORF,Common
YKL020C,SPT23
YEL009C,GCN4
YGL058W,RAD6
YIL095W,PRK1
YER038W-A,FMP49
YOR204W,DED1
YOR085W,OST3
YOR311C,DGK1
YGR002C,SWC4
YMR228W,MTF1
YER145C-A,YER145C-A
YMR033W,ARP9
YBL056W,PTC3
YNL107W,YAF9
YDL006W,PTC1
YHR054C-B,YHR054C-B
YKL104W-A,YKL104W-A
YPR152C,URN1
YPR010C-A,MIN8
YKR103W,NFT1
YDR157W,YDR157W
YEL009C-A,YEL009C-A
YDR026C,NSI1
YNL083W,SAL1
YLR236C,YLR236C
YER089C,PTC2
YHR052C-B,YHR052C-B
YMR008C-A,YMR008C-A
YEL066W,HPA3
YMR316C-A,YMR316C-A
YER171W,RAD3
YPL153C,RAD53
YAL064W-B,YAL064W-B
YKR104W,YKR104W
YMR084W,YMR084W
YLR379W-A,YLR379W-A
YAR023C,YAR023C
YFL026W,STE2
YLR186W,EMG1
YHL022C,SPO11
YKR059W,TIF1
YBR056W-A,MNC1
YPL228W,CET1
YJR072C,NPA3
YPL081W,RPS9A
YJL138C,TIF2
YDR110W,FOB1
YAL065C,YAL065C
YDL220C,CDC13
YOL075C,YOL075C
YDR204W,COQ4
YLR243W,GPN3
YPR193C,HPA2
YSC0047,BIO1
YSC0043,BIO6
YSC0049,BIO7
YKL010C,UFD4
YAR009C,YAR009C
YHR021W-A,ECM12
YSC0048,BIO8
YDL115C,IWR1
YNR041C,COQ2
YCR066W,RAD18
YPR144C,NOC4
YHR214C-B,YHR214C-B
YJL092W,SRS2
YBR136W,MEC1
YAR035C-A,YAR035C-A
YLR036C,YLR036C
YDR072C,IPT1
YOR262W,GPN2
YDR168W,CDC37
YGR254W,ENO1
YHR174W,ENO2
YLR170C,APS1
YHR139C-A,YHR139C-A
YHR167W,THP2
YDR324C,UTP4
YDL060W,TSR1
YDR194C,MSS116
YLR302C,YLR302C
YDR082W,STN1
YLR390W-A,CCW14
YMR185W,RTP1
YDL159W,STE7
YDR216W,ADR1
YJL200C,ACO2
YPR099C,YPR099C
YLR261C,VPS63
YDL213C,NOP6
YLR331C,JIP3
YLR462W,YLR462W
YLR466W,YRF1-4
YER049W,TPA1
YGL078C,DBP3
YLR421C,RPN13
YLR358C,YLR358C
YJL033W,HCA4
YMR288W,HSH155
YLR255C,YLR255C
YLR437C,DIF1
YLR415C,YLR415C
YPR089W,YPR089W
YPR090W,YPR090W
YMR078C,CTF18
YPR096C,YPR096C
YGL192W,IME4
YGR217W,CCH1
YAL054C,ACS1
YGR040W,KSS1
YBR112C,CYC8
YPL249C-A,RPL36B
YPL183W-A,RTC6
YOR298C-A,MBF1
YOR304C-A,BIL1
YBR085C-A,YBR085C-A
YKL053C-A,MDM35
YGR264C,MES1
YPL187W,MF(ALPHA)1
YGR227W,DIE2
YDL190C,UFD2
YER091C,MET6
YHR032W,ERC1
YDL164C,CDC9
YOR046C,DBP5
YLR394W,CST9
YDR261C-C,YDR261C-C
YPL248C,GAL4
YEL020W-A,TIM9
YDL045W-A,MRP10
YBL016W,FUS3
YBR019C,GAL10
YOL010W,RCL1
YDR174W,HMO1
YDR243C,PRP28
YDR363W-A,SEM1
YJR048W,CYC1
YEL039C,CYC7
YFR033C,QCR6
YBR189W,RPS9B
YER013W,PRP22
YLR010C,TEN1
YCL004W,PGS1
YGR231C,PHB2
YLR362W,STE11
YDR529C,QCR7
YML054C,CYB2
YDL134C,PPH21
YDL188C,PPH22
YOL086C,ADH1
YLR135W,SLX4
YNL112W,DBP2
YMR303C,ADH2
YJR009C,TDH2
YGR192C,TDH3
YKL197C,PEX1
YAL039C,CYC3
YBR297W,MAL33
YIR029W,DAL2
YGL234W,ADE57
YKR002W,PAP1
YJL052W,TDH1
YPL257W-B,YPL257W-B
YCR002C,CDC10
YCL032W,STE50
YPR113W,PIS1
YNL104C,LEU4
YNL121C,TOM70
YCL052C,PBN1
YNL052W,COX5A
YCR073C,SSK22
YJL164C,TPK1
YBL099W,ATP1
YKL218C,SRY1
YGL009C,LEU1
YPL154C,PEP4
YFL037W,TUB2
YIL111W,COX5B
YHR051W,COX6
YLR403W,SFP1
YKR066C,CCP1
YOR083W,WHI5
YJL166W,QCR8
YOL041C,NOP12
YNR032C-A,HUB1
YKL168C,KKQ8
YJR104C,SOD1
YFL005W,SEC4
YIL099W,SGA1
YCR107W,AAD3
YPR047W,MSF1
YBR018C,GAL7
YHR008C,SOD2
YER055C,HIS1
YDR298C,ATP5
YBR160W,CDC28
YOR195W,SLK19
YOR301W,RAX1
YFL002C,SPB4
YNR001C,CIT1
YCL018W,LEU2
YBL023C,MCM2
YAL038W,CDC19
YCR012W,PGK1
YDR103W,STE5
YLR303W,MET17
YOR278W,HEM4
YDR545W,YRF1-1
YJR057W,CDC8
YBR093C,PHO5
YOR011W,AUS1
YMR194W,RPL36A
YPR019W,MCM4
YIL162W,SUC2
YNR043W,MVD1
YIL069C,RPS24B
YOR308C,SNU66
YHR141C,RPL42B
YPL090C,RPS6A
YML026C,RPS18B
YNL329C,PEX6
YMR297W,PRC1
YPL111W,CAR1
YCL030C,HIS4
YMR080C,NAM7
YGL073W,HSF1
YMR043W,MCM1
YLR351C,NIT3
YDR022C,ATG31
YBR011C,IPP1
YDL206W,YDL206W
YJR121W,ATP2
YML075C,HMG1
YLR314C,CDC3
YLR450W,HMG2
YIR031C,DAL7
YNL262W,POL2
YPR002W,PDH1
YOR014W,RTS1
YOR365C,YOR365C
YDL101C,DUN1
YNL091W,NST1
YER090W,TRP2
YOR348C,PUT4
YPR023C,EAF3
YGR289C,MAL11
YKR049C,FMP46
YML124C,TUB3
YDR007W,TRP1
YDR056C,EMC10
YGL110C,CUE3
YNL024C-A,KSH1
YJR076C,CDC11
YPL104W,MSD1
YGL166W,CUP2
YER044C,ERG28
YKL160W,ELF1
YNL208W,YNL208W
YDL135C,RDI1
YER086W,ILV1
YGL026C,TRP5
YDL100C,GET3
YKL211C,TRP3
YDR050C,TPI1
YLR130C,ZRT2
YJL102W,MEF2
YIR014W,VLD1
YIR033W,MGA2
YKL152C,GPM1
YMR174C,PAI3
YDL185W,VMA1
YPL202C,AFT2
YHR107C,CDC12
YNL138W,SRV2
YPR167C,MET16
YOL033W,MSE1
YDL110C,TMA17
YCR082W,AHC2
YBR289W,SNF5
YGL155W,CDC43
YPL217C,BMS1
YJL156C,SSY5
YPL029W,SUV3
YLR168C,UPS2
YOR192C-A,YOR192C-A
YDL181W,INH1
YDL130W-A,STF1
YOR101W,RAS1
YNL098C,RAS2
YLR127C,APC2
YFL038C,YPT1
YER172C,BRR2
YDR021W,FAL1
YDR224C,HTB1
YOR335C,ALA1
YBL002W,HTB2
YDR382W,RPP2B
YGL103W,RPL28
YNR031C,SSK2
YLL008W,DRS1
YGL190C,CDC55
YML024W,RPS17A
YOR004W,UTP23
YDR210C-C,YDR210C-C
YLL041C,SDH2
YGL206C,CHC1
YDL066W,IDP1
YOR290C,SNF2
YPL240C,HSP82
YFR028C,CDC14
YOL002C,IZH2
YPL074W,YTA6
YJL213W,YJL213W
YCR041W,YCR041W
YOR187W,TUF1
YDR366C,MOR1
YER138C,YER138C
YNL229C,URE2
YGL156W,AMS1
YML063W,RPS1B
YPR161C,SGV1
