Gene,Label,Score,Precision,Recall,False Positive Rate
YOR289W,0,1.0,1.0,0.0,0.0
YDL118W,0,1.0,1.0,0.0,0.0
YJR011C,0,1.0,1.0,0.0,0.0
YOL036W,0,1.0,1.0,0.0,0.0
YHR068W,0,1.0,1.0,0.0,0.0
YAR061W,0,1.0,1.0,0.0,0.0
YCL009C,0,1.0,1.0,0.0,0.0
YOR051C,0,1.0,1.0,0.0,0.0
YBR284W,0,1.0,1.0,0.0,0.0
YOR305W,0,1.0,1.0,0.0,0.0
YLR361C-A,0,1.0,1.0,0.0,0.0
YER039C-A,0,1.0,1.0,0.0,0.0
YDL169C,0,1.0,1.0,0.0,0.0
YER077C,0,1.0,1.0,0.0,0.0
YCR050C,0,1.0,1.0,0.0,0.0
YLR157W-C,0,1.0,1.0,0.0,0.0
YGL117W,0,1.0,1.0,0.0,0.0
YEL066W,0,1.0,1.0,0.0,0.0
YJL068C,0,1.0,1.0,0.0,0.0
YJR062C,0,1.0,1.0,0.0,0.0
YIL014C-A,0,1.0,1.0,0.0,0.0
YCR090C,0,1.0,1.0,0.0,0.0
YMR178W,0,1.0,1.0,0.0,0.0
YNL162W-A,0,1.0,1.0,0.0,0.0
YLR420W,0,1.0,1.0,0.0,0.0
YLL058W,0,1.0,1.0,0.0,0.0
YNL332W,0,1.0,1.0,0.0,0.0
YNR064C,0,1.0,1.0,0.0,0.0
YKL098W,0,1.0,1.0,0.0,0.0
YGR079W,0,1.0,1.0,0.0,0.0
YEL073C,0,1.0,1.0,0.0,0.0
YGL006W-A,0,1.0,1.0,0.0,0.0
YDR070C,0,1.0,1.0,0.0,0.0
YER190C-B,0,1.0,1.0,0.0,0.0
YAR035C-A,0,1.0,1.0,0.0,0.0
YHR054C,0,1.0,1.0,0.0,0.0
YPL272C,0,1.0,1.0,0.0,0.0
YBR259W,0,1.0,1.0,0.0,0.0
YHL029C,0,1.0,1.0,0.0,0.0
YDL085C-A,0,1.0,1.0,0.0,0.0
YMR230W-A,0,1.0,1.0,0.0,0.0
YPR069C,0,1.0,1.0,0.0,0.0
YDL057W,0,1.0,1.0,0.0,0.0
YDL159W-B,0,1.0,1.0,0.0,0.0
YER175W-A,0,1.0,1.0,0.0,0.0
YGL262W,0,1.0,1.0,0.0,0.0
YDL219W,0,1.0,1.0,0.0,0.0
YMR030W-A,0,1.0,1.0,0.0,0.0
YKL106C-A,0,1.0,1.0,0.0,0.0
YGL176C,0,1.0,1.0,0.0,0.0
YLR195C,0,1.0,1.0,0.0,0.0
YMR126C,0,1.0,1.0,0.0,0.0
YMR158C-A,0,1.0,1.0,0.0,0.0
YHR137W,0,1.0,1.0,0.0,0.0
YHR213W-B,0,1.0,1.0,0.0,0.0
YCR095W-A,0,1.0,1.0,0.0,0.0
YMR108W,0,1.0,1.0,0.0,0.0
YER085C,0,1.0,1.0,0.0,0.0
YMR181C,0,1.0,1.0,0.0,0.0
YGR111W,0,1.0,1.0,0.0,0.0
YLR412C-A,0,1.0,1.0,0.0,0.0
YIL002W-A,0,1.0,1.0,0.0,0.0
YJL077W-B,0,1.0,1.0,0.0,0.0
YBR072C-A,0,1.0,1.0,0.0,0.0
YNL269W,0,1.0,1.0,0.0,0.0
YBR298C-A,0,1.0,1.0,0.0,0.0
YHR131C,0,1.0,1.0,0.0,0.0
YLR307C-A,0,1.0,1.0,0.0,0.0
