Gene,Label,Score,Precision,Recall,False Positive Rate
YOR289W,0,1.0,1.0,0.0,0.0
YEL035C,0,1.0,1.0,0.0,0.0
YLR036C,0,1.0,1.0,0.0,0.0
YGL248W,0,1.0,1.0,0.0,0.0
YMR251W,0,1.0,1.0,0.0,0.0
YLL066W-B,0,1.0,1.0,0.0,0.0
YCL028W,0,1.0,1.0,0.0,0.0
YKR011C,0,1.0,1.0,0.0,0.0
YLR030W,0,1.0,1.0,0.0,0.0
YBR197C,0,1.0,1.0,0.0,0.0
YKR015C,0,1.0,1.0,0.0,0.0
YHL015W-A,0,1.0,1.0,0.0,0.0
YEL067C,0,1.0,1.0,0.0,0.0
YDR246W-A,0,1.0,1.0,0.0,0.0
YOR008C-A,0,1.0,1.0,0.0,0.0
YMR001C-A,0,1.0,1.0,0.0,0.0
YFR057W,0,1.0,1.0,0.0,0.0
YLR273C,0,1.0,1.0,0.0,0.0
YKL018C-A,0,1.0,1.0,0.0,0.0
YMR187C,0,1.0,1.0,0.0,0.0
YGR237C,0,1.0,1.0,0.0,0.0
YNL042W-B,0,1.0,1.0,0.0,0.0
YNL011C,0,1.0,1.0,0.0,0.0
YNR034W-A,0,1.0,1.0,0.0,0.0
YOR160W,0,1.0,1.0,0.0,0.0
YBR221W-A,0,1.0,1.0,0.0,0.0
YGR130C,0,1.0,1.0,0.0,0.0
YER079W,0,1.0,1.0,0.0,0.0
YOR052C,0,1.0,1.0,0.0,0.0
YAR062W,0,1.0,1.0,0.0,0.0
YPL119C-A,0,1.0,1.0,0.0,0.0
YPR117W,0,1.0,1.0,0.0,0.0
YDR391C,0,1.0,1.0,0.0,0.0
YOL015W,0,1.0,1.0,0.0,0.0
YDR068W,0,1.0,1.0,0.0,0.0
YER093C-A,0,1.0,1.0,0.0,0.0
YKL215C,0,1.0,1.0,0.0,0.0
YLR125W,0,1.0,1.0,0.0,0.0
YBR047W,0,1.0,1.0,0.0,0.0
YDL203C,0,1.0,1.0,0.0,0.0
YML108W,0,1.0,1.0,0.0,0.0
YDR272W,0,1.0,1.0,0.0,0.0
YDR335W,0,1.0,1.0,0.0,0.0
YCL049C,0,1.0,1.0,0.0,0.0
YHL049C,0,1.0,1.0,0.0,0.0
