Gene A,Gene B,Label,Score,True Positive,False Negative,True Negative,False Positive,Accuracy,Precision,Recall,False Positive Rate,Selectivity
YBR185C,YBL078C,1,9.612915,1.0,1031.0,9968.0,0.0,0.9062727093696594,1.0,0.0009689922444522381,0.0,1.0
YKR065C,YIL098C,1,8.663478,2.0,1030.0,9968.0,0.0,0.9063636660575867,1.0,0.0019379844889044762,0.0,1.0
YKL195W,YGR181W,1,8.356538,3.0,1029.0,9968.0,0.0,0.9064545631408691,1.0,0.0029069767333567142,0.0,1.0
YCR046C,YBL064C,0,8.267738,3.0,1029.0,9967.0,1.0,0.9063636660575867,0.75,0.0029069767333567142,0.00010032102727564052,0.999899685382843
YJR019C,YEL020W-A,0,8.223074,3.0,1029.0,9966.0,2.0,0.9062727093696594,0.6000000238418579,0.0029069767333567142,0.00020064205455128103,0.999799370765686
YMR105C,YOR187W,0,8.17917,3.0,1029.0,9965.0,3.0,0.906181812286377,0.5,0.0029069767333567142,0.00030096308910287917,0.999699056148529
YDR322C-A,YOR266W,1,8.097616,4.0,1028.0,9965.0,3.0,0.9062727093696594,0.5714285969734192,0.0038759689778089523,0.00030096308910287917,0.999699056148529
YEL020W-A,YML081C-A,1,7.95028,5.0,1027.0,9965.0,3.0,0.9063636660575867,0.625,0.00484496122226119,0.00030096308910287917,0.999699056148529
YLR163C,YBR262C,1,7.617775,6.0,1026.0,9965.0,3.0,0.9064545631408691,0.6666666865348816,0.0058139534667134285,0.00030096308910287917,0.999699056148529
YDR529C,YKL192C,0,7.573359,6.0,1026.0,9964.0,4.0,0.9063636660575867,0.6000000238418579,0.0058139534667134285,0.00040128410910256207,0.9995987415313721
YDL234C,YHR005C-A,0,7.5488605,6.0,1026.0,9963.0,5.0,0.9062727093696594,0.5454545617103577,0.0058139534667134285,0.0005016051582060754,0.9994983673095703
YFR003C,YJL096W,0,7.362249,6.0,1026.0,9962.0,6.0,0.906181812286377,0.5,0.0058139534667134285,0.0006019261782057583,0.9993980526924133
YKL195W,YHR005C-A,1,7.355071,7.0,1025.0,9962.0,6.0,0.9062727093696594,0.5384615659713745,0.006782945711165667,0.0006019261782057583,0.9993980526924133
YPL098C,YBL078C,1,7.301031,8.0,1024.0,9962.0,6.0,0.9063636660575867,0.5714285969734192,0.007751937955617905,0.0006019261782057583,0.9993980526924133
YKL195W,YGR112W,1,7.2603016,9.0,1023.0,9962.0,6.0,0.9064545631408691,0.6000000238418579,0.00872093066573143,0.0006019261782057583,0.9993980526924133
YEL020W-A,YLL040C,1,7.1975174,10.0,1022.0,9962.0,6.0,0.9065454602241516,0.625,0.00968992244452238,0.0006019261782057583,0.9993980526924133
YDR493W,YOR020C,1,7.183256,11.0,1021.0,9962.0,6.0,0.9066363573074341,0.6470588445663452,0.010658915154635906,0.0006019261782057583,0.9993980526924133
YJL180C,YGL191W,1,6.94434,12.0,1020.0,9962.0,6.0,0.9067272543907166,0.6666666865348816,0.011627906933426857,0.0006019261782057583,0.9993980526924133
YMR105C,YPR100W,0,6.8998623,12.0,1020.0,9961.0,7.0,0.9066363573074341,0.6315789222717285,0.011627906933426857,0.0007022471982054412,0.9992977380752563
YDR322C-A,YDR258C,1,6.878393,13.0,1019.0,9961.0,7.0,0.9067272543907166,0.6499999761581421,0.012596899643540382,0.0007022471982054412,0.9992977380752563
YDR322C-A,YGL191W,1,6.8370833,14.0,1018.0,9961.0,7.0,0.9068182110786438,0.6666666865348816,0.013565891422331333,0.0007022471982054412,0.9992977380752563
YFL016C,YLR304C,1,6.8157787,15.0,1017.0,9961.0,7.0,0.9069091081619263,0.6818181872367859,0.014534884132444859,0.0007022471982054412,0.9992977380752563
YDR237W,YEL039C,0,6.803605,15.0,1017.0,9960.0,8.0,0.9068182110786438,0.6521739363670349,0.014534884132444859,0.0008025682182051241,0.9991974234580994
YMR193W,YBR039W,0,6.7996817,15.0,1017.0,9959.0,9.0,0.9067272543907166,0.625,0.014534884132444859,0.000902889238204807,0.9990971088409424
YMR002W,YDR375C,1,6.7794924,16.0,1016.0,9959.0,9.0,0.9068182110786438,0.6399999856948853,0.01550387591123581,0.000902889238204807,0.9990971088409424
YLR077W,YBR262C,1,6.7681017,17.0,1015.0,9959.0,9.0,0.9069091081619263,0.6538461446762085,0.016472868621349335,0.000902889238204807,0.9990971088409424
YLR304C,YNL315C,1,6.76552,18.0,1014.0,9959.0,9.0,0.9070000052452087,0.6666666865348816,0.01744186133146286,0.000902889238204807,0.9990971088409424
YPR026W,YCR046C,0,6.7034874,18.0,1014.0,9958.0,10.0,0.9069091081619263,0.6428571343421936,0.01744186133146286,0.0010032103164121509,0.9989967942237854
YKR065C,YOR317W,0,6.6881495,18.0,1014.0,9957.0,11.0,0.9068182110786438,0.6206896305084229,0.01744186133146286,0.0011035313364118338,0.9988964796066284
YLR312W-A,YGR209C,0,6.657162,18.0,1014.0,9956.0,12.0,0.9067272543907166,0.6000000238418579,0.01744186133146286,0.0012038523564115167,0.9987961649894714
YNR007C,YLR304C,1,6.650215,19.0,1013.0,9956.0,12.0,0.9068182110786438,0.6129032373428345,0.018410852178931236,0.0012038523564115167,0.9987961649894714
YHR117W,YPL099C,1,6.635131,20.0,1012.0,9956.0,12.0,0.9069091081619263,0.625,0.01937984488904476,0.0012038523564115167,0.9987961649894714
YLR038C,YBR037C,1,6.6231923,21.0,1011.0,9956.0,12.0,0.9070000052452087,0.6363636255264282,0.020348837599158287,0.0012038523564115167,0.9987961649894714
YPR100W,YBR037C,1,6.577007,22.0,1010.0,9956.0,12.0,0.9070909023284912,0.6470588445663452,0.021317830309271812,0.0012038523564115167,0.9987961649894714
YBL078C,YPL063W,1,6.545763,23.0,1009.0,9956.0,12.0,0.9071817994117737,0.6571428775787354,0.02228682115674019,0.0012038523564115167,0.9987961649894714
YMR150C,YDR393W,1,6.53971,24.0,1008.0,9956.0,12.0,0.9072727560997009,0.6666666865348816,0.023255813866853714,0.0012038523564115167,0.9987961649894714
YHR005C-A,YDR022C,1,6.5364847,25.0,1007.0,9956.0,12.0,0.9073636531829834,0.6756756901741028,0.02422480657696724,0.0012038523564115167,0.9987961649894714
YER058W,YDL113C,1,6.532728,26.0,1006.0,9956.0,12.0,0.9074545502662659,0.6842105388641357,0.025193799287080765,0.0012038523564115167,0.9987961649894714
YOR036W,YLR008C,0,6.522479,26.0,1006.0,9955.0,13.0,0.9073636531829834,0.6666666865348816,0.025193799287080765,0.0013041733764111996,0.9986958503723145
YDR529C,YMR002W,1,6.5138197,27.0,1005.0,9955.0,13.0,0.9074545502662659,0.675000011920929,0.02616279013454914,0.0013041733764111996,0.9986958503723145
YOR266W,YLL009C,1,6.513363,28.0,1004.0,9955.0,13.0,0.9075454473495483,0.6829268336296082,0.027131782844662666,0.0013041733764111996,0.9986958503723145
YKL053C-A,YDL142C,1,6.4893913,29.0,1003.0,9955.0,13.0,0.9076363444328308,0.6904761791229248,0.02810077555477619,0.0013041733764111996,0.9986958503723145
YOR042W,YJR034W,0,6.4599457,29.0,1003.0,9954.0,14.0,0.9075454473495483,0.6744186282157898,0.02810077555477619,0.0014044943964108825,0.9985954761505127
YNL073W,YEL050C,0,6.4569664,29.0,1003.0,9953.0,15.0,0.9074545502662659,0.6590909361839294,0.02810077555477619,0.0015048154164105654,0.9984951615333557
YLR203C,YLR038C,1,6.4510183,30.0,1002.0,9953.0,15.0,0.9075454473495483,0.6666666865348816,0.029069768264889717,0.0015048154164105654,0.9984951615333557
YKL141W,YPL098C,1,6.4250555,31.0,1001.0,9953.0,15.0,0.9076363444328308,0.6739130616188049,0.030038759112358093,0.0015048154164105654,0.9984951615333557
YPL098C,YNR007C,1,6.376728,32.0,1000.0,9953.0,15.0,0.9077273011207581,0.6808510422706604,0.03100775182247162,0.0015048154164105654,0.9984951615333557
YKL053C-A,YDR322C-A,1,6.3630166,33.0,999.0,9953.0,15.0,0.9078181982040405,0.6875,0.031976744532585144,0.0015048154164105654,0.9984951615333557
YGL068W,YER144C,0,6.3472996,33.0,999.0,9952.0,16.0,0.9077273011207581,0.6734693646430969,0.031976744532585144,0.0016051364364102483,0.9983948469161987
YDR512C,YGR112W,1,6.3438854,34.0,998.0,9952.0,16.0,0.9078181982040405,0.6800000071525574,0.03294573724269867,0.0016051364364102483,0.9983948469161987
YDR511W,YMR060C,1,6.3186126,35.0,997.0,9952.0,16.0,0.907909095287323,0.686274528503418,0.033914729952812195,0.0016051364364102483,0.9983948469161987
YLL001W,YKL141W,1,6.2759013,36.0,996.0,9952.0,16.0,0.9079999923706055,0.692307710647583,0.03488372266292572,0.0016051364364102483,0.9983948469161987
YMR150C,YHR005C-A,1,6.2750373,37.0,995.0,9952.0,16.0,0.9080908894538879,0.698113203048706,0.03585271164774895,0.0016051364364102483,0.9983948469161987
YLR168C,YIL065C,1,6.206873,38.0,994.0,9952.0,16.0,0.9081818461418152,0.7037037014961243,0.03682170435786247,0.0016051364364102483,0.9983948469161987
