File Name,Mean,Standard Deviation
2010.diauxic.pcl,0.1817064698542847,0.6539545150812668
2010.Cho98.filter.flt.knn.avg.div.log.pcl,0.0136231566370502,0.3334906937898825
2010.Chu98.flt.knn.avg.pcl,0.0135305055345955,0.5761296236480721
2010.Marton98.log.flt.knn.avg.pcl,0.0030128745622974,0.6865266579112714
2010.Spellman98_alphaFactor.flt.knn.avg.pcl,0.0146933798575417,0.3112437255585236
2010.Spellman98_cdc15.flt.knn.avg.pcl,0.0788607465833076,0.2820166975324701
2010.Spellman98_elutriation.flt.knn.avg.pcl,0.0184461287379006,0.4315673206302906
2010.evolution.pcl,0.0950420022488179,0.7358797851348668
2010.ploidy.pcl,0.0215136449383867,0.3675166675473006
2010.Hardwick00.flt.knn.avg.pcl,0.1296909699413575,0.3273449566627537
2010.Madhani99.filter.flt.knn.avg.div.log.pcl,0.0212531358415299,0.4196965512566357
2010.histone.pcl,0.1091138893435253,0.5763377193801698
2010.Bernstein00_HDACrpd3sin3hda1.log.flt.knn.avg.pcl,0.0104889006102512,0.6417967116157619
2010.Bernstein00_HDACsin3sap30ume6hda1hos2hos3.filter.flt.knn.avg.div.log.pcl,0.0589934043854781,0.5597729397860883
2010.Bernstein00_TSA.filter.flt.knn.avg.div.log.pcl,0.1072933731275904,0.641169861821965
2010.Gasch00_adenineStarvation.flt.knn.avg.pcl,0.0222434280454944,0.7268091822909041
2010.Gasch00_carbonSources.flt.knn.avg.pcl,0.0136169231405354,0.622324351808011
2010.Gasch00_diamideTreatment.flt.knn.avg.pcl,0.0262489527539577,0.5509586340170252
2010.Gasch00_DTT(y13).flt.knn.avg.pcl,0.0175598694472652,0.5397479433428976
2010.Gasch00_DTT(y14).flt.knn.avg.pcl,0.010425123910822,0.6503844131203843
2010.Gasch00_HOtimeCourse.flt.knn.avg.pcl,0.2309419511083818,0.717147950833494
2010.Gasch00_HS25-37.flt.knn.avg.pcl,0.0528986203196422,0.5221357718414061
2010.Gasch00_HS29-33.flt.knn.avg.pcl,0.0463837363720972,0.8536278061420418
2010.Gasch00_HS30-37.flt.knn.avg.pcl,0.0162436508548774,0.7523114393503136
2010.Gasch00_HS37-25.flt.knn.avg.pcl,0.0071749200959471,0.6767623816218915
2010.Gasch00_HSmild.flt.knn.avg.pcl,0.079157111169343,0.5722812977423808
2010.Gasch00_HSto37.flt.knn.avg.pcl,0.0198312197194074,0.7758110556311117
2010.Gasch00_hyper-osmotic.flt.knn.avg.pcl,0.0098054421270603,0.6308202625396797
2010.Gasch00_hypo-osmotic.flt.knn.avg.pcl,0.0698895689143296,0.67207073600011
2010.Gasch00_menadione.flt.knn.avg.pcl,0.0473604361720129,0.4240469465215394
2010.Gasch00_Ndepletion.flt.knn.avg.pcl,0.007067748428835,0.5467919221343297
2010.Gasch00_stationaryPhase(y12).flt.knn.avg.pcl,0.0501571882135681,0.6457530595139472
2010.Gasch00_stationaryPhase(y14).flt.knn.avg.pcl,0.4513411888728377,0.5714388581548826
2010.Gasch00_steadyState(y13).flt.knn.avg.pcl,0.6012748435305498,0.6941785400335198
2010.Gasch00_steadyState(y14).flt.knn.avg.pcl,0.0082476491901068,0.4897868395177635
2010.Gross00.flt.knn.avg.pcl,0.0234481374280499,0.5831168269588227
2010.Hughes00.flt.knn.avg.pcl,0.0029477152527913,0.1618217124554945
2010.HO_endonuclease.pcl,0.0050992854898371,0.5936812351485552
2010.Lopez00.filter.flt.knn.avg.div.log.pcl,0.1588540090919218,0.4348767644714984
2010.Lyons00.flt.knn.avg.pcl,0.0191278624120784,0.5428271300950608
2010.Ogawa00_set1.flt.knn.avg.pcl,0.2577463372360696,0.6640916496203185
2010.Ogawa00_set2.flt.knn.avg.pcl,0.2880093369764575,1.5709400321216955
2010.Primig00.filter.flt.knn.avg.div.log.pcl,0.032038352604652,0.2871916517289142
2010.Robertson00.filter.flt.knn.avg.div.log.pcl,0.0860610555651287,0.3352986671211078
2010.alpha_conc.pcl,0.0024135211779539,0.4921509338881336
2010.alpha_time.pcl,0.0028494508100917,0.583976583825345
2010.snf_swi_mutants.pcl,0.0120041577899135,0.3159617404157444
2010.unfolded_protein_response.pcl,0.0651417926772622,0.5294676815744288
