Gene,+/-,Fold
YGR101W,1,0
YOR266W,1,0
YOL095C,1,0
YMR060C,1,0
YOR326W,1,0
YLL006W,1,0
YDL029W,1,0
YNL079C,1,0
YPR140W,1,0
YBR179C,1,0
YDR219C,1,0
YLL013C,1,0
YIL062C,1,0
YMR302C,1,0
YJR135W-A,1,0
YDL198C,1,0
YKL013C,1,0
YLL001W,1,0
YBR234C,1,0
YBR212W,1,0
YJL063C,1,0
YNR035C,1,0
YMR072W,1,0
YLR304C,1,0
YHR194W,1,0
YOR147W,1,0
snR57,0,0
YML080W,0,0
YGL054C,0,0
YOR294W,0,0
YBR169C,0,0
YJL071W,0,0
YJL014W,0,0
YGR184C,0,0
YOR137C,0,0
YGL245W,0,0
YHR020W,0,0
YIL105C,0,0
YMR308C,0,0
snR65,0,0
YJL129C,0,0
YOL001W,0,0
YDR138W,0,0
YEL003W,0,0
YFR030W,0,0
YDL135C,0,0
YGL115W,0,0
tY(GUA)O,0,0
YLL004W,0,0
YCL064C,0,0
OSR10,0,0
YHR072W-A,0,0
YPR032W,0,0
YGR232W,0,0
YGL153W,0,0
YOR197W,0,0
YGL254W,0,0
YNR041C,0,0
YDR448W,0,0
YNL268W,0,0
YGR292W,0,0
YKR094C,0,0
YKL164C,0,0
YER142C,0,0
YBR005W,0,0
YDR135C,0,0
YDL184C,0,0
Q0045,0,0
YDL179W,0,0
YJL219W,0,0
YLR332W,0,0
YDL193W,0,0
tG(UCC)Q,0,0
YEL006W,0,0
YDR381W,0,0
YDR390C,0,0
YDR261W-B,0,0
YBL082C,0,0
YLR209C,0,0
YNL264C,0,0
YLR436C,0,0
YCL067C,0,0
YOR307C,0,0
YPL144W,0,0
YOR068C,0,0
YIL052C,0,0
YDR376W,0,0
YER166W,0,0
YPL028W,0,0
YDR500C,0,0
YDL045C,0,0
YCR009C,0,0
YNL068C,0,0
snR30,0,0
YGL191W,0,0
YOL097C,0,0
YAL013W,0,0
YML095C,0,0
YCR077C,0,0
YLL017W,0,0
YER088C,0,0
YKL214C,0,0
YJR060W,0,0
YDR351W,0,0
YPR005C,0,0
YNL113W,0,0
tP(UGG)O2,0,0
YIL143C,0,0
YDR421W,0,0
YDL148C,0,0
YDR106W,0,0
YBR278W,0,0
HIR4,0,0
YFR028C,0,0
YFL007W,0,0
YPL023C,0,0
YDR013W,0,0
YGL253W,0,0
YMR079W,0,0
YPR154W,0,0
YLR403W,0,0
OSR9,0,0
YMR136W,0,0
YGL037C,0,0
snR86,0,0
YBR026C,0,0
YPR026W,0,0
YBL027W,0,0
YOR076C,0,0
YBR123C,0,0
YBL051C,0,0
YNL318C,0,0
YPR007C,0,0
YLR398C,0,0
YOR329C,0,0
YDR046C,0,0
YPR137C-A,0,0
tH(GUG)G1,0,0
YPR062W,0,0
tY(GUA)M1,0,0
YHR067W,0,0
YJR040W,0,0
snR71,0,0
YDR123C,0,0
snR52,0,0
YBL032W,0,0
YBR045C,0,0
YDR045C,0,0
YDR006C,0,0
YMR013C,0,0
YGL087C,0,0
YIR011C,0,0
YDR320C,0,0
URR4,0,0
YER020W,0,0
YAL042W,0,0
YMR312W,0,0
snR9,0,0
YKL011C,0,0
YHR101C,0,0
YOL136C,0,0
