Gene,+/-,Fold
YNL079C,1,0
YKR036C,1,0
YOR037W,1,0
YBR091C,1,0
YGR144W,1,0
YCL044C,1,0
YML104C,1,0
YNL121C,1,0
YJR120W,1,0
YIL062C,1,0
YJL112W,1,0
YOR326W,1,0
YKL053C-A,1,0
YIL138C,1,0
YMR134W,1,0
YNL070W,1,0
YOL076W,1,0
YDR296W,1,0
YDL217C,1,0
YJR065C,1,0
YNL310C,1,0
YEL020W-A,1,0
YDR258C,1,0
YBR179C,1,0
YDR339C,1,0
YBR185C,1,0
YOL045W,0,0
YPL144W,0,0
YDR501W,0,0
YDR496C,0,0
YGL119W,0,0
YOR206W,0,0
YBR029C,0,0
YHR187W,0,0
YGL225W,0,0
YEL022W,0,0
YMR189W,0,0
YMR305C,0,0
YJR062C,0,0
YMR152W,0,0
STA2,0,0
snR85,0,0
YOR068C,0,0
YGR148C,0,0
YPL273W,0,0
YJR052W,0,0
YPR056W,0,0
YDL185W,0,0
YGR161C,0,0
YDR432W,0,0
YGL241W,0,0
snR68,0,0
YDR021W,0,0
YIL144W,0,0
YHR041C,0,0
YOR028C,0,0
YHR061C,0,0
YLL003W,0,0
MEL8,0,0
YHR037W,0,0
YCL054W,0,0
YHR088W,0,0
YJL012C,0,0
YCR089W,0,0
YEL040W,0,0
YGL189C,0,0
YNL309W,0,0
YML008C,0,0
YMR316W,0,0
YHR214C-C,0,0
YEL063C,0,0
tV(UAC)D,0,0
tT(AGU)I2,0,0
YGL032C,0,0
YFR053C,0,0
YMR304W,0,0
snR19,0,0
YOR174W,0,0
YGR274C,0,0
YDR170W-A,0,0
tT(UGU)G1,0,0
YPR072W,0,0
YDL115C,0,0
YCL069W,0,0
YOR343W-A,0,0
YLR165C,0,0
YNL027W,0,0
YPL031C,0,0
MEL9,0,0
YLR272C,0,0
YGR154C,0,0
YAL033W,0,0
YEL055C,0,0
YGR188C,0,0
YGL216W,0,0
YBL084C,0,0
YFR050C,0,0
YBR030W,0,0
tD(GUC)Q,0,0
YLR234W,0,0
YCR081W,0,0
YNL218W,0,0
YMR045C,0,0
YDR099W,0,0
YCR014C,0,0
YKL074C,0,0
YBL071W-A,0,0
YGR238C,0,0
YGL167C,0,0
YDR254W,0,0
YPR030W,0,0
YDR335W,0,0
YMR313C,0,0
RDN25,0,0
YGL096W,0,0
YDR201W,0,0
YGL014W,0,0
YER157W,0,0
YHR193C,0,0
YDR446W,0,0
YDR246W,0,0
YMR298W,0,0
YAR009C,0,0
YNL194C,0,0
YFL008W,0,0
YJL158C,0,0
YPL223C,0,0
YLR126C,0,0
YFL029C,0,0
YJL129C,0,0
YLR058C,0,0
YPL094C,0,0
YLR109W,0,0
YHR205W,0,0
YCL025C,0,0
YML115C,0,0
YFL041W,0,0
YCR044C,0,0
YIL131C,0,0
YER023W,0,0
tK(UUU)Q,0,0
YJL080C,0,0
YFR025C,0,0
YKR048C,0,0
YER099C,0,0
YMR172W,0,0
SUC5,0,0
YLL015W,0,0
YLR028C,0,0
tQ(UUG)B,0,0
tI(UAU)D,0,0
YLR078C,0,0
YKR095W,0,0
YCL018W,0,0
YLR051C,0,0
YLR398C,0,0
YIL018W,0,0
YER036C,0,0
YLR032W,0,0
YDR172W,0,0
YER038C,0,0
YIL004C,0,0
