Gene,+/-,Fold
YLR203C,1,0
YBR185C,1,0
YNL070W,1,0
YDR219C,1,0
YOR228C,1,0
YNL079C,1,0
YJR100C,1,0
YKL011C,1,0
YDL142C,1,0
YML061C,1,0
YAL010C,1,0
YLR253W,1,0
YCR065W,1,0
YDL006W,1,0
YNL005C,1,0
YNR040W,1,0
YOR266W,1,0
YPL063W,1,0
YBL078C,1,0
YJL143W,1,0
YGR223C,1,0
YDR322C-A,1,0
YNL066W,1,0
YER125W,1,0
YIL098C,1,0
YPR116W,1,0
YJR144W,1,0
YMR134W,1,0
YGR049W,1,0
YMR098C,1,0
YML032C,1,0
YPL029W,1,0
YLR423C,1,0
YBR120C,1,0
YNL213C,1,0
YER095W,1,0
YDR332W,1,0
YPL166W,1,0
YLR077W,1,0
YPR083W,1,0
YMR159C,1,0
YNR032W,1,0
YFR021W,1,0
YJL054W,1,0
YGR082W,1,0
YDR493W,1,0
YFL046W,1,0
YML104C,1,0
YPR020W,1,0
YDR511W,1,0
YBR192W,1,0
YPR100W,1,0
YNL131W,1,0
YGR181W,1,0
YBR279W,1,0
YLR304C,1,0
YNL055C,1,0
YNR007C,1,0
YMR241W,1,0
YIR021W,1,0
YER058W,1,0
YFR028C,1,0
YDR393W,1,0
YHR024C,1,0
YNR020C,1,0
YML129C,1,0
YBR227C,1,0
YLL006W,1,0
YHR194W,1,0
YKR036C,1,0
YHR120W,1,0
YMR211W,1,0
YLR039C,0,0
YHR157W,0,0
YHR214C-B,0,0
YOR151C,0,0
YDR441C,0,0
YJR158W,0,0
YIL039W,0,0
YDR390C,0,0
YDL206W,0,0
YNL039W,0,0
YLL017W,0,0
YGR001C,0,0
YOL084W,0,0
YER165W,0,0
YBL101W-B,0,0
YML027W,0,0
YPR106W,0,0
YPL001W,0,0
YGR258C,0,0
YMR228W,0,0
YCL017C,0,0
YMR074C,0,0
YHR001W,0,0
YCR044C,0,0
YBL066C,0,0
YML033W,0,0
YKL097W-A,0,0
YDR247W,0,0
YCR069W,0,0
YLR350W,0,0
YLR297W,0,0
YBR193C,0,0
YJR160C,0,0
YGR006W,0,0
YHR160C,0,0
YBR244W,0,0
YPL234C,0,0
YJR031C,0,0
YFL050C,0,0
YER086W,0,0
YGR271W,0,0
YDR402C,0,0
YKR076W,0,0
YER023W,0,0
YBR243C,0,0
YBR200W,0,0
YHR165C,0,0
YGL181W,0,0
YDR363W-A,0,0
YML048W,0,0
YPL043W,0,0
YMR236W,0,0
YFR006W,0,0
YJR125C,0,0
YML039W,0,0
YMR208W,0,0
YKR084C,0,0
YGL237C,0,0
YPL249C,0,0
YGR161W-B,0,0
YIL177C,0,0
YOR337W,0,0
YGR185C,0,0
YDL231C,0,0
YCR037C,0,0
YJR155W,0,0
YJR082C,0,0
YGR086C,0,0
YOR201C,0,0
YPR145W,0,0
YPL210C,0,0
YGL026C,0,0
YNR021W,0,0
YER027C,0,0
YPL090C,0,0
YJL160C,0,0
YJL095W,0,0
YKL221W,0,0
YER074W-A,0,0
YGR106C,0,0
YFL018C,0,0
YDR326C,0,0
YML120C,0,0
YGR253C,0,0
YOR240W,0,0
YGR179C,0,0
YCR095C,0,0
YNL046W,0,0
YPR046W,0,0
YOR222W,0,0
YIR038C,0,0
YNL085W,0,0
YJR134C,0,0
YDR097C,0,0
YCR014C,0,0
YPL132W,0,0
YCL047C,0,0
YOL023W,0,0
YMR083W,0,0
YPR186C,0,0
YMR301C,0,0
YLL062C,0,0
YBR296C,0,0
