Used 2009 Datasets
Correlation Dictionary: 18654251520
Expression Datasets: 48
Initialized Expression Datasets
Initialized Localization Data
Initialized training and validation data
Initialized Network
Used Cross Entropy Loss Function
./Yeast Resources/Pairwise/Spell/LR/Original_glpx_b_149x25000x53_lr0.01_batch50_Train_/
./Yeast Resources/Pairwise/Spell/LR/Original_glpx_b_149x25000x53_lr0.01_batch50_Test_/
100 Batch Cumulative Loss: 15.853804349899292
Time for 100 Batches: 0.007273487250010173
100 Batch Cumulative Loss: 21.77763040503487
Time for 100 Batches: 0.6231733441352845
100 Batch Cumulative Loss: 23.03148517012596
Time for 100 Batches: 0.6142605622609456
100 Batch Cumulative Loss: 25.65531762103933
Time for 100 Batches: 0.6091229120890299
100 Batch Cumulative Loss: 23.63122329415637
Time for 100 Batches: 0.6139405727386474
100 Batch Cumulative Loss: 28.8936792964488
Time for 100 Batches: 0.6117487112681071
100 Batch Cumulative Loss: 23.352163297546213
Time for 100 Batches: 0.6153568307558696
100 Batch Cumulative Loss: 23.857342367380625
Time for 100 Batches: 0.6172025283177693
100 Batch Cumulative Loss: 19.88900228505372
Time for 100 Batches: 0.6140663305918376
100 Batch Cumulative Loss: 22.913754412633466
Time for 100 Batches: 0.6134482622146606
100 Batch Cumulative Loss: 25.198857299168594
Time for 100 Batches: 0.6147051254908243
100 Batch Cumulative Loss: 21.223592946806548
Time for 100 Batches: 0.6164259632428487
100 Batch Cumulative Loss: 24.85765790613368
Time for 100 Batches: 0.617808711528778
100 Batch Cumulative Loss: 26.71396808611462
Time for 100 Batches: 0.616403873761495
100 Batch Cumulative Loss: 25.33346911962144
Time for 100 Batches: 0.6178770780563354
100 Batch Cumulative Loss: 24.467888145618417
Time for 100 Batches: 0.6182338913281759
100 Batch Cumulative Loss: 21.207509618634177
Time for 100 Batches: 0.6151292602221171
100 Batch Cumulative Loss: 23.932634990662336
Time for 100 Batches: 0.6143268783887227
100 Batch Cumulative Loss: 25.011198405758478
Time for 100 Batches: 0.6137071172396342
100 Batch Cumulative Loss: 20.192775410261675
Time for 100 Batches: 0.6152709325154623
100 Batch Cumulative Loss: 21.463844851882186
Time for 100 Batches: 0.6163509289423624
100 Batch Cumulative Loss: 23.915989468107
Time for 100 Batches: 0.6169493079185486
100 Batch Cumulative Loss: 18.625138842857268
Time for 100 Batches: 0.6198369304339091
100 Batch Cumulative Loss: 22.71185528903152
Time for 100 Batches: 0.615313728650411
100 Batch Cumulative Loss: 21.547727083675486
Time for 100 Batches: 0.6165231188138326
100 Batch Cumulative Loss: 20.16161748090235
Time for 100 Batches: 0.6108041485150655
100 Batch Cumulative Loss: 19.359687966585625
Time for 100 Batches: 0.6149209817250569
100 Batch Cumulative Loss: 23.656875754357316
Time for 100 Batches: 0.6173618038495382
100 Batch Cumulative Loss: 21.80765239498578
Time for 100 Batches: 0.6147852182388306
100 Batch Cumulative Loss: 22.56696030854073
Time for 100 Batches: 0.6131500681241353
100 Batch Cumulative Loss: 20.74474467631171
Time for 100 Batches: 0.6155872861544291
100 Batch Cumulative Loss: 21.04974976705853
Time for 100 Batches: 0.6113991618156434
100 Batch Cumulative Loss: 19.603325309231877
Time for 100 Batches: 0.6218983928362528
100 Batch Cumulative Loss: 19.382068281061947
Time for 100 Batches: 0.612489664554596
100 Batch Cumulative Loss: 19.12134976312518
Time for 100 Batches: 0.6123192230860393
100 Batch Cumulative Loss: 20.455327609553933
Time for 100 Batches: 0.6166229526201884
100 Batch Cumulative Loss: 19.118382032815134
Time for 100 Batches: 0.6228644569714864
100 Batch Cumulative Loss: 19.6225558242877
Time for 100 Batches: 0.6157864014307658
100 Batch Cumulative Loss: 16.63133166458312
Time for 100 Batches: 0.6121196190516154
100 Batch Cumulative Loss: 18.27255596797204
Time for 100 Batches: 0.6173600157101949
100 Batch Cumulative Loss: 20.01067647912714
Time for 100 Batches: 0.6194803873697917
100 Batch Cumulative Loss: 19.832411591982236
Time for 100 Batches: 0.6208948810895284
100 Batch Cumulative Loss: 15.807570232776925
Time for 100 Batches: 0.6201519966125488
100 Batch Cumulative Loss: 16.527803863369627
Time for 100 Batches: 0.6248429854710896
100 Batch Cumulative Loss: 14.431441169613663
Time for 100 Batches: 0.6162909865379333
100 Batch Cumulative Loss: 16.870453349431045
Time for 100 Batches: 0.6184230327606202
100 Batch Cumulative Loss: 16.411679129116237
Time for 100 Batches: 0.611096715927124
100 Batch Cumulative Loss: 16.4070269363001
Time for 100 Batches: 0.617175571123759
100 Batch Cumulative Loss: 16.12174766501994
Time for 100 Batches: 0.6157339493433635
100 Batch Cumulative Loss: 19.790927144233137
Time for 100 Batches: 0.6166427890459697
100 Batch Cumulative Loss: 17.6608121232548
Time for 100 Batches: 0.6181463321050008
100 Batch Cumulative Loss: 15.618647382565541
Time for 100 Batches: 0.6160314043362936
100 Batch Cumulative Loss: 16.720104195066597
Time for 100 Batches: 0.6201204021771749
100 Batch Cumulative Loss: 20.556678551016375
Time for 100 Batches: 0.6174130280812581
100 Batch Cumulative Loss: 18.58975107735023
Time for 100 Batches: 0.6183974186579386
100 Batch Cumulative Loss: 16.338009395636618
Time for 100 Batches: 0.6161062161127726
100 Batch Cumulative Loss: 16.614895262324353
Time for 100 Batches: 0.6202622969945272
100 Batch Cumulative Loss: 16.417789705097675
Time for 100 Batches: 0.6206155776977539
100 Batch Cumulative Loss: 17.23506139063329
Time for 100 Batches: 0.61755477587382
100 Batch Cumulative Loss: 14.907078433956485
Time for 100 Batches: 0.6116733312606811
100 Batch Cumulative Loss: 18.12005499715451
Time for 100 Batches: 0.6110445777575175
100 Batch Cumulative Loss: 17.51515857674065
Time for 100 Batches: 0.6172135353088379
100 Batch Cumulative Loss: 15.49417453102069
Time for 100 Batches: 0.6178651134173075
100 Batch Cumulative Loss: 16.03828430519343
Time for 100 Batches: 0.6204689383506775
100 Batch Cumulative Loss: 14.895489021290302
Time for 100 Batches: 0.6173322041829427
100 Batch Cumulative Loss: 16.39625676732976
Time for 100 Batches: 0.6212689439455669
100 Batch Cumulative Loss: 14.62373029788796
Time for 100 Batches: 0.6180310646692911
100 Batch Cumulative Loss: 14.738790029776283
Time for 100 Batches: 0.6101024548212687
100 Batch Cumulative Loss: 14.893387279473245
Time for 100 Batches: 0.6156351049741109
100 Batch Cumulative Loss: 11.935071406616771
Time for 100 Batches: 0.6165381113688151
100 Batch Cumulative Loss: 12.805632185776744
Time for 100 Batches: 0.6143021583557129
100 Batch Cumulative Loss: 15.026574697098113
Time for 100 Batches: 0.6110199729601542
100 Batch Cumulative Loss: 15.172929332591593
Time for 100 Batches: 0.6157641371091207
100 Batch Cumulative Loss: 15.34395918354392
Time for 100 Batches: 0.6129485249519349
100 Batch Cumulative Loss: 15.65862729283981
Time for 100 Batches: 0.6160127401351929
100 Batch Cumulative Loss: 15.843745102974935
Time for 100 Batches: 0.615802812576294
100 Batch Cumulative Loss: 16.481156210953486
Time for 100 Batches: 0.6169291814168294
100 Batch Cumulative Loss: 15.797036107163876
Time for 100 Batches: 0.6153013428052266
100 Batch Cumulative Loss: 14.182399072742555
Time for 100 Batches: 0.6135932922363281
100 Batch Cumulative Loss: 13.879706459119916
Time for 100 Batches: 0.6189569950103759
100 Batch Cumulative Loss: 14.444976587920792
Time for 100 Batches: 0.6204636295636495
100 Batch Cumulative Loss: 14.413315096870065
Time for 100 Batches: 0.6139686822891235
100 Batch Cumulative Loss: 14.868020464900837
Time for 100 Batches: 0.6156899134318033
100 Batch Cumulative Loss: 16.352280561128282
