Batch,Training Loss,Validation Loss
0,70.59910297393799,70.97526609897614
100,67.4571024775505,68.7895655632019
200,61.35784077644348,66.95757627487183
300,57.97822034358978,70.26774883270264
400,56.583127945661545,69.33531939983368
500,57.77902773022652,71.91424190998077
600,57.33262458443642,70.69062113761902
700,56.56626099348068,75.91625154018402
800,56.51868146657944,72.1543300151825
900,56.28364261984825,74.77129757404327
1000,55.78773972392082,74.69363331794739
1100,56.05263468623161,74.9949598312378
1200,56.325573325157166,68.244069814682
1300,56.187429785728455,69.57760453224182
1400,55.86837565898895,74.48327898979187
1500,55.48325952887535,73.01697075366974
1600,54.816827058792114,70.97179591655731
1700,54.64967676997185,72.7388483285904
1800,56.167222410440445,74.16271507740021
1900,55.23223319649696,78.07760059833527
2000,55.90189605951309,69.44943606853485
2100,55.418675661087036,77.65450894832611
2200,55.00958243012428,76.62712216377258
2300,53.15379697084427,78.01365792751312
2400,53.85842028260231,75.14500856399536
2500,54.06724128127098,78.23153793811798
2600,55.2555048763752,73.75625133514404
2700,55.422489792108536,72.92478203773499
2800,54.10021075606346,70.63862144947052
2900,52.409056544303894,77.47840404510498
3000,53.2123908996582,78.37720394134521
3100,53.90158557891846,75.23350358009338
3200,54.699957340955734,79.00266706943512
3300,54.01199144124985,72.85291254520416
3400,51.983620166778564,75.7643449306488
3500,52.79067710042,77.54831731319427
3600,53.44670060276985,75.34763038158417
3700,53.499089419841766,76.29285633563995
3800,53.144434958696365,74.50697600841522
3900,53.97689691185951,76.67260408401489
4000,52.02250424027443,79.35024678707123
4100,53.0795661509037,83.06410312652588
4200,53.14421007037163,78.01783859729767
4300,52.881739258766174,76.97640538215637
4400,52.153124272823334,79.71811592578888
4500,52.36526983976364,78.75415802001953
4600,53.50662475824356,81.97555959224701
4700,51.383009284734726,77.46279716491699
4800,54.0753211081028,79.60373520851135
4900,52.793042063713074,80.465407371521
5000,52.374405950307846,76.22440814971924
5100,52.57206377387047,79.6738463640213
5200,52.78910684585571,79.03397619724274
5300,51.00073301792145,79.45586681365967
5400,52.083618611097336,86.02174162864685
5500,53.215746849775314,74.35754358768463
5600,53.54431265592575,79.33160841464996
5700,51.62410441040993,72.6761794090271
5800,52.312625497579575,82.69122242927551
5900,52.76786622405052,79.83882486820221
6000,52.5062056183815,80.07578909397125
6100,53.45677551627159,75.0786155462265
6200,51.47490203380585,79.10453855991364
6300,52.10646280646324,86.68538749217987
6400,52.874822825193405,80.68919479846954
6500,52.89513421058655,81.33099257946014
6600,51.64191806316376,81.18021428585052
6700,51.79515692591667,80.09612739086151
6800,53.39900580048561,81.18224918842316
6900,53.33175054192543,83.41394603252411
7000,51.946312725543976,81.33633196353912
7100,53.07553189992905,80.48911690711975
7200,52.5842824280262,79.56185817718506
7300,52.37299093604088,82.8683066368103
7400,52.987404495477676,79.14379358291626
7500,52.675115793943405,82.88718581199646
7600,52.28262257575989,79.10036206245422
7700,51.377871960401535,80.20894885063171
7800,51.23773065209389,83.00849974155426
7900,53.160380482673645,79.65452909469604
8000,52.74635633826256,80.10820806026459
8100,51.72562074661255,86.13323628902435
8200,53.93879944086075,81.80466890335083
8300,53.16193246841431,78.18316578865051
8400,51.77639386057854,85.36903262138367
8500,52.37634149193764,82.64046251773834
8600,51.66264069080353,77.94785261154175
8700,52.717461466789246,75.11956334114075
8800,51.959874868392944,83.02386224269867
8900,50.600843012332916,80.98310828208923
9000,52.67859575152397,76.2359219789505
9100,52.919803351163864,75.30252456665039
9200,53.414109855890274,79.29565727710724
9300,52.843612253665924,80.23082137107849
9400,52.19649237394333,84.33625161647797
9500,52.59816947579384,79.4850093126297
9600,51.89152383804321,84.45343554019928
9700,52.055463433265686,82.60103106498718
9800,52.317961007356644,84.01558816432953
9900,53.23845672607422,80.55011570453644
10000,51.9881936609745,84.51402604579926
10100,52.1410756111145,79.61467623710632
10200,51.69847670197487,83.4542441368103
10300,52.1290899515152,79.66190159320831
10400,52.47375041246414,76.93840622901917
10500,51.212984800338745,82.17857956886292
10600,52.58416822552681,73.31446349620819
10700,51.44266477227211,82.69479870796204
10800,51.74025720357895,85.20331144332886
10900,52.3700812458992,84.47712481021881
11000,51.289773643016815,82.00598120689392
11100,52.69547259807587,79.5839273929596
11200,52.37970620393753,82.04749166965485
11300,50.388026267290115,77.8097802400589
11400,51.79918444156647,82.72388339042664
11500,52.621749460697174,79.70244646072388
11600,51.31266602873802,84.64645326137543
11700,52.251547157764435,82.62874960899353
11800,51.600626200437546,88.91119241714478
11900,51.822803288698196,82.51543462276459
12000,51.846384316682816,74.65927422046661
12100,52.46559926867485,76.32861375808716
12200,51.553081691265106,80.33144414424896
12300,52.43469202518463,76.76363050937653
12400,52.10600483417511,77.89926826953888
12500,54.370231717824936,75.97501218318939
12600,51.95985144376755,75.45273184776306
12700,51.94920179247856,85.59940814971924
12800,50.413599371910095,82.86790192127228
12900,52.23958042263985,77.00617581605911
13000,51.783015698194504,82.6537299156189
13100,52.4818771481514,75.23748636245728
13200,51.750959515571594,78.99576961994171
13300,51.66199657320976,80.60854971408844
13400,52.923960477113724,78.16781997680664
13500,51.938455671072006,77.03373551368713
13600,51.55988773703575,79.40407335758209
13700,51.3440260887146,81.3085550069809
13800,51.80523923039436,80.0268691778183
13900,53.143931180238724,81.89881920814514
14000,53.13145163655281,80.99885761737823
14100,51.85096037387848,78.22940051555634
14200,52.10945609211922,77.94056534767151
14300,52.933281034231186,77.33411431312561
14400,52.95453009009361,83.54337573051453
14500,51.48208424448967,79.06168043613434
14600,51.79027941823006,79.69052791595459
14700,52.26894921064377,75.18714845180511
14800,52.51245528459549,78.94601702690125
14900,51.92396005988121,81.02754175662994
15000,51.8549163043499,94.88921403884888
15100,53.21282202005386,77.08861708641052
15200,51.37327799201012,74.68213856220245
15300,51.30532839894295,77.69139766693115
15400,51.22161838412285,86.02066338062286
15500,52.290096402168274,84.29679572582245
15600,51.76201331615448,80.16831398010254
15700,51.65278089046478,80.73603928089142
15800,50.44115325808525,85.03227651119232
15900,52.495975345373154,87.94215500354767
16000,51.71304529905319,84.95047628879547
16100,52.247382789850235,80.65329015254974
16200,53.150289475917816,71.91784083843231
16300,51.79540026187897,85.49136459827423
16400,52.350144654512405,85.78161716461182
16500,51.97697174549103,75.55470168590546
16600,51.53374218940735,86.90509915351868
16700,51.40991163253784,80.04287004470825
16800,52.50083139538765,85.19780039787292
16900,52.51891270279884,81.42713844776154
17000,51.36829161643982,78.32949161529541
17100,52.14356383681297,86.85952544212341
17200,53.90785077214241,82.7667897939682
17300,51.46623104810715,83.2790219783783
17400,51.02080252766609,84.29846227169037
17500,51.550779581069946,80.48637747764587
17600,52.097348630428314,80.99053800106049
17700,51.409826427698135,81.73153698444366
17800,52.435817658901215,85.59800386428833
17900,51.6180624961853,87.37473607063293
18000,51.30460071563721,82.7649438381195
18100,52.02724948525429,79.9998277425766
18200,52.33334934711456,81.9568145275116
18300,50.69662454724312,77.40210473537445
18400,52.41218122839928,83.90373349189758
18500,50.55610707402229,83.24260950088501
18600,52.14068391919136,91.16150319576263
18700,50.61968234181404,81.63744926452637
18800,51.16079145669937,77.55913317203522
18900,51.26660406589508,90.95003962516785
19000,51.61778390407562,87.61436581611633
19100,52.73486405611038,91.69510781764984
19200,51.6440806388855,80.75432479381561
19300,52.17714577913284,82.29502022266388
19400,51.04405200481415,76.31549537181854
19500,51.95671358704567,88.0950915813446
19600,51.05009886622429,76.60744965076447
19700,50.99241504073143,82.05076217651367
19800,52.08608165383339,77.15765118598938
19900,50.99056202173233,81.93328559398651
20000,51.54228591918945,87.34557628631592
20100,51.57069021463394,80.12793600559235
20200,52.34625446796417,81.70113503932953
20300,52.64683586359024,82.12665975093842
20400,52.412710428237915,82.08056092262268
20500,52.075292468070984,80.12921631336212
20600,51.630733758211136,81.04836642742157
20700,51.06205287575722,90.24377703666687
20800,52.173405826091766,83.8998007774353
20900,52.33741718530655,94.46751713752747
21000,51.66275918483734,83.14124286174774
21100,52.21302130818367,89.89586293697357
21200,51.66520193219185,87.37431943416595
21300,52.95796227455139,93.95113110542297
21400,51.6625097990036,84.40487265586853
21500,51.525441378355026,84.23620820045471
21600,52.089807987213135,84.02756989002228
21700,51.67909201979637,88.74360740184784
21800,52.63421782851219,88.0364716053009
21900,51.51897230744362,89.99454259872437
22000,51.60813292860985,87.92889833450317
22100,50.73484244942665,87.0747184753418
22200,51.86847546696663,91.2003630399704
22300,51.65271186828613,87.89416134357452
22400,52.45617154240608,94.11489188671112
22500,51.959414303302765,94.06208455562592
22600,50.92269632220268,83.82690370082855
22700,51.39257609844208,86.58198952674866
22800,51.40958511829376,85.5913758277893
22900,50.951408594846725,87.37885355949402
23000,51.3221318423748,99.64909970760345
23100,50.94267097115517,86.77777230739594
23200,51.3618558049202,79.26338076591492
23300,50.54111164808273,81.21702373027802
23400,52.401190996170044,96.29960894584656
23500,50.17569398880005,89.36696171760559
23600,51.97596022486687,92.43668973445892
23700,52.65447536110878,89.0270733833313
23800,50.992958068847656,84.85595345497131
23900,51.19756358861923,89.56322312355042
24000,52.17616620659828,79.87541615962982
24100,51.09178829193115,87.5416487455368
24200,51.5870278775692,84.41087543964386
24300,50.67452612519264,90.32288610935211
24400,52.217121601104736,88.18743526935577
24500,50.982616901397705,87.58636474609375
24600,52.41239356994629,93.50744009017944
24700,51.905033111572266,86.78278982639313
24800,51.80908718705177,86.49783194065094
24900,51.169238179922104,93.60132873058319
25000,50.96054953336716,93.82666945457458
25100,51.578030437231064,91.67161107063293
25200,49.84256851673126,86.1746871471405
25300,51.1987419128418,93.55943202972412
25400,50.33431416749954,89.17941451072693
25500,52.90018758177757,93.64826142787933
25600,50.525424003601074,90.72280645370483
25700,52.67520225048065,94.39453184604645
25800,52.15635788440704,87.45602071285248
25900,50.31255114078522,90.92554271221161
26000,50.979895263910294,87.62061178684235
26100,52.46481120586395,94.20465230941772
26200,52.06308028101921,80.84436237812042
26300,50.65056398510933,97.82072007656097
26400,51.75528597831726,88.96305799484253
26500,51.84409275650978,83.01169633865356
26600,51.3543518781662,97.47970461845398
26700,50.537582755088806,95.9675407409668
26800,51.458555459976196,87.72788345813751
26900,51.57214614748955,92.24399268627167
27000,51.66382220387459,97.27238178253174
27100,52.100656270980835,98.02043974399567
27200,50.999562948942184,89.36322808265686
27300,50.374748200178146,85.84238946437836
27400,52.119580417871475,84.247567653656
27500,51.33566439151764,89.36067998409271
27600,51.72427421808243,80.5353856086731
27700,52.91519272327423,87.24880039691925
27800,50.75048705935478,98.74960243701935
27900,51.09776946902275,94.76827800273895
28000,52.60384485125542,95.06318390369415
28100,50.75849783420563,87.04398810863495
28200,52.34575906395912,92.73264527320862
28300,52.37381154298782,81.63237571716309
28400,50.987592816352844,92.63414680957794
28500,50.97063109278679,90.09226441383362
28600,51.37965530157089,90.45633018016815
28700,51.09996572136879,103.3620148897171
