GO Term ID,GO Term Name,Num GO Term Annos,NN Nes,NN q-value,MEFIT NES,MEFIT q-value,NES Difference
GO:0042254,ribosome biogenesis,405,-3.242744519,0,1.403933021,0.375059907,-4.646677539
GO:0006364,rRNA processing,296,-3.369877827,0,1.269289175,0.534700346,-4.639167002
GO:0022613,ribonucleoprotein complex biogenesis,492,-3.15631181,0,1.33629662,0.459937404,-4.492608429
GO:0030490,maturation of SSU-rRNA,120,-3.186144799,0,1.275557316,0.52734884,-4.461702116
GO:0042274,ribosomal small subunit biogenesis,145,-3.105290494,0,1.35319914,0.438963401,-4.458489634
GO:0034470,ncRNA processing,420,-3.282534353,0,1.158159162,0.713018279,-4.440693516
GO:0016072,rRNA metabolic process,350,-3.266209779,0,1.141681218,0.726202345,-4.407890997
GO:0000462,"maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",107,-3.416034667,0,0.983079215,0.945097832,-4.399113882
GO:0034660,ncRNA metabolic process,538,-2.984191363,0,1.290278134,0.513964583,-4.274469498
GO:0042255,ribosome assembly,80,-2.108447545,0.002375538,2.161047662,0.000874742,-4.269495207
GO:0042273,ribosomal large subunit biogenesis,129,-3.195254611,0,1.032998986,0.88390393,-4.228253597
GO:0090501,RNA phosphodiester bond hydrolysis,198,-3.269511966,0,0.931677298,1,-4.201189265
GO:0000470,maturation of LSU-rRNA,68,-3.031763547,0,1.075172089,0.829013841,-4.106935636
GO:0000463,"maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",53,-3.019982604,0,0.910394356,1,-3.930376961
GO:0006396,RNA processing,589,-2.839944044,0,1.084812133,0.825520909,-3.924756177
GO:0031125,rRNA 3'-end processing,23,-2.460358884,1.29E-05,1.388458182,0.397726347,-3.848817066
GO:0043628,small regulatory ncRNA 3'-end processing,42,-2.498811367,0,1.275110399,0.52734884,-3.773921766
GO:0000459,exonucleolytic trimming involved in rRNA processing,20,-2.473111271,1.29E-05,1.300741202,0.504566654,-3.773852473
GO:0002181,cytoplasmic translation,194,-0.490256164,0.999722776,3.269650157,0,-3.759906322
GO:0015074,DNA integration,53,-2.957802445,0,0.77521879,1,-3.733021235
GO:0022618,ribonucleoprotein complex assembly,176,-2.162605357,0.001240171,1.543549193,0.215398241,-3.70615455
GO:0034472,snRNA 3'-end processing,20,-2.393054265,2.44E-05,1.292760057,0.511765452,-3.685814321
GO:0000467,"exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",18,-2.342594285,6.98E-05,1.336725055,0.459937404,-3.679319339
GO:0071826,ribonucleoprotein complex subunit organization,182,-2.153605591,0.001378889,1.511391059,0.252379513,-3.66499665
GO:0071042,nuclear polyadenylation-dependent mRNA catabolic process,15,-2.583981236,0,1.069338052,0.829013841,-3.653319288
GO:0071047,polyadenylation-dependent mRNA catabolic process,15,-2.580563552,0,1.069338052,0.829013841,-3.649901605
GO:0071051,polyadenylation-dependent snoRNA 3'-end processing,15,-2.571033169,0,0.988681652,0.938175037,-3.559714821
GO:0031126,sno(s)RNA 3'-end processing,32,-2.535264641,0,0.995747462,0.928760905,-3.531012102
GO:0043144,sno(s)RNA processing,47,-2.641044286,0,0.878943827,1,-3.519988113
GO:0000027,ribosomal large subunit assembly,41,-2.292570443,0.000171615,1.216393934,0.615208414,-3.508964378
GO:0006399,tRNA metabolic process,209,-1.991173782,0.008747279,1.485037886,0.280141143,-3.476211668
GO:0090503,"RNA phosphodiester bond hydrolysis, exonucleolytic",32,-2.101176321,0.002425337,1.372141611,0.411786429,-3.473317933
GO:0016074,sno(s)RNA metabolic process,53,-2.618023183,0,0.846783085,1,-3.464806269
GO:0071043,CUT metabolic process,14,-2.510783766,0,0.920136403,1,-3.43092017
GO:0071038,nuclear polyadenylation-dependent tRNA catabolic process,16,-2.699881684,0,0.724103196,1,-3.423984879
GO:0043633,polyadenylation-dependent RNA catabolic process,22,-2.720830248,0,0.700825152,1,-3.4216554
GO:0016180,snRNA processing,21,-2.4414193,1.29E-05,0.978055749,0.945097832,-3.419475049
GO:0106354,tRNA surveillance,16,-2.697671933,0,0.714584617,1,-3.412256551
GO:0000028,ribosomal small subunit assembly,28,-1.246437199,0.527105209,2.155294852,0.000969411,-3.401732051
GO:0071046,nuclear polyadenylation-dependent ncRNA catabolic process,20,-2.686217778,0,0.709560595,1,-3.395778373
GO:0043634,polyadenylation-dependent ncRNA catabolic process,20,-2.674727938,0,0.709521417,1,-3.384249355
GO:0034475,U4 snRNA 3'-end processing,15,-2.355050954,4.81E-05,1.027258454,0.88390393,-3.382309408
GO:0071034,CUT catabolic process,14,-2.483752459,0,0.898051731,1,-3.38180419
GO:0071029,nuclear ncRNA surveillance,20,-2.61047081,0,0.702705735,1,-3.313176545
GO:0042797,tRNA transcription by RNA polymerase III,19,-2.273335231,0.000236507,1.003687022,0.924312388,-3.277022253
GO:0009304,tRNA transcription,19,-2.25480149,0.000343758,1.007532097,0.919088209,-3.262333587
GO:0016078,tRNA catabolic process,17,-2.542337756,0,0.690007851,1,-3.232345607
GO:0071035,nuclear polyadenylation-dependent rRNA catabolic process,19,-2.643010593,0,0.538174823,1,-3.181185417
GO:0002183,cytoplasmic translational initiation,28,-1.868603227,0.024128733,1.222006738,0.614467183,-3.090609964
GO:0006400,tRNA modification,83,-2.435484044,1.29E-05,0.631043059,1,-3.066527104
GO:0006450,regulation of translational fidelity,31,-0.729277872,0.984804592,2.320833304,8.69E-05,-3.050111177
GO:0071027,nuclear RNA surveillance,34,-2.463229032,1.29E-05,0.574887869,1,-3.038116901
GO:0006278,RNA-templated DNA biosynthetic process,78,-2.392836292,2.44E-05,0.634988936,1,-3.027825228
GO:0071025,RNA surveillance,36,-2.453504852,1.29E-05,0.56457919,1,-3.018084042
GO:0031119,tRNA pseudouridine synthesis,7,-1.791210946,0.045610623,1.213608412,0.620218215,-3.004819358
GO:0031123,RNA 3'-end processing,80,-1.992453148,0.008730483,0.996135837,0.928760905,-2.988588986
GO:0034473,U1 snRNA 3'-end processing,6,-1.955336697,0.011597316,1.025098883,0.886187349,-2.980435579
GO:0008033,tRNA processing,136,-1.98312853,0.00916424,0.964387132,0.964053068,-2.947515662
GO:0071028,nuclear mRNA surveillance,28,-2.387574099,2.44E-05,0.520937967,1,-2.908512065
GO:0071039,nuclear polyadenylation-dependent CUT catabolic process,10,-2.24809397,0.000382233,0.654636263,1,-2.902730233
GO:0000460,maturation of 5.8S rRNA,94,-3.733983026,0,-0.832194509,0.908072629,-2.901788517
GO:0034661,ncRNA catabolic process,39,-2.078528152,0.003363654,0.79212631,1,-2.870654462
GO:0000466,"maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",94,-3.65036387,0,-0.832812823,0.908072629,-2.817551047
GO:0016075,rRNA catabolic process,36,-1.989469347,0.008833986,0.822485074,1,-2.811954421
GO:1902626,assembly of large subunit precursor of preribosome,8,-2.039452279,0.005391831,0.749120129,1,-2.788572407
GO:0034476,U5 snRNA 3'-end processing,11,-1.828296271,0.034045204,0.95486006,0.973722195,-2.783156331
GO:0000956,nuclear-transcribed mRNA catabolic process,123,-1.778381036,0.049455824,0.916218676,1,-2.694599712
GO:0030488,tRNA methylation,25,-2.031595531,0.005830949,0.643719552,1,-2.675315083
GO:0000154,rRNA modification,28,-2.131735103,0.001781363,0.541952883,1,-2.673687985
GO:0001522,pseudouridine synthesis,18,-1.898520882,0.018581783,0.752139526,1,-2.650660408
GO:0000469,cleavage involved in rRNA processing,86,-3.517833595,0,-0.892179947,0.851782418,-2.625653648
GO:0001172,RNA-templated transcription,12,-0.702930188,0.984804592,1.863409756,0.025651699,-2.566339944
GO:0043414,macromolecule methylation,104,-1.928938731,0.014073844,0.62795625,1,-2.556894982
GO:0090502,"RNA phosphodiester bond hydrolysis, endonucleolytic",144,-3.38100494,0,-0.907567349,0.839018679,-2.473437591
GO:0032196,transposition,120,-3.320664194,0,-1.028580226,0.652348536,-2.292083968
GO:0000478,endonucleolytic cleavage involved in rRNA processing,61,-3.449718347,0,-1.314922841,0.348728923,-2.134795507
GO:0000479,"endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",61,-3.423676584,0,-1.314922841,0.348728923,-2.108753743
GO:0032197,"transposition, RNA-mediated",114,-3.308691782,0,-1.219860323,0.419898685,-2.08883146
GO:0090305,nucleic acid phosphodiester bond hydrolysis,275,-2.886724627,0,-0.90503952,0.842086993,-1.981685108
GO:0000966,RNA 5'-end processing,51,-3.042747837,0,-1.151500814,0.482931786,-1.891247023
GO:0000447,"endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",46,-3.290130438,0,-1.452791248,0.244729575,-1.83733919
GO:0000967,rRNA 5'-end processing,39,-3.242639577,0,-1.453063054,0.244729575,-1.789576523
GO:0016073,snRNA metabolic process,34,-2.52118739,0,-0.78096121,0.94642543,-1.74022618
GO:0034471,ncRNA 5'-end processing,39,-3.185847151,0,-1.448158144,0.246604391,-1.737689007
GO:0009451,RNA modification,116,-2.595688236,0,-0.896146384,0.848775879,-1.699541852
GO:0036260,RNA capping,49,-3.120484466,0,-1.436604684,0.251724171,-1.683879782
GO:0000472,"endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",36,-3.222867606,0,-1.550279691,0.189741035,-1.672587915
GO:0000480,"endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",35,-3.180668702,0,-1.692265732,0.126645573,-1.48840297
GO:0001510,RNA methylation,46,-2.353176819,5.91E-05,-0.866532128,0.879422743,-1.486644691
GO:0000055,ribosomal large subunit export from nucleus,33,-1.943038176,0.012475679,-0.566399746,0.998871865,-1.37663843
GO:0033750,ribosome localization,55,-2.051873317,0.004685089,-0.693112157,0.97382676,-1.35876116
GO:0000054,ribosomal subunit export from nucleus,54,-2.102513894,0.002425337,-0.751768179,0.960313561,-1.350745715
GO:0034427,"nuclear-transcribed mRNA catabolic process, exonucleolytic, 3'-5'",18,-1.979386443,0.009471935,-0.682176363,0.978299015,-1.29721008
GO:0098781,ncRNA transcription,75,-2.104103324,0.002425337,-0.82025965,0.91501047,-1.283843674
GO:0006407,rRNA export from nucleus,18,0.967499556,0.713051115,2.245070715,0.000306576,-1.277571159
GO:0018023,peptidyl-lysine trimethylation,10,0.611914388,0.991409899,1.888556287,0.020183445,-1.276641899
GO:0070478,"nuclear-transcribed mRNA catabolic process, 3'-5' exonucleolytic nonsense-mediated decay",17,-1.94262587,0.012475679,-0.684461417,0.97761294,-1.258164453
GO:0043043,peptide biosynthetic process,510,2.127592642,0.001508124,3.374119447,0,-1.246526805
GO:0000184,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay",36,-1.953864836,0.011612614,-0.715029639,0.969450892,-1.238835197
GO:0016070,RNA metabolic process,1379,-2.160270686,0.001240171,-0.921471375,0.821004557,-1.238799311
GO:0006412,translation,506,2.123004791,0.001581136,3.358386095,0,-1.235381303
GO:0051029,rRNA transport,18,0.975733671,0.700239974,2.206307907,0.000468998,-1.230574236
GO:0017182,peptidyl-diphthamide metabolic process,7,-1.962240105,0.010910032,-0.745648308,0.962674434,-1.216591797
GO:0017183,peptidyl-diphthamide biosynthetic process from peptidyl-histidine,7,-1.951837646,0.011667178,-0.745648308,0.962674434,-1.206189338
GO:0006360,transcription by RNA polymerase I,72,-1.926384159,0.014275915,-0.77456324,0.949200271,-1.151820919
GO:1990481,mRNA pseudouridine synthesis,6,-1.780023939,0.049274761,-0.632542043,0.995748657,-1.147481896
GO:0043604,amide biosynthetic process,558,2.085451571,0.002218333,3.221473556,0,-1.136021985
GO:0006518,peptide metabolic process,546,2.188886835,0.000753138,3.317946476,0,-1.129059641
GO:0016556,mRNA modification,11,-1.873735744,0.023171051,-0.88967483,0.853172712,-0.984060914
GO:0045943,positive regulation of transcription by RNA polymerase I,24,-1.845610548,0.029346161,-0.88728554,0.856470681,-0.958325008
