GO Term ID,GO Term Name,Num GO Term Annos,NN_-_- Nes,NN_-_- q-value,MEFIT_-_- NES,MEFIT_-_- q-value,NES Difference
GO:0032543,mitochondrial translation,131,3.359260395657013,0.0,3.866862361252967,0.0,-0.507601965595954
GO:0009060,aerobic respiration,89,3.128623568249937,0.0,1.790955082854626,0.0876562597968307,1.3376684853953111
GO:0140053,mitochondrial gene expression,157,3.085877247744224,0.0,3.720126059837857,0.0,-0.6342488120936332
GO:0045333,cellular respiration,107,2.974694254627972,0.0,1.933688200929165,0.0306758070959602,1.041006053698807
GO:0006091,generation of precursor metabolites and energy,211,2.9394631933313287,0.0,1.4747442285537409,0.4896353324485432,1.4647189647775878
GO:0006119,oxidative phosphorylation,35,2.869860289273908,0.0,2.002094168116183,0.0178267931509336,0.8677661211577252
GO:0015980,energy derivation by oxidation of organic compounds,158,2.8321884299737743,0.0,1.7897277420730269,0.0876562597968307,1.0424606879007474
GO:0006099,tricarboxylic acid cycle,30,2.8151117598679685,0.0,0.852817954155688,0.9824961661717336,1.9622938057122805
GO:0009150,purine ribonucleotide metabolic process,106,2.7733909581869214,0.0,0.7719474529002528,0.9919030116560664,2.0014435052866686
GO:0009152,purine ribonucleotide biosynthetic process,58,2.76223310115082,0.0,1.3588845321578118,0.666555205935118,1.403348568993008
GO:0009144,purine nucleoside triphosphate metabolic process,55,2.723317223339062,0.0,1.368211200995283,0.6520308184798645,1.3551060223437792
GO:0046034,ATP metabolic process,48,2.716978993306064,0.0,1.3452903800951037,0.666555205935118,1.3716886132109605
GO:0015986,proton motive force-driven ATP synthesis,17,2.705824927610153,0.0,2.106005639366199,0.0076623935473311,0.5998192882439541
GO:0009205,purine ribonucleoside triphosphate metabolic process,53,2.704913149015181,0.0,1.3081594544047268,0.68523849409347,1.3967536946104542
GO:0009259,ribonucleotide metabolic process,122,2.7009344386307075,0.0,-0.6565475066430209,0.9702055903724374,3.3574819452737286
GO:0009206,purine ribonucleoside triphosphate biosynthetic process,21,2.697835930951756,0.0,2.1085163647950727,0.0076623935473311,0.5893195661566835
GO:0006754,ATP biosynthetic process,17,2.6846706989396765,0.0,2.04813789405514,0.0139703235888209,0.6365328048845367
GO:0009145,purine nucleoside triphosphate biosynthetic process,21,2.664343173978159,0.0,2.1220797592507576,0.0068873303967296,0.5422634147274015
GO:0042773,ATP synthesis coupled electron transport,29,2.639977715243554,0.0,1.951149815587625,0.0271769186481151,0.6888278996559292
GO:0042775,mitochondrial ATP synthesis coupled electron transport,29,2.6382442478734345,0.0,1.9695698584808856,0.0232081986501004,0.6686743893925489
GO:0009260,ribonucleotide biosynthetic process,73,2.6058479908063124,0.0,1.2506223452064678,0.6949363730942971,1.3552256455998446
GO:0072521,purine-containing compound metabolic process,131,2.605582858680377,0.0,-0.6867438979241834,0.9606369078144412,3.2923267566045604
GO:0006163,purine nucleotide metabolic process,115,2.5983415785822737,0.0,0.7073360076435407,0.9919030116560664,1.891005570938733
GO:0019693,ribose phosphate metabolic process,129,2.5845068911941,0.0,0.6978025575009976,0.9919030116560664,1.8867043336931024
GO:0019646,aerobic electron transport chain,29,2.5686815788720767,0.0,1.787995211555697,0.0876562597968307,0.7806863673163797
GO:0009199,ribonucleoside triphosphate metabolic process,59,2.5607106252372454,0.0,1.2388782806461254,0.7224361855858289,1.32183234459112
GO:0022904,respiratory electron transport chain,33,2.5047723960685637,0.0,2.006231971764944,0.0177452806079481,0.49854042430361956
GO:0022900,electron transport chain,40,2.4819440807073447,0.0,2.0983924021039893,0.0079340233714957,0.3835516786033555
GO:0007030,Golgi organization,37,2.4733509180660085,0.0,1.3610072577415528,0.6652917006030155,1.1123436603244556
GO:0009141,nucleoside triphosphate metabolic process,67,2.454117837112034,0.0,1.3301964989776451,0.666555205935118,1.1239213381343889
GO:0016050,vesicle organization,101,2.453941980192292,0.0,1.1254807314148505,0.885338788455409,1.3284612487774417
GO:0046390,ribose phosphate biosynthetic process,79,2.435486358904884,0.0,1.2628326045919631,0.6912140739541043,1.172653754312921
GO:0009201,ribonucleoside triphosphate biosynthetic process,27,2.42425041168524,0.0,1.9006865097986765,0.039386324503874,0.5235639018865634
GO:0006164,purine nucleotide biosynthetic process,66,2.4161541469033003,3.636854619508801e-05,1.3656753331531375,0.6551860011988927,1.0504788137501628
GO:0072522,purine-containing compound biosynthetic process,71,2.4102094631093007,3.636854619508801e-05,1.3475934652773678,0.666555205935118,1.062615997831933
GO:0035383,thioester metabolic process,24,2.4085925437680378,3.636854619508801e-05,-1.0223914221298318,0.6918974487700427,3.4309839658978696
GO:0048193,Golgi vesicle transport,210,2.403242562489791,7.077122502827938e-05,1.3307250617991897,0.666555205935118,1.0725175006906011
GO:0009117,nucleotide metabolic process,180,2.385485527435943,0.0001033632365544,-0.8363531285724621,0.8870028910371677,3.221838656008405
GO:0009142,nucleoside triphosphate biosynthetic process,31,2.376496903053904,0.0002349967600297,2.031013696539309,0.0154700617518647,0.34548320651459496
