GO Term ID,GO Term Name,Num GO Term Annos,NN_-_- Nes,NN_-_- q-value,SPELL_-_- NES,SPELL_-_- q-value,NES Difference
GO:0032543,mitochondrial translation,131,3.359260395657013,0.0,3.5627196688856326,0.0,-0.20345927322861979
GO:0009060,aerobic respiration,89,3.128623568249937,0.0,2.4134183752722462,0.0001643524120967,0.7152051929776908
GO:0140053,mitochondrial gene expression,157,3.085877247744224,0.0,3.572052634001309,0.0,-0.48617538625708523
GO:0045333,cellular respiration,107,2.974694254627972,0.0,2.2810760175830422,0.0006711056827285,0.6936182370449298
GO:0006091,generation of precursor metabolites and energy,211,2.9394631933313287,0.0,1.7344627761842455,0.0517769096406659,1.2050004171470832
GO:0006119,oxidative phosphorylation,35,2.869860289273908,0.0,1.8394971766819128,0.025939303716398,1.0303631125919952
GO:0015980,energy derivation by oxidation of organic compounds,158,2.8321884299737743,0.0,2.058968478459937,0.0052250371012437,0.7732199515138372
GO:0006099,tricarboxylic acid cycle,30,2.8151117598679685,0.0,1.9456738755535288,0.011769143992678,0.8694378843144397
GO:0009150,purine ribonucleotide metabolic process,106,2.7733909581869214,0.0,1.6502439048005064,0.0858418036985198,1.123147053386415
GO:0009152,purine ribonucleotide biosynthetic process,58,2.76223310115082,0.0,1.9200740254282171,0.0144043149744827,0.8421590757226027
GO:0009144,purine nucleoside triphosphate metabolic process,55,2.723317223339062,0.0,1.52830821702261,0.1582527298890285,1.195009006316452
GO:0046034,ATP metabolic process,48,2.716978993306064,0.0,1.5437036801827606,0.1471172885595048,1.1732753131233036
GO:0015986,proton motive force-driven ATP synthesis,17,2.705824927610153,0.0,2.041817874634177,0.005877839901716,0.6640070529759758
GO:0009205,purine ribonucleoside triphosphate metabolic process,53,2.704913149015181,0.0,1.5839110132070786,0.1235970224922014,1.1210021358081024
GO:0009259,ribonucleotide metabolic process,122,2.7009344386307075,0.0,1.5628446023881422,0.1343767732995895,1.1380898362425653
GO:0009206,purine ribonucleoside triphosphate biosynthetic process,21,2.697835930951756,0.0,1.9987529829404609,0.00801992132652,0.6990829480112952
GO:0006754,ATP biosynthetic process,17,2.6846706989396765,0.0,2.064274871021881,0.0051520908313819,0.6203958279177955
GO:0009145,purine nucleoside triphosphate biosynthetic process,21,2.664343173978159,0.0,2.0508631007045297,0.0053181959763394,0.6134800732736294
GO:0042773,ATP synthesis coupled electron transport,29,2.639977715243554,0.0,1.72416999888698,0.0560750407445355,0.9158077163565741
GO:0042775,mitochondrial ATP synthesis coupled electron transport,29,2.6382442478734345,0.0,1.7322345598820352,0.0525575534969513,0.9060096879913992
GO:0009260,ribonucleotide biosynthetic process,73,2.6058479908063124,0.0,1.7704755142392905,0.0404149967971264,0.8353724765670218
GO:0072521,purine-containing compound metabolic process,131,2.605582858680377,0.0,1.5094688933733196,0.1702433181617471,1.0961139653070575
GO:0006163,purine nucleotide metabolic process,115,2.5983415785822737,0.0,1.6065402122232857,0.1096297299996757,0.991801366358988
GO:0019693,ribose phosphate metabolic process,129,2.5845068911941,0.0,1.5220439807631885,0.1616708727415244,1.0624629104309116
GO:0019646,aerobic electron transport chain,29,2.5686815788720767,0.0,1.6044001469454003,0.1103818391652817,0.9642814319266764
GO:0009199,ribonucleoside triphosphate metabolic process,59,2.5607106252372454,0.0,1.4556892390016785,0.2083877160023136,1.105021386235567
GO:0022904,respiratory electron transport chain,33,2.5047723960685637,0.0,1.939367013792272,0.0123866934583612,0.5654053822762917
GO:0022900,electron transport chain,40,2.4819440807073447,0.0,1.8344943063088168,0.0262401008628501,0.6474497743985279
GO:0007030,Golgi organization,37,2.4733509180660085,0.0,1.9512583722163224,0.0116919541535831,0.5220925458496861
GO:0009141,nucleoside triphosphate metabolic process,67,2.454117837112034,0.0,1.4947723283518708,0.1798273021849712,0.9593455087601632
GO:0016050,vesicle organization,101,2.453941980192292,0.0,2.277261023110732,0.0006711056827285,0.17668095708155995
GO:0046390,ribose phosphate biosynthetic process,79,2.435486358904884,0.0,1.7662774860092207,0.0408446837760103,0.6692088728956633
GO:0009201,ribonucleoside triphosphate biosynthetic process,27,2.42425041168524,0.0,1.90769460910797,0.0151052040969695,0.5165558025772699
GO:0006164,purine nucleotide biosynthetic process,66,2.4161541469033003,3.636854619508801e-05,1.856165752196786,0.0234260422344571,0.5599883947065143
GO:0072522,purine-containing compound biosynthetic process,71,2.4102094631093007,3.636854619508801e-05,1.8505248711022209,0.0245700485836166,0.5596845920070799
GO:0035383,thioester metabolic process,24,2.4085925437680378,3.636854619508801e-05,1.6196323065427694,0.1037694374935288,0.7889602372252684
GO:0048193,Golgi vesicle transport,210,2.403242562489791,7.077122502827938e-05,2.4015096667644715,0.0001643524120967,0.0017328957253193167
GO:0009117,nucleotide metabolic process,180,2.385485527435943,0.0001033632365544,1.418024083881956,0.2396131743438783,0.967461443553987
GO:0009142,nucleoside triphosphate biosynthetic process,31,2.376496903053904,0.0002349967600297,1.9618012283733963,0.0109294354044363,0.4146956746805077
GO:0071616,acyl-CoA biosynthetic process,8,2.373792596405429,0.0002618535326046,1.221626970581454,0.4369141737546904,1.152165625823975
GO:0006888,endoplasmic reticulum to Golgi vesicle-mediated transport,103,2.367918633799036,0.0002874002187124,2.0874847240927723,0.0044202148727083,0.2804339097062636
GO:0006637,acyl-CoA metabolic process,24,2.3487090915721627,0.0003429034355536,1.6548671647719857,0.0837779572646205,0.693841926800177
GO:0035384,thioester biosynthetic process,8,2.343991605165957,0.0003958251074256,1.2049613177893352,0.4520229536771644,1.1390302873766216
GO:1901135,carbohydrate derivative metabolic process,337,2.31580015034468,0.0004760973320084,1.691343211741848,0.0676813836395997,0.624456938602832
GO:0006753,nucleoside phosphate metabolic process,188,2.283906165410285,0.0007748726985239,1.3934095750749762,0.2610202134378898,0.8904965903353088
GO:0010499,proteasomal ubiquitin-independent protein catabolic process,18,2.283673780738039,0.0007748726985239,2.234646421336072,0.0011504668846775,0.04902735940196701
GO:0030641,regulation of cellular pH,33,2.281666961837552,0.0007748726985239,1.285176660103312,0.3606951081392592,0.9964903017342397
GO:0032787,monocarboxylic acid metabolic process,168,2.279463238563629,0.0007748726985239,0.900448576987772,0.8435045150009098,1.379014661575857
