GO Term ID,GO Term Name,Num GO Term Annos,NN Nes,NN q-value,SPELL NES,SPELL q-value,NES Difference
GO:0032543,mitochondrial translation,131,4.345754383218448,0.0,4.290380255742911,0.0,0.05537412747553727
GO:0140053,mitochondrial gene expression,157,4.107362231512933,0.0,4.270902959602279,0.0,-0.1635407280893464
GO:0007005,mitochondrion organization,292,3.3313701183966136,0.0,3.10753271509109,0.0,0.2238374033055237
GO:0009060,aerobic respiration,89,3.304683857014999,0.0,2.820206948656612,0.0,0.48447690835838664
GO:0070585,protein localization to mitochondrion,73,3.251823782417021,0.0,3.303550272000818,0.0,-0.051726489583797
GO:0006839,mitochondrial transport,82,3.222040652309674,0.0,3.130077505869977,0.0,0.09196314643969705
GO:0072655,establishment of protein localization to mitochondrion,73,3.1991815271829727,0.0,3.283473845721381,0.0,-0.08429231853840813
GO:0044743,protein transmembrane import into intracellular organelle,54,3.12937803789356,0.0,3.170542014139229,0.0,-0.041163976245669254
GO:0006626,protein targeting to mitochondrion,65,3.1239273657461823,0.0,3.1298366793365884,0.0,-0.005909313590406029
GO:0006119,oxidative phosphorylation,35,3.101252152190268,0.0,2.4136282951703283,5.4447349918234175e-05,0.6876238570199398
GO:0033108,mitochondrial respiratory chain complex assembly,47,3.065241867379481,0.0,2.613673320894978,0.0,0.45156854648450295
GO:0045333,cellular respiration,107,3.0617812900653725,0.0,2.8016698981673582,0.0,0.26011139189801424
GO:0042775,mitochondrial ATP synthesis coupled electron transport,29,3.0271179995295685,0.0,2.4045368673153527,5.4447349918234175e-05,0.6225811322142158
GO:0042773,ATP synthesis coupled electron transport,29,3.002011463477784,0.0,2.3929736803039527,7.424638625213751e-05,0.6090377831738314
GO:0019646,aerobic electron transport chain,29,2.97898222976207,0.0,2.3085470856375574,0.0002359385163123,0.6704351441245127
GO:0022900,electron transport chain,40,2.9766418151014213,0.0,2.4868611354784336,3.2409136856091774e-05,0.48978067962298777
GO:0022904,respiratory electron transport chain,33,2.942475501673224,0.0,2.4803251432965,3.2409136856091774e-05,0.4621503583767237
GO:0017004,cytochrome complex assembly,42,2.9332294306618603,0.0,2.5998931131515763,0.0,0.3333363175102839
GO:0006099,tricarboxylic acid cycle,30,2.922308272172743,0.0,2.111491346068592,0.0024065728663859,0.8108169261041511
GO:0071806,protein transmembrane transport,84,2.919410402571668,0.0,2.7268409427733644,0.0,0.19256945979830364
GO:0007006,mitochondrial membrane organization,55,2.8648429423090302,0.0,2.6449917348145964,0.0,0.21985120749443388
GO:0065002,intracellular protein transmembrane transport,77,2.830604527721552,0.0,2.7457870593536686,0.0,0.08481746836788329
GO:0007007,inner mitochondrial membrane organization,29,2.8123960424775336,0.0,2.390820602737206,7.424638625213751e-05,0.4215754397403275
GO:0006886,intracellular protein transport,442,2.7499192899527696,0.0,2.720701342791426,0.0,0.029217947161343627
GO:0009206,purine ribonucleoside triphosphate biosynthetic process,21,2.6953989705939274,0.0,1.6935609091183028,0.0563530071653723,1.0018380614756246
GO:0006605,protein targeting,255,2.691990610500897,0.0,2.6436242985218605,0.0,0.048366311979036514
GO:0043461,proton-transporting ATP synthase complex assembly,11,2.66015415626831,0.0,1.8927219208585997,0.0172540917092486,0.7674322354097105
GO:0033615,mitochondrial proton-transporting ATP synthase complex assembly,11,2.659675536073406,0.0,1.8927219208585997,0.0172540917092486,0.7669536152148064
GO:0009145,purine nucleoside triphosphate biosynthetic process,21,2.634951818166637,0.0,1.7354097935382202,0.0441791178660671,0.8995420246284169
GO:1902600,proton transmembrane transport,80,2.634946230210692,0.0,1.5642456309572497,0.1009083795652586,1.0707005992534424
GO:1990542,mitochondrial transmembrane transport,62,2.629417724092438,0.0,3.1139425468240285,0.0,-0.48452482273159037
