Name,+/-,Score,True Positive,False Positive,True Negative,False Negative,Accuracy,Precision,Recall,False Positive Rate,Selectivity
YLR204W,-1,19.209542971104383,0,1,6076,25,0.9957391019337922,0.0,0.0,0.0001645548790521639,0.9998354451209478
YGR084C,-1,19.176895655691624,0,2,6075,25,0.995575221238938,0.0,0.0,0.0003291097581043278,0.9996708902418957
YJR080C,-1,17.99493922898546,0,3,6074,25,0.9954113405440839,0.0,0.0,0.0004936646371564917,0.9995063353628435
YNL284C,-1,17.71098599326797,0,4,6073,25,0.9952474598492298,0.0,0.0,0.0006582195162086556,0.9993417804837913
YNL315C,-1,17.256468135863543,0,5,6072,25,0.9950835791543756,0.0,0.0,0.0008227743952608195,0.9991772256047392
YJR077C,-1,17.197603010950843,0,6,6071,25,0.9949196984595214,0.0,0.0,0.0009873292743129835,0.999012670725687
YBL030C,-1,17.194930888712406,0,7,6070,25,0.9947558177646674,0.0,0.0,0.0011518841533651473,0.9988481158466348
YMR157C,-1,16.75388741493225,0,8,6069,25,0.9945919370698132,0.0,0.0,0.0013164390324173112,0.9986835609675827
YKL192C,-1,16.56048519629985,0,9,6068,25,0.994428056374959,0.0,0.0,0.001480993911469475,0.9985190060885305
YKL003C,-1,16.514914408064215,0,10,6067,25,0.9942641756801048,0.0,0.0,0.001645548790521639,0.9983544512094784
YDR237W,-1,16.4678476722911,0,11,6066,25,0.9941002949852508,0.0,0.0,0.0018101036695738028,0.9981898963304262
YPL098C,-1,16.303773710969836,0,12,6065,25,0.9939364142903966,0.0,0.0,0.001974658548625967,0.998025341451374
YBR146W,-1,16.219270854257047,0,13,6064,25,0.9937725335955424,0.0,0.0,0.002139213427678131,0.9978607865723219
YMR089C,-1,16.124192754774413,0,14,6063,25,0.9936086529006883,0.0,0.0,0.0023037683067302947,0.9976962316932697
YJR101W,-1,15.904807197046466,0,15,6062,25,0.9934447722058342,0.0,0.0,0.0024683231857824586,0.9975316768142175
YJL143W,-1,15.64680261653848,0,16,6061,25,0.99328089151098,0.0,0.0,0.0026328780648346224,0.9973671219351654
YMR158W,-1,15.509640044445405,0,17,6060,25,0.9931170108161259,0.0,0.0,0.0027974329438867863,0.9972025670561132
YDR298C,-1,15.303666978084948,0,18,6059,25,0.9929531301212717,0.0,0.0,0.00296198782293895,0.997038012177061
YPL118W,-1,15.159485205076635,0,19,6058,25,0.9927892494264176,0.0,0.0,0.003126542701991114,0.9968734572980089
YBL038W,-1,15.154688634354898,0,20,6057,25,0.9926253687315634,0.0,0.0,0.003291097581043278,0.9967089024189567
YGR220C,-1,15.14562527142698,0,21,6056,25,0.9924614880367093,0.0,0.0,0.003455652460095442,0.9965443475399045
YFL036W,-1,15.01596917873644,0,22,6055,25,0.9922976073418551,0.0,0.0,0.0036202073391476057,0.9963797926608524
YHR005C-A,-1,14.98684438653845,0,23,6054,25,0.992133726647001,0.0,0.0,0.0037847622181997696,0.9962152377818002
YOR187W,1,14.938845449461951,1,23,6054,24,0.9922976073418551,0.041666666666666664,0.04,0.0037847622181997696,0.9962152377818002
YKL138C,-1,14.832617884038246,1,24,6053,24,0.992133726647001,0.04,0.04,0.003949317097251934,0.9960506829027481
YGL068W,-1,14.81364763044985,1,25,6052,24,0.9919698459521469,0.038461538461538464,0.04,0.004113871976304097,0.9958861280236959
YOL023W,-1,14.80074083857653,1,26,6051,24,0.9918059652572927,0.037037037037037035,0.04,0.004278426855356262,0.9957215731446437
YEL020W-A,-1,14.741671881638467,1,27,6050,24,0.9916420845624385,0.03571428571428571,0.04,0.004442981734408425,0.9955570182655916
YBR251W,-1,14.674371156841516,1,28,6049,24,0.9914782038675845,0.034482758620689655,0.04,0.004607536613460589,0.9953924633865394
YNL137C,-1,14.652494530077092,1,29,6048,24,0.9913143231727303,0.03333333333333333,0.04,0.004772091492512753,0.9952279085074872
YBR268W,-1,14.625464663920866,1,30,6047,24,0.9911504424778761,0.03225806451612903,0.04,0.004936646371564917,0.9950633536284351
YML025C,-1,14.566009759510052,1,31,6046,24,0.9909865617830219,0.03125,0.04,0.0051012012506170806,0.9948987987493829
YPR020W,-1,14.553921327460557,1,32,6045,24,0.9908226810881678,0.030303030303030304,0.04,0.005265756129669245,0.9947342438703307
YJR045C,-1,14.531806007260457,1,33,6044,24,0.9906588003933137,0.029411764705882353,0.04,0.005430311008721408,0.9945696889912786
YJL096W,-1,14.487149650468382,1,34,6043,24,0.9904949196984595,0.02857142857142857,0.04,0.005594865887773573,0.9944051341122264
YEL050C,-1,14.425165593158454,1,35,6042,24,0.9903310390036054,0.027777777777777776,0.04,0.005759420766825736,0.9942405792331742
YBL099W,-1,14.411145419813693,1,36,6041,24,0.9901671583087512,0.02702702702702703,0.04,0.0059239756458779,0.9940760243541221
YKL137W,-1,14.39727483059255,1,37,6040,24,0.9900032776138971,0.02631578947368421,0.04,0.006088530524930064,0.9939114694750699
YMR203W,-1,14.287782192230225,1,38,6039,24,0.989839396919043,0.02564102564102564,0.04,0.006253085403982228,0.9937469145960178
YDR322W,-1,14.236358276038914,1,39,6038,24,0.9896755162241888,0.025,0.04,0.0064176402830343916,0.9935823597169656
YDR322C-A,-1,14.136218170635402,1,40,6037,24,0.9895116355293346,0.024390243902439025,0.04,0.006582195162086556,0.9934178048379134
YHR092C,-1,13.885981685977157,1,41,6036,24,0.9893477548344805,0.023809523809523808,0.04,0.00674675004113872,0.9932532499588613
YDL045W-A,-1,13.823450139352644,1,42,6035,24,0.9891838741396264,0.023255813953488372,0.04,0.006911304920190884,0.9930886950798091
YNL306W,-1,13.814970039382843,1,43,6034,24,0.9890199934447722,0.022727272727272728,0.04,0.007075859799243048,0.9929241402007569
YHR147C,-1,13.703576529456768,1,44,6033,24,0.988856112749918,0.022222222222222223,0.04,0.007240414678295211,0.9927595853217048
YKR065C,-1,13.688465233484749,1,45,6032,24,0.988692232055064,0.021739130434782608,0.04,0.007404969557347376,0.9925950304426526
YBR185C,-1,13.591676620999351,1,46,6031,24,0.9885283513602098,0.02127659574468085,0.04,0.007569524436399539,0.9924304755636004
YNL081C,-1,13.472748818341643,1,47,6030,24,0.9883644706653556,0.020833333333333332,0.04,0.007734079315451703,0.9922659206845483
YMR228W,-1,13.446519954595715,1,48,6029,24,0.9882005899705014,0.02040816326530612,0.04,0.007898634194503868,0.9921013658054961
YMR024W,-1,13.328092628042214,1,49,6028,24,0.9880367092756474,0.02,0.04,0.008063189073556031,0.9919368109264439
YJR135W-A,-1,13.234619931434281,1,50,6027,24,0.9878728285807932,0.0196078431372549,0.04,0.008227743952608195,0.9917722560473918
YMR267W,-1,13.234396978350333,1,51,6026,24,0.987708947885939,0.019230769230769232,0.04,0.008392298831660358,0.9916077011683396
YLR069C,1,13.15784172900021,2,51,6026,23,0.9878728285807932,0.03773584905660377,0.08,0.008392298831660358,0.9916077011683396
YCR003W,-1,13.154764258448267,2,52,6025,23,0.987708947885939,0.037037037037037035,0.08,0.008556853710712523,0.9914431462892874
YIL051C,-1,13.046229903919977,2,53,6024,23,0.9875450671910849,0.03636363636363636,0.08,0.008721408589764687,0.9912785914102353
YKR042W,-1,12.964060940333638,2,54,6023,23,0.9873811864962307,0.03571428571428571,0.08,0.00888596346881685,0.9911140365311831
YDR493W,-1,12.950565009996353,2,55,6022,23,0.9872173058013766,0.03508771929824561,0.08,0.009050518347869014,0.990949481652131
YIL022W,-1,12.861045954399742,2,56,6021,23,0.9870534251065225,0.034482758620689655,0.08,0.009215073226921179,0.9907849267730788
YEL064C,-1,12.83691589715454,2,57,6020,23,0.9868895444116683,0.03389830508474576,0.08,0.009379628105973342,0.9906203718940266
YOR142W,-1,12.635013739578426,2,58,6019,23,0.9867256637168141,0.03333333333333333,0.08,0.009544182985025506,0.9904558170149745
YOR002W,-1,12.617384130513784,2,59,6018,23,0.98656178302196,0.03278688524590164,0.08,0.009708737864077669,0.9902912621359223
YGR029W,-1,12.483784507596283,2,60,6017,23,0.9863979023271059,0.03225806451612903,0.08,0.009873292743129834,0.9901267072568701
YBR282W,-1,12.440802399047243,2,61,6016,23,0.9862340216322517,0.031746031746031744,0.08,0.010037847622181998,0.989962152377818
YNL243W,-1,12.395229403897929,2,62,6015,23,0.9860701409373975,0.03125,0.08,0.010202402501234161,0.9897975974987658
YBL090W,-1,12.3269054107368,2,63,6014,23,0.9859062602425435,0.03076923076923077,0.08,0.010366957380286326,0.9896330426197136
YPL013C,-1,12.283392454146792,2,64,6013,23,0.9857423795476893,0.030303030303030304,0.08,0.01053151225933849,0.9894684877406615
YOR150W,-1,12.242303056667879,2,65,6012,23,0.9855784988528351,0.029850746268656716,0.08,0.010696067138390653,0.9893039328616093
YLR242C,-1,12.093095742604874,2,66,6011,23,0.985414618157981,0.029411764705882353,0.08,0.010860622017442817,0.9891393779825571
YPR166C,-1,11.956507760781841,2,67,6010,23,0.9852507374631269,0.028985507246376812,0.08,0.011025176896494982,0.988974823103505
YGL220W,-1,11.919511316264138,2,68,6009,23,0.9850868567682727,0.02857142857142857,0.08,0.011189731775547145,0.9888102682244528
YKL210W,-1,11.841599468927598,2,69,6008,23,0.9849229760734185,0.028169014084507043,0.08,0.011354286654599309,0.9886457133454007
YNL177C,-1,11.838978673098609,2,70,6007,23,0.9847590953785644,0.027777777777777776,0.08,0.011518841533651472,0.9884811584663485
YGR254W,-1,11.825274047412677,2,71,6006,23,0.9845952146837103,0.0273972602739726,0.08,0.011683396412703637,0.9883166035872963
YMR134W,-1,11.820782135706395,2,72,6005,23,0.9844313339888561,0.02702702702702703,0.08,0.0118479512917558,0.9881520487082442
YNL327W,-1,11.671714142750716,2,73,6004,23,0.984267453294002,0.02666666666666667,0.08,0.012012506170807964,0.987987493829192
YNR058W,-1,11.665104144485667,2,74,6003,23,0.9841035725991478,0.02631578947368421,0.08,0.012177061049860128,0.9878229389501398
YDR041W,-1,11.647718935848388,2,75,6002,23,0.9839396919042936,0.025974025974025976,0.08,0.012341615928912293,0.9876583840710877
YPL172C,-1,11.647707840923458,2,76,6001,23,0.9837758112094396,0.02564102564102564,0.08,0.012506170807964456,0.9874938291920355
YJR113C,-1,11.630662319250405,2,77,6000,23,0.9836119305145854,0.02531645569620253,0.08,0.01267072568701662,0.9873292743129833
YGL143C,-1,11.585888555469865,2,78,5999,23,0.9834480498197312,0.025,0.08,0.012835280566068783,0.9871647194339312
YLR023C,-1,11.544439485127441,2,79,5998,23,0.983284169124877,0.024691358024691357,0.08,0.012999835445120948,0.987000164554879
YIL093C,-1,11.528572901617736,2,80,5997,23,0.983120288430023,0.024390243902439025,0.08,0.013164390324173112,0.9868356096758268
YKL170W,-1,11.479354852840359,2,81,5996,23,0.9829564077351688,0.024096385542168676,0.08,0.013328945203225275,0.9866710547967747
YJL180C,-1,11.401470212440472,2,82,5995,23,0.9827925270403146,0.023809523809523808,0.08,0.01349350008227744,0.9865064999177225
YMR275C,-1,11.37981015890864,2,83,5994,23,0.9826286463454605,0.023529411764705882,0.08,0.013658054961329604,0.9863419450386703
YGR112W,-1,11.378101187001448,2,84,5993,23,0.9824647656506064,0.023255813953488372,0.08,0.013822609840381767,0.9861773901596183
YKL134C,-1,11.37551637323486,2,85,5992,23,0.9823008849557522,0.022988505747126436,0.08,0.01398716471943393,0.986012835280566
YDR486C,-1,11.36721398251234,2,86,5991,23,0.9821370042608981,0.022727272727272728,0.08,0.014151719598486096,0.985848280401514
YJL052W,-1,11.352367593266536,2,87,5990,23,0.9819731235660439,0.02247191011235955,0.08,0.01431627447753826,0.9856837255224618
YGL129C,-1,11.322394970804453,2,88,5989,23,0.9818092428711898,0.022222222222222223,0.08,0.014480829356590423,0.9855191706434095
YNL108C,-1,11.240655354871706,2,89,5988,23,0.9816453621763356,0.02197802197802198,0.08,0.014645384235642586,0.9853546157643575
YBL022C,-1,11.23069661414047,2,90,5987,23,0.9814814814814815,0.021739130434782608,0.08,0.014809939114694751,0.9851900608853053
YNR037C,-1,11.228834534427733,2,91,5986,23,0.9813176007866273,0.021505376344086023,0.08,0.014974493993746915,0.985025506006253
YKR006C,-1,11.227855447854381,2,92,5985,23,0.9811537200917732,0.02127659574468085,0.08,0.015139048872799078,0.984860951127201
YML009C,-1,11.219956395041663,2,93,5984,23,0.9809898393969191,0.021052631578947368,0.08,0.015303603751851242,0.9846963962481488
YDR517W,-1,11.201439579310772,2,94,5983,23,0.9808259587020649,0.020833333333333332,0.08,0.015468158630903407,0.9845318413690965
YDR316W,-1,11.198927095800173,2,95,5982,23,0.9806620780072107,0.020618556701030927,0.08,0.01563271350995557,0.9843672864900445
YPL084W,-1,11.193392218267604,2,96,5981,23,0.9804981973123567,0.02040816326530612,0.08,0.015797268389007735,0.9842027316109923
YMR193W,-1,11.162201892650046,2,97,5980,23,0.9803343166175025,0.020202020202020204,0.08,0.015961823268059897,0.98403817673194
YMR060C,-1,11.156482108069213,2,98,5979,23,0.9801704359226483,0.02,0.08,0.016126378147112062,0.983873621852888
YLL009C,-1,11.095612943696324,2,99,5978,23,0.9800065552277941,0.019801980198019802,0.08,0.016290933026164224,0.9837090669738358
YKL182W,-1,11.094671477865631,2,100,5977,23,0.97984267453294,0.0196078431372549,0.08,0.01645548790521639,0.9835445120947837
YAL009W,-1,11.089172695428715,2,101,5976,23,0.9796787938380859,0.019417475728155338,0.08,0.016620042784268554,0.9833799572157315
YGL219C,-1,11.05292168196172,2,102,5975,23,0.9795149131432317,0.019230769230769232,0.08,0.016784597663320716,0.9832154023366793
YER055C,-1,11.03519792275015,2,103,5974,23,0.9793510324483776,0.01904761904761905,0.08,0.01694915254237288,0.9830508474576272
YFL039C,-1,11.00892872834811,2,104,5973,23,0.9791871517535234,0.018867924528301886,0.08,0.017113707421425046,0.982886292578575
YJR099W,-1,10.983376066178607,2,105,5972,23,0.9790232710586693,0.018691588785046728,0.08,0.017278262300477208,0.9827217376995228
YIL094C,-1,10.975184877970605,2,106,5971,23,0.9788593903638152,0.018518518518518517,0.08,0.017442817179529373,0.9825571828204707
YDR116C,-1,10.95878741973138,2,107,5970,23,0.978695509668961,0.01834862385321101,0.08,0.01760737205858154,0.9823926279414185
YPL173W,-1,10.955346831597126,2,108,5969,23,0.9785316289741068,0.01818181818181818,0.08,0.0177719269376337,0.9822280730623663
YBL056W,-1,10.920431968107422,2,109,5968,23,0.9783677482792527,0.018018018018018018,0.08,0.017936481816685865,0.9820635181833142
YGR171C,-1,10.914390724385157,2,110,5967,23,0.9782038675843986,0.017857142857142856,0.08,0.018101036695738027,0.981898963304262
YEL013W,-1,10.911868824347039,2,111,5966,23,0.9780399868895444,0.017699115044247787,0.08,0.018265591574790192,0.9817344084252098
YMR002W,-1,10.905610265674497,2,112,5965,23,0.9778761061946902,0.017543859649122806,0.08,0.018430146453842357,0.9815698535461577
YAR003W,-1,10.902178953068383,2,113,5964,23,0.9777122254998362,0.017391304347826087,0.08,0.01859470133289452,0.9814052986671055
YBR262C,-1,10.879476454894757,2,114,5963,23,0.977548344804982,0.017241379310344827,0.08,0.018759256211946684,0.9812407437880534
YPL115C,-1,10.86229657761578,2,115,5962,23,0.9773844641101278,0.017094017094017096,0.08,0.01892381109099885,0.9810761889090012
YMR098C,-1,10.853961815242656,2,116,5961,23,0.9772205834152737,0.01694915254237288,0.08,0.01908836597005101,0.980911634029949
YPL078C,-1,10.816933456575043,2,117,5960,23,0.9770567027204196,0.01680672268907563,0.08,0.019252920849103176,0.9807470791508969
YLR390W-A,-1,10.801139491764182,2,118,5959,23,0.9768928220255654,0.016666666666666666,0.08,0.019417475728155338,0.9805825242718447
YDR494W,-1,10.724356183302007,2,119,5958,23,0.9767289413307112,0.01652892561983471,0.08,0.019582030607207503,0.9804179693927925
