Batch,Training Loss,Testing Loss,Learning Rate
0,0.0,-0.0,1e-05
100,19.537442050874233,24.456390738487244,1e-05
200,17.92088884115219,24.22429621219635,1e-05
300,17.09530681371689,16.369765996932983,1e-05
400,18.243212513625622,8.117807656526566,1e-05
500,19.936681136488914,14.76840078830719,1e-05
600,19.73520388454199,40.05729258060455,1e-05
700,18.29348484426737,14.570115506649017,1e-05
800,21.407149218022823,16.458232700824738,1e-05
900,19.0268267467618,7.498907297849655,1e-05
1000,19.054268196225166,23.395100235939026,1e-05
1100,19.893434315919876,41.253894567489624,1e-05
1200,18.721414148807526,23.550449311733246,1e-05
1300,17.916820101439953,23.9205539226532,1e-05
1400,18.785116232931614,23.344944417476654,1e-05
1500,18.302414186298847,14.606718719005585,1e-05
1600,18.985593236982822,15.457141399383545,1e-05
1700,17.55665384978056,15.47132134437561,1e-05
1800,18.823488406836987,16.57336801290512,1e-05
1900,16.978330343961716,8.232147991657257,1e-05
2000,17.68112573772669,14.87211287021637,1e-05
2100,18.641782768070698,15.814809501171112,1e-05
2200,19.849833995103836,28.747671842575073,1e-05
2300,17.95972763746977,31.89641237258911,1e-05
2400,20.899927027523518,24.866777658462524,1e-05
2500,17.83297573775053,-0.0,1e-05
2600,20.06783837080002,-0.0,1e-05
2700,19.43296030163765,24.632209539413452,1e-05
2800,19.662972055375576,15.53758680820465,1e-05
2900,18.469723284244537,16.032002866268158,1e-05
3000,18.212381221354008,-0.0,1e-05
3100,19.056285608559847,31.160029768943787,1e-05
3200,17.904720723628998,32.105255126953125,1e-05
3300,18.768140256404877,33.44922661781311,1e-05
3400,19.22143443673849,14.455467462539673,1e-05
3500,16.854028299450874,51.641684770584106,1e-05
3600,16.46823265403509,8.060763031244278,1e-05
3700,21.060799449682236,33.1434428691864,1e-05
3800,20.903772316873074,15.732510387897491,1e-05
3900,19.221198178827763,16.14554226398468,1e-05
4000,19.232966147363186,22.492721676826477,1e-05
4100,17.88142256438732,16.675648093223572,1e-05
4200,18.09644002467394,8.83583128452301,1e-05
4300,18.252809680998325,7.537950575351715,1e-05
4400,17.86359614133835,7.957187294960022,1e-05
4500,19.379787929356098,32.353195548057556,1e-05
4600,20.10017714649439,31.795534491539,1e-05
4700,18.012665510177612,7.77246356010437,1e-05
4800,19.38734084367752,24.259981513023376,1e-05
4900,19.980739176273346,37.838736176490784,1e-05
5000,17.848157323896885,16.757945716381073,1e-05
5100,17.97297392040491,32.17840492725372,1e-05
5200,18.067200176417828,15.6743124127388,1e-05
5300,17.080224476754665,23.041385412216187,1e-05
5400,16.108087420463562,7.963884621858597,1e-05
5500,17.446477368474007,32.20524489879608,1e-05
5600,19.89858414232731,15.461769700050354,1e-05
5700,19.613968521356583,8.204497396945953,1e-05
5800,19.9178406894207,-0.0,1e-05
5900,19.08476074784994,30.726444721221924,1e-05
6000,20.472728945314884,46.94007635116577,1e-05
6100,20.71626502275467,7.547564059495926,1e-05
6200,20.770377963781357,16.335609555244446,1e-05
6300,17.890054762363434,16.098736226558685,1e-05
6400,18.91965290158987,7.834743708372116,1e-05
6500,19.853058457374573,31.33711814880371,1e-05
6600,17.744595110416412,23.842519521713257,1e-05
6700,18.01762532442808,22.578847408294678,1e-05
6800,19.286311462521553,8.084995299577713,1e-05
6900,21.11667687445879,32.44233429431915,1e-05
7000,17.762863121926785,22.674980759620667,1e-05
7100,18.47057246416807,8.21300819516182,1e-05
