Name,Fold,Labels GO:0000054,Score GO:0000054,Labels GO:0000278,Score GO:0000278
YFR028C YML085C,NA,0.0,0.07300347,1.0,0.29748404
YFR028C YKR083C,NA,0.0,-0.34773698,1.0,0.2634505
YFR028C YFL037W,NA,0.0,-0.31467128,1.0,0.23339687
YFR028C YAL034W-A,NA,0.0,-0.41574293,1.0,0.26638418
YFR028C YDR328C,NA,0.0,-0.47128925,1.0,0.28658757
YFR028C YHR172W,NA,0.0,-0.17982143,1.0,0.30838087
YFR028C YGR053C,NA,0.0,-0.419482,1.0,0.27377018
YFR028C YPR135W,NA,0.0,-0.36728266,1.0,0.21963362
YML085C YKR083C,NA,0.0,-0.077076375,1.0,0.22678338
YML085C YFL037W,NA,0.0,-0.12706691,1.0,0.26718926
YML085C YAL034W-A,NA,0.0,-0.76244974,1.0,0.24258888
YML085C YDR328C,NA,0.0,-0.35148925,1.0,0.21978463
YML085C YHR172W,NA,0.0,-0.36948153,1.0,0.22229546
YML085C YGR053C,NA,0.0,-0.5547099,1.0,0.2337646
YML085C YPR135W,NA,0.0,-0.050501943,1.0,0.1221827
YKR083C YFL037W,NA,0.0,-0.368264,1.0,0.25861385
YKR083C YAL034W-A,NA,0.0,-0.5103736,1.0,0.22991925
YKR083C YDR328C,NA,0.0,-0.41404763,1.0,0.23970859
YKR083C YHR172W,NA,0.0,-0.37508747,1.0,0.21850936
YKR083C YGR053C,NA,0.0,-0.4120299,1.0,0.21086709
YKR083C YPR135W,NA,0.0,-0.39731777,1.0,0.23008867
YFL037W YAL034W-A,NA,0.0,-0.49656698,1.0,0.2548157
YFL037W YDR328C,NA,0.0,-0.4807156,1.0,0.21891627
YFL037W YHR172W,NA,0.0,-0.42875782,1.0,0.24041238
YFL037W YGR053C,NA,0.0,-0.44057167,1.0,0.22429813
YFL037W YPR135W,NA,0.0,-0.3735251,1.0,0.21957393
YAL034W-A YDR328C,NA,0.0,-0.2417378,1.0,0.24995776
YAL034W-A YHR172W,NA,0.0,-0.73060036,1.0,0.26227614
YAL034W-A YGR053C,NA,0.0,-0.4853735,1.0,0.2328662
YAL034W-A YPR135W,NA,0.0,-0.6239017,1.0,0.24090612
YDR328C YHR172W,NA,0.0,-0.6157431,1.0,0.21725787
YDR328C YGR053C,NA,0.0,-0.26211002,1.0,0.16116787
YDR328C YPR135W,NA,0.0,-0.54751563,1.0,0.24986772
YHR172W YGR053C,NA,0.0,-0.57615834,1.0,0.19996423
YHR172W YPR135W,NA,0.0,-0.14189485,1.0,0.13193531
YGR053C YPR135W,NA,0.0,-0.65973073,1.0,0.20938343
