Name,Fold,Labels GO:0000054,Score GO:0000054,Labels GO:0000278,Score GO:0000278
YNL262W YLR212C,NA,0.0,-3.2095637,1.0,3.319758
YNL262W YOR315W,NA,0.0,-1.3799365,1.0,1.3059139
YNL262W YLR272C,NA,0.0,-3.6523807,1.0,3.1823711
YNL262W YBL009W,NA,0.0,-3.7995396,1.0,3.9490466
YNL262W YML085C,NA,0.0,-2.1469088,1.0,2.3763912
YNL262W YPL093W,NA,0.0,-0.7611004,0.0,1.0389723
YNL262W YMR001C,NA,0.0,-3.4735315,1.0,3.4491167
YNL262W YPR016C,NA,0.0,-1.5111784,0.0,1.8005195
YLR212C YOR315W,NA,0.0,-2.114255,1.0,2.3721175
YLR212C YLR272C,NA,0.0,-3.1814811,1.0,3.5377564
YLR212C YBL009W,NA,0.0,-2.17323,1.0,2.5698814
YLR212C YML085C,NA,0.0,-1.552715,1.0,1.2556545
YLR212C YPL093W,NA,0.0,-0.81468177,0.0,1.0564113
YLR212C YMR001C,NA,0.0,-1.8850799,1.0,1.9994752
YLR212C YPR016C,NA,0.0,-1.9062164,0.0,2.04666
YOR315W YLR272C,NA,0.0,-2.658065,1.0,2.437068
YOR315W YBL009W,NA,0.0,-1.6224935,1.0,1.2500539
YOR315W YML085C,NA,0.0,-0.38844097,1.0,1.0604724
YOR315W YPL093W,NA,0.0,-0.13439807,0.0,0.46320766
YOR315W YMR001C,NA,0.0,-1.5469774,1.0,2.0260139
YOR315W YPR016C,NA,0.0,-0.6349323,0.0,0.9593944
YLR272C YBL009W,NA,0.0,-2.0718498,1.0,2.0804863
YLR272C YML085C,NA,0.0,-3.206561,1.0,3.3993945
YLR272C YPL093W,NA,0.0,-0.5511469,0.0,0.5768479
YLR272C YMR001C,NA,0.0,-3.6466982,1.0,3.876204
YLR272C YPR016C,NA,0.0,-0.15446058,0.0,-0.007823467
YBL009W YML085C,NA,0.0,-2.7424822,1.0,2.6453342
YBL009W YPL093W,NA,0.0,-0.29597542,0.0,0.30859745
YBL009W YMR001C,NA,0.0,-2.3516684,1.0,2.6298385
YBL009W YPR016C,NA,0.0,0.4752622,0.0,-0.22290087
YML085C YPL093W,NA,0.0,-0.15191504,0.0,0.062030435
YML085C YMR001C,NA,0.0,-1.1626278,1.0,1.046159
YML085C YPR016C,NA,0.0,-0.30772886,0.0,0.5105928
YPL093W YMR001C,NA,0.0,-0.45664635,0.0,1.3026658
YPL093W YPR016C,NA,1.0,-1.0139815,0.0,0.4104892
YMR001C YPR016C,NA,0.0,0.09310481,0.0,0.23220003
