GO Term,Test AUC,Train AUC,Test Average Precision,Train Average Precision
GO:0000054,0.8875743555838059,0.9388204698368305,0.25773651683273013,0.295705107820905
GO:0000278,0.6909780905712767,0.8712836590718414,0.16164502016200932,0.25118616436794394
GO:0000747,0.6490180986991335,0.8551075465195834,0.15595390272279322,0.2463754879818721
GO:0000902,0.6026909322227902,0.8341575912183775,0.12700683519362724,0.23070753638022998
GO:0000910,0.631455310062399,0.8736165240987479,0.13879212808185942,0.25318254147097463
GO:0001403,0.5971991353033645,0.8629769653599585,0.13755350497168978,0.24724176977951598
GO:0003700,0.7424110955886497,0.8586714465729164,0.17720953766272785,0.24261114418368934
GO:0004518,0.8073387427113777,0.8970184773586966,0.23141984364641527,0.2655160387087274
GO:0005085,0.7093344814822156,0.8272270672315366,0.16730328189175747,0.22271128971281862
GO:0006260,0.7640102638670694,0.8976817512502364,0.2062777995082175,0.27139312549291006
GO:0006281,0.6985995847596183,0.8670774317634482,0.15896221649127748,0.24796887751584024
GO:0006310,0.6684667714264825,0.8544927505576132,0.15644308951366476,0.24470461811193006
GO:0006325,0.7050002951800177,0.8792392739907637,0.16403819465857333,0.25411264467933636
GO:0006352,0.7653773601849756,0.9113816613723634,0.18937195503576584,0.27600451638841816
GO:0006353,0.7195807578181244,0.8176324794395045,0.17887477303826896,0.21179309792980863
GO:0006360,0.8417580026606417,0.9137345507274569,0.24191166970376218,0.2788663021657929
GO:0006364,0.904232215434496,0.9527327751125823,0.2828629097574824,0.3074948582676324
GO:0006366,0.6563286140012127,0.8458901371547254,0.14553526958586135,0.23600486214949998
GO:0006383,0.7531455554806354,0.8640361478475915,0.19400977301546235,0.25361441007034957
GO:0006397,0.7304042740418748,0.8889947508081254,0.179159192955036,0.26428196535276416
GO:0006401,0.6893045890923699,0.8679432505837441,0.1687807160922617,0.25419141963970926
GO:0006413,0.8562394169819668,0.9174599032711739,0.2523345643359418,0.28908783300940377
GO:0006414,0.8578030285340819,0.9336092464022612,0.2568270321766084,0.2965720828102801
GO:0006418,0.900031784266599,0.9309301962834531,0.27692796734240965,0.294523069515231
GO:0006457,0.7096697189603651,0.8570444093242985,0.18894902744084802,0.25438544838604604
GO:0006468,0.6299119635985648,0.8228654552468057,0.1361615683267757,0.2235133347926153
GO:0006470,0.5621756882335208,0.7328917588813669,0.13240560379072827,0.18936714271794863
GO:0006486,0.7957421277945202,0.898184227280795,0.22576080002661236,0.2753479053511877
GO:0006497,0.6685435573833775,0.8734559853107339,0.1667151578813087,0.2554569450833444
GO:0006605,0.6214544086271278,0.8635923862708839,0.133945294490592,0.2497892882553014
GO:0006629,0.6901032047210769,0.8727478865367805,0.17215948781963775,0.255698168254034
GO:0006766,0.7154324475810467,0.8649466591475594,0.1771394695361964,0.2540463315898722
GO:0006811,0.769974110346125,0.8874543409370923,0.20440257460522918,0.26614468008449127
