Gene,Label,Annos,Score,Background Score,Num pos pairs,Precision,Recall,False Positive Rate
YEL050C,-1,-/-,-313.76232731342316,-15686.727678630501,106,0.0,0.0,0.0002828854314002829
YKL192C,-1,-/-,-317.3344261646271,-14962.758325330913,106,0.0,0.0,0.0005657708628005657
YGR220C,-1,-/-,-319.70578268915415,-15865.373091038316,106,0.0,0.0,0.0008486562942008486
YBL090W,-1,-/-,-320.0173855870962,-15786.175379734486,106,0.0,0.0,0.0011315417256011315
YPR100W,-1,-/+,-320.35336607694626,-15375.157294414937,106,0.0,0.0,0.0014144271570014145
YMR267W,-1,-/-,-329.0790191292763,-15731.676097631454,106,0.0,0.0,0.0016973125884016972
YDL004W,-1,-/-,-330.21149499714375,-15644.100194625556,106,0.0,0.0,0.0019801980198019802
YML078W,-1,-/-,-335.18560467660427,-15788.066542834044,106,0.0,0.0,0.002263083451202263
YBR221C,-1,-/-,-338.3433100581169,-15472.537532955408,106,0.0,0.0,0.002545968882602546
YKR065C,-1,-/+,-340.28582459688187,-15984.061481166631,106,0.0,0.0,0.002828854314002829
YGR181W,1,+/+,-340.3436504602432,-15628.297427386045,105,0.09090909090909091,0.009433962264150943,0.002828854314002829
YOR150W,-1,-/-,-344.52506919950247,-16916.013284590095,106,0.08333333333333333,0.009433962264150943,0.0031117397454031117
YJR080C,0,0/+,-350.76257825270295,-28309.686195052695,424,0.08333333333333333,0.009433962264150943,0.0031117397454031117
YLR204W,0,0/-,-357.9250454902649,-27416.71801332617,424,0.08333333333333333,0.009433962264150943,0.0031117397454031117
YDR322C-A,-1,-/+,-358.52534011006355,-16598.50801473856,106,0.07692307692307693,0.009433962264150943,0.0033946251768033945
YJR135W-A,1,+/+,-360.8626515865326,-15964.919363707304,105,0.14285714285714285,0.018867924528301886,0.0033946251768033945
YOR286W,0,0/0,-360.942883182317,-28056.892386041116,424,0.14285714285714285,0.018867924528301886,0.0033946251768033945
YHR038W,-1,-/-,-361.6068034172058,-16618.806813806295,106,0.13333333333333333,0.018867924528301886,0.0036775106082036777
YLR312W-A,0,0/-,-364.8122565224767,-28001.222512258682,424,0.13333333333333333,0.018867924528301886,0.0036775106082036777
YPL098C,1,+/+,-365.43313229084015,-16639.044871389866,105,0.1875,0.02830188679245283,0.0036775106082036777
YLR163C,-1,-/+,-367.1203530728817,-17634.05407705903,106,0.17647058823529413,0.02830188679245283,0.0039603960396039604
YJL180C,0,0/+,-368.1486526634544,-28490.673199941404,424,0.17647058823529413,0.02830188679245283,0.0039603960396039604
YOR187W,-1,-/-,-369.8418173491955,-16926.912148714066,106,0.16666666666666666,0.02830188679245283,0.004243281471004243
YDR276C,-1,-/-,-370.13711285591125,-16390.36734959483,106,0.15789473684210525,0.02830188679245283,0.004526166902404526
YCR003W,0,0/-,-370.53899343311787,-29085.532175357454,424,0.15789473684210525,0.02830188679245283,0.004526166902404526
YGL129C,-1,-/-,-370.5406685769558,-17109.387682408094,106,0.15,0.02830188679245283,0.004809052333804809
YJR045C,-1,-/+,-370.9325584769249,-16136.017754167318,106,0.14285714285714285,0.02830188679245283,0.005091937765205092
YGR076C,0,0/-,-371.49948849435896,-28669.458959231153,424,0.14285714285714285,0.02830188679245283,0.005091937765205092
YMR157C,0,0/0,-371.5954515589401,-28472.04547951091,424,0.14285714285714285,0.02830188679245283,0.005091937765205092
YOR045W,-1,-/+,-371.95961090922356,-16817.511892732233,106,0.13636363636363635,0.02830188679245283,0.005374823196605375
YFL018C,-1,-/-,-372.0875941514969,-17417.12068902701,106,0.13043478260869565,0.02830188679245283,0.005657708628005658
YPR166C,0,0/-,-372.35793904960155,-28570.195384052582,424,0.13043478260869565,0.02830188679245283,0.005657708628005658
YML048W,-1,-/-,-373.0633462667465,-16793.480927973986,106,0.125,0.02830188679245283,0.005940594059405941
YLR295C,-1,-/+,-373.3369910120964,-16051.635126765817,106,0.12,0.02830188679245283,0.006223479490806223
YCR071C,-1,-/-,-373.41227889060974,-17001.569463133812,106,0.11538461538461539,0.02830188679245283,0.006506364922206506
YCR028C-A,1,+/+,-373.6557717323303,-16388.19960129261,105,0.14814814814814814,0.03773584905660377,0.006506364922206506
