Gene,+/0/-,430Net rank,PIXIE rank,Difference (430Net-PIXIE),Absoulte Difference
YER153C,0,4213,109,4104,4104
YBL013W,-1,4247,321,3926,3926
YHR189W,-1,4040,150,3890,3890
YJR047C,-1,4151,276,3875,3875
YNL330C,-1,217,4083,-3866,3866
YBL005W,-1,3913,85,3828,3828
YGR049W,-1,4111,293,3818,3818
YNL106C,-1,3827,37,3790,3790
YPL033C,-1,4761,1007,3754,3754
YDL109C,-1,4029,278,3751,3751
YNL322C,-1,3784,33,3751,3751
YJR053W,-1,4101,360,3741,3741
YLR116W,-1,4089,355,3734,3734
YAL013W,-1,4044,315,3729,3729
YMR105C,-1,419,4147,-3728,3728
YJL164C,-1,315,4040,-3725,3725
YOR181W,-1,3726,3,3723,3723
YGR006W,-1,4016,297,3719,3719
YMR063W,-1,4015,305,3710,3710
YLR234W,-1,4241,539,3702,3702
YGL070C,-1,438,4120,-3682,3682
YCL035C,-1,236,3915,-3679,3679
YLR245C,-1,4017,351,3666,3666
YFL014W,-1,429,4041,-3612,3612
YOR083W,-1,3895,295,3600,3600
YOR120W,-1,283,3839,-3556,3556
YCL008C,-1,3935,384,3551,3551
YPL256C,-1,555,4098,-3543,3543
YBL093C,-1,3977,436,3541,3541
YDR310C,-1,3753,219,3534,3534
YPL154C,-1,221,3753,-3532,3532
YER012W,-1,295,3824,-3529,3529
YMR303C,-1,3724,214,3510,3510
YLR121C,-1,3955,459,3496,3496
YDR488C,-1,3886,390,3496,3496
YKL014C,-1,600,4093,-3493,3493
YLR409C,-1,666,4156,-3490,3490
YGL168W,-1,4010,527,3483,3483
YKL143W,-1,711,4188,-3477,3477
YBR020W,-1,3826,352,3474,3474
YPR164W,-1,4139,681,3458,3458
YIL111W,-1,3700,245,3455,3455
YGR248W,-1,332,3773,-3441,3441
YBR244W,-1,3775,371,3404,3404
YLR175W,-1,756,4153,-3397,3397
YBL106C,-1,3889,494,3395,3395
YIR015W,-1,3730,335,3395,3395
YGL048C,-1,288,3676,-3388,3388
YMR311C,-1,423,3808,-3385,3385
YOL091W,-1,4020,637,3383,3383
YGL037C,-1,439,3809,-3370,3370
YHR039C,-1,3678,319,3359,3359
YOL067C,-1,3701,345,3356,3356
Q0250,-1,4326,971,3355,3355
YHR089C,-1,593,3948,-3355,3355
YLL038C,-1,3652,298,3354,3354
YER126C,-1,833,4187,-3354,3354
YLR056W,-1,3505,156,3349,3349
YGR060W,-1,3714,374,3340,3340
YKL029C,-1,3441,101,3340,3340
YML080W,-1,546,3886,-3340,3340
YBL046W,-1,3568,229,3339,3339
YLR178C,-1,173,3505,-3332,3332
YML111W,-1,3603,279,3324,3324
YER132C,-1,3853,531,3322,3322
YLR182W,-1,753,4068,-3315,3315
YBR073W,-1,3771,470,3301,3301
YPL098C,1,84,3381,-3297,3297
YLR194C,-1,4144,854,3290,3290
YDL113C,-1,570,3853,-3283,3283
YLL012W,-1,3615,334,3281,3281
YLL036C,-1,919,4198,-3279,3279
YPR023C,-1,174,3450,-3276,3276
YLL008W,-1,713,3983,-3270,3270
YMR065W,-1,587,3854,-3267,3267
YMR166C,-1,3335,68,3267,3267
YLR092W,-1,3878,615,3263,3263
YDR449C,-1,742,4000,-3258,3258
YDR100W,-1,293,3542,-3249,3249
YDR156W,-1,3907,659,3248,3248
YLR335W,-1,757,4004,-3247,3247
YGL100W,-1,323,3568,-3245,3245
YLR025W,-1,527,3770,-3243,3243
YGR090W,-1,857,4096,-3239,3239
YNL160W,-1,474,3706,-3232,3232
YER019W,-1,3984,752,3232,3232
YKR061W,-1,4122,893,3229,3229
YNR023W,-1,262,3491,-3229,3229
YPR156C,-1,4379,1152,3227,3227
YFL054C,-1,3882,655,3227,3227
YKL055C,-1,3972,747,3225,3225
YOL062C,-1,137,3350,-3213,3213
YIR038C,-1,701,3910,-3209,3209
YGL246C,-1,521,3727,-3206,3206
