Gene,+/0/-,430Net rank,MEFIT rank,Difference (430Net-MEFIT),Absoulte Difference
YDL136W,-1,4056,110,3946,3946
YNL044W,-1,3879,30,3849,3849
YDL184C,-1,4042,243,3799,3799
YBR181C,-1,3992,249,3743,3743
YBR009C,-1,3865,133,3732,3732
YDR447C,-1,3923,202,3721,3721
YOL121C,-1,4074,384,3690,3690
YDR276C,-1,3703,73,3630,3630
YER131W,-1,3842,223,3619,3619
YER042W,-1,3712,94,3618,3618
YDR025W,-1,4133,521,3612,3612
YER117W,-1,3960,375,3585,3585
YGR034W,-1,3900,317,3583,3583
YGL135W,-1,3849,270,3579,3579
YGR075C,-1,3677,135,3542,3542
YNL244C,-1,3718,181,3537,3537
YJL189W,-1,3861,325,3536,3536
YBR084C-A,-1,3810,299,3511,3511
YER056C-A,-1,3586,86,3500,3500
YDR179C,-1,4041,569,3472,3472
YOR182C,-1,3820,393,3427,3427
YDR450W,-1,3958,535,3423,3423
YOR096W,-1,3588,171,3417,3417
YHR141C,-1,3786,389,3397,3397
YLR254C,-1,3522,167,3355,3355
YHR010W,-1,3758,413,3345,3345
YFR036W,-1,4059,752,3307,3307
YOR312C,-1,3838,534,3304,3304
YHR181W,-1,3397,124,3273,3273
YKL001C,-1,4026,758,3268,3268
YNR010W,-1,3834,568,3266,3266
YOL060C,1,101,3365,-3264,3264
YOL109W,-1,3952,705,3247,3247
YDR073W,-1,3548,307,3241,3241
YLR007W,-1,3744,515,3229,3229
YMR123W,-1,3560,343,3217,3217
YOL127W,-1,3314,100,3214,3214
YMR303C,-1,3724,514,3210,3210
YGR030C,-1,3390,182,3208,3208
YLR406C,-1,3694,500,3194,3194
YLR355C,1,40,3232,-3192,3192
YJL177W,-1,3381,208,3173,3173
YOR021C,-1,3320,151,3169,3169
YOR123C,-1,3661,496,3165,3165
YOR293W,-1,3283,140,3143,3143
YDL083C,-1,3597,455,3142,3142
YER115C,-1,3942,807,3135,3135
YOR167C,-1,3253,130,3123,3123
YML024W,-1,3300,178,3122,3122
YOR327C,-1,3341,219,3122,3122
YPL079W,-1,3592,473,3119,3119
YLR061W,-1,3455,342,3113,3113
YPR132W,-1,3227,120,3107,3107
YEL060C,-1,240,3331,-3091,3091
YJL065C,-1,3828,743,3085,3085
YDR382W,-1,3539,465,3074,3074
YBR191W,-1,3519,449,3070,3070
YJL026W,-1,3978,929,3049,3049
YNL302C,-1,3255,214,3041,3041
YDL061C,-1,3178,138,3040,3040
YLR287C-A,-1,3492,460,3032,3032
YPL198W,-1,3356,331,3025,3025
YLR388W,-1,3161,161,3000,3000
YPL037C,-1,3090,90,3000,3000
YDR196C,-1,3225,225,3000,3000
YMR298W,-1,3399,402,2997,2997
YAL003W,-1,4081,1085,2996,2996
YMR312W,-1,3691,700,2991,2991
YPR094W,-1,3315,335,2980,2980
YPL123C,-1,373,3352,-2979,2979
YOL086C,-1,3802,833,2969,2969
YDR500C,-1,3235,277,2958,2958
YPR011C,-1,3123,165,2958,2958
YKL006W,-1,3380,426,2954,2954
YOR058C,-1,450,3397,-2947,2947
YBR126C,-1,126,3068,-2942,2942
YHR153C,-1,3770,839,2931,2931
YPR026W,-1,311,3226,-2915,2915
YMR138W,-1,3610,703,2907,2907
YLR325C,-1,3239,338,2901,2901
YNL067W,-1,3040,155,2885,2885
YDR001C,-1,279,3163,-2884,2884
YKL152C,-1,3617,736,2881,2881
YJL191W,-1,3497,619,2878,2878
YKR059W,-1,3831,955,2876,2876
YNL127W,-1,434,3309,-2875,2875
YML026C,-1,3105,230,2875,2875
YPL149W,-1,3624,750,2874,2874
YCL050C,-1,3613,740,2873,2873
YDR007W,-1,3909,1036,2873,2873
YKR083C,-1,3511,639,2872,2872
YDR471W,-1,3097,229,2868,2868
YBR244W,-1,3775,922,2853,2853
YLL042C,-1,3274,422,2852,2852
YIL069C,-1,4085,1234,2851,2851
YFR024C-A,-1,457,3307,-2850,2850
YLR301W,-1,4035,1185,2850,2850
YNL130C,-1,3437,591,2846,2846
YMR099C,-1,2905,61,2844,2844
YML070W,-1,246,3086,-2840,2840
YAL055W,-1,3478,645,2833,2833
YLR441C,-1,3223,394,2829,2829
YHR138C,-1,3924,1095,2829,2829
YDR139C,-1,3174,349,2825,2825
YLR240W,-1,477,3300,-2823,2823
YIR011C,-1,3581,763,2818,2818
YBR202W,-1,516,3334,-2818,2818
YER102W,-1,3467,653,2814,2814
YJL190C,-1,2987,173,2814,2814
YOR279C,-1,3407,594,2813,2813
YLR174W,-1,393,3205,-2812,2812
YPL090C,-1,2907,95,2812,2812
YGL035C,-1,3686,878,2808,2808
YOL120C,-1,3020,221,2799,2799
YGL005C,-1,3147,350,2797,2797
YJR094W-A,-1,2966,170,2796,2796
YDR167W,-1,3303,508,2795,2795
YCR031C,-1,3432,640,2792,2792
YMR230W,-1,3764,972,2792,2792
YDL130W,-1,3210,419,2791,2791
YBL036C,-1,2975,185,2790,2790
YPR062W,-1,3058,274,2784,2784
YOL039W,-1,3530,755,2775,2775
