Gene,+/0/-,430Net rank,PIXIE rank,Difference (430Net-PIXIE),Absoulte Difference
YML091C,1,17,197,-180,180
YOR037W,1,18,185,-167,167
YMR241W,1,59,194,-135,135
YLR368W,1,58,192,-134,134
YNL037C,-1,182,53,129,129
YOR136W,-1,184,55,129,129
YJL063C,1,10,135,-125,125
YPR140W,1,42,164,-122,122
YKL007W,-1,142,23,119,119
YDR219C,1,27,144,-117,117
YKR085C,1,5,119,-114,114
YNL310C,1,71,175,-104,104
YOR147W,1,126,28,98,98
YKL192C,-1,143,49,94,94
YKR042W,1,38,121,-83,83
YJR065C,1,85,4,81,81
YCR028C-A,1,2,73,-71,71
YEL020W-A,1,79,10,69,69
YIL065C,1,25,93,-68,68
YJL054W,1,88,20,68,68
YDR150W,1,157,90,67,67
YLR370C,1,76,12,64,64
YIR021W,-1,138,78,60,60
YBR234C,1,77,19,58,58
YPR024W,1,78,24,54,54
YPL029W,-1,130,77,53,53
YJR135W-A,1,1,54,-53,53
YDL029W,1,54,3,51,51
YER141W,-1,152,101,51,51
YLR382C,-1,121,71,50,50
YNR035C,1,57,8,49,49
YHR005C-A,1,82,33,49,49
YJL112W,1,68,21,47,47
YMR275C,1,63,110,-47,47
YHR194W,1,29,74,-45,45
YOR211C,1,15,59,-44,44
YLL001W,1,52,9,43,43
YGL143C,0,94,51,43,43
YKL013C,1,50,7,43,43
YBR185C,1,3,45,-42,42
YIL062C,1,46,6,40,40
YBR091C,1,56,16,40,40
YER154W,1,30,68,-38,38
YLR069C,0,86,48,38,38
YML078W,-1,104,142,-38,38
YNL079C,1,62,25,37,37
YPR047W,0,107,72,35,35
YPL097W,0,87,52,35,35
YFL016C,-1,101,134,-33,33
YBR179C,1,43,11,32,32
YPL104W,0,99,69,30,30
YOL009C,1,55,31,24,24
YNL073W,0,113,92,21,21
YBR280C,-1,200,179,21,21
YNL070W,1,90,70,20,20
YPL270W,-1,162,181,-19,19
YMR060C,1,60,41,19,19
YGR101W,1,48,63,-15,15
YLR390W,-1,106,91,15,15
YMR064W,-1,179,166,13,13
YFL039C,1,74,62,12,12
YOL033W,0,95,106,-11,11
YGL219C,1,65,76,-11,11
YDR296W,1,81,89,-8,8
YGR181W,1,22,29,-7,7
YFL018C,-1,102,95,7,7
YBR120C,0,93,99,-6,6
YDL217C,1,67,61,6,6
YPR125W,1,24,30,-6,6
YOR354C,-1,89,83,6,6
YDR376W,-1,154,160,-6,6
YNL121C,1,47,43,4,4
YOL023W,0,92,88,4,4
YMR302C,1,45,42,3,3
YOR266W,1,84,82,2,2
