Gene,+/0/-,430Net rank,SPELL rank,Difference (430Net-SPELL),Absoulte Difference
YJR135W-A,1,2,4167,-4165,4165
YCR028C-A,1,3,4140,-4137,4137
YKL053C-A,1,5,4122,-4117,4117
YEL020W-A,1,80,4144,-4064,4064
YER048W-A,-1,251,4148,-3897,3897
YGR144W,1,7,3866,-3859,3859
YGL055W,1,27,3873,-3846,3846
YIL017C,-1,350,4158,-3808,3808
YHR005C-A,1,83,3773,-3690,3690
YOL052C-A,-1,508,4163,-3655,3655
YLR355C,1,40,3650,-3610,3610
YDR077W,1,243,3784,-3541,3541
YBR058C-A,-1,670,4168,-3498,3498
YMR169C,-1,269,3695,-3426,3426
YNL219C,-1,3961,583,3378,3378
YKL143W,-1,711,4057,-3346,3346
YPL223C,-1,681,4017,-3336,3336
YKR035W-A,-1,825,4146,-3321,3321
YCR020C,1,52,3308,-3256,3256
YLR224W,-1,3832,578,3254,3254
YLR175W,-1,756,4004,-3248,3248
YJL065C,-1,3828,581,3247,3247
YDR054C,-1,3458,256,3202,3202
YLR426W,-1,3860,661,3199,3199
YKL078W,-1,803,3990,-3187,3187
YLR301W,-1,4035,873,3162,3162
YLR262C-A,-1,990,4151,-3161,3161
YHL024W,-1,420,3574,-3154,3154
YMR216C,-1,3722,579,3143,3143
YOL068C,-1,3541,403,3138,3138
YNR055C,-1,3690,582,3108,3108
YML051W,-1,3457,351,3106,3106
YPR011C,-1,3123,29,3094,3094
YPL053C,-1,3373,305,3068,3068
YHR089C,-1,593,3658,-3065,3065
YJL062W,-1,3277,217,3060,3060
YMR251W-A,-1,530,3590,-3060,3060
YDR449C,-1,742,3794,-3052,3052
YGL180W,-1,784,3832,-3048,3048
YGL156W,-1,330,3374,-3044,3044
YMR247C,-1,3710,681,3029,3029
YKR042W,1,39,3063,-3024,3024
YLR455W,-1,3209,202,3007,3007
YGR248W,-1,332,3325,-2993,2993
YPR185W,-1,3556,567,2989,2989
YOL051W,-1,3727,739,2988,2988
YER100W,-1,3237,263,2974,2974
YPR151C,-1,671,3641,-2970,2970
YML128C,-1,149,3118,-2969,2969
YBR058C,-1,3353,388,2965,2965
YMR210W,-1,3073,110,2963,2963
YER054C,-1,571,3530,-2959,2959
YGR260W,-1,4093,1141,2952,2952
YJL174W,-1,3251,301,2950,2950
YGR218W,-1,3584,635,2949,2949
YKL009W,-1,991,3935,-2944,2944
YHR120W,1,36,2974,-2938,2938
YNL299W,-1,620,3551,-2931,2931
YKL075C,-1,3313,384,2929,2929
YIL019W,-1,1022,3948,-2926,2926
YHR181W,-1,3397,474,2923,2923
YOL095C,1,24,2947,-2923,2923
YDR260C,-1,3533,612,2921,2921
YHR143W-A,-1,325,3245,-2920,2920
YGL255W,-1,963,3870,-2907,2907
YBL024W,-1,414,3319,-2905,2905
YGL122C,-1,3619,715,2904,2904
YHR087W,-1,449,3347,-2898,2898
YFL014W,-1,429,3316,-2887,2887
YDR196C,-1,3225,340,2885,2885
YER126C,-1,833,3702,-2869,2869
YMR298W,-1,3399,540,2859,2859
YGL171W,-1,952,3807,-2855,2855
YLR148W,-1,3747,892,2855,2855
YGR261C,-1,3043,189,2854,2854
YLL026W,-1,237,3089,-2852,2852
YKR060W,-1,763,3610,-2847,2847
YJL068C,-1,3142,295,2847,2847
YMR166C,-1,3335,490,2845,2845
YHR088W,-1,1020,3855,-2835,2835
YHR208W,-1,862,3690,-2828,2828
YHR096C,-1,1077,3899,-2822,2822
YPR128C,-1,3311,494,2817,2817
YLR095C,-1,3780,967,2813,2813
