Gene,+/0/-,430Net rank,MEFIT rank,Difference (430Net-MEFIT),Absoulte Difference
YGL115W,-1,183,7,176,176
YOR211C,1,15,174,-159,159
YIL051C,1,40,183,-143,143
YDR197W,-1,161,22,139,139
YGL236C,0,119,9,110,110
YNR020C,-1,151,41,110,110
YPL029W,-1,130,20,110,110
YBR044C,-1,149,45,104,104
YNL073W,0,113,16,97,97
YHR091C,0,98,2,96,96
YBR091C,1,56,149,-93,93
YGR101W,1,48,140,-92,92
YPR047W,0,107,15,92,92
YPL104W,0,99,12,87,87
YOL023W,0,92,5,87,87
YOR354C,-1,89,3,86,86
YOL033W,0,95,10,85,85
YOR266W,1,84,1,83,83
YLR069C,0,86,4,82,82
YJR144W,1,53,135,-82,82
YLR382C,-1,121,40,81,81
YGL143C,0,94,14,80,80
YGR171C,0,97,17,80,80
YFR033C,-1,134,57,77,77
YPL097W,0,87,13,74,74
YLR390W,-1,106,33,73,73
YPL098C,1,83,19,64,64
YHR109W,-1,190,126,64,64
YNL070W,1,90,27,63,63
YDR511W,-1,91,31,60,60
YDR296W,1,81,21,60,60
YOL096C,-1,112,61,51,51
YBR120C,0,93,43,50,50
YER170W,-1,133,84,49,49
YOR037W,1,18,66,-48,48
YGR232W,-1,114,68,46,46
YIR021W,-1,138,92,46,46
YPL040C,-1,132,87,45,45
YNL213C,1,64,24,40,40
YNL121C,1,47,8,39,39
YFL036W,1,9,47,-38,38
YHR121W,-1,141,106,35,35
YKL067W,-1,118,152,-34,34
YJL112W,1,68,100,-32,32
YHR051W,-1,196,168,28,28
YKL192C,-1,143,118,25,25
YDR393W,1,13,32,-19,19
YCR024C,-1,122,105,17,17
YBL080C,1,96,79,17,17
YJL054W,1,88,71,17,17
YBR185C,1,3,18,-15,15
YMR060C,1,60,46,14,14
YGR181W,1,22,34,-12,12
YOR125C,-1,175,165,10,10
YBR192W,1,73,64,9,9
YML078W,-1,104,95,9,9
YJL063C,1,10,11,-1,1
YKR085C,1,5,6,-1,1
