Gene,+/0/-,430Net rank,SPELL rank,Difference (430Net-SPELL),Absoulte Difference
YLR304C,1,20,197,-177,177
YGL115W,-1,183,7,176,176
YOL122C,-1,193,24,169,169
YOL062C,-1,136,6,130,130
YNR035C,1,57,181,-124,124
YPR108W,-1,188,69,119,119
YLR382C,-1,121,8,113,113
YMR152W,-1,166,54,112,112
YNL073W,0,113,4,109,109
YIR021W,-1,138,31,107,107
YML110C,-1,123,17,106,106
YMR060C,1,60,163,-103,103
YNL213C,1,64,167,-103,103
YPL270W,-1,162,60,102,102
YNL037C,-1,182,81,101,101
YPL104W,0,99,1,98,98
YGR232W,-1,114,23,91,91
YHR051W,-1,196,110,86,86
YML057W,-1,199,116,83,83
YKL141W,-1,146,63,83,83
YOL033W,0,95,14,81,81
YPR023C,-1,173,92,81,81
YCL052C,-1,120,41,79,79
YOR354C,-1,89,10,79,79
YHR091C,0,98,21,77,77
YLR069C,0,86,9,77,77
YPL040C,-1,132,57,75,75
YOL096C,-1,112,43,69,69
YOR065W,-1,117,186,-69,69
YDR296W,1,81,15,66,66
YGL219C,1,65,128,-63,63
YPL097W,0,87,25,62,62
YGR171C,0,97,40,57,57
YCR024C,-1,122,67,55,55
YLR390W,-1,106,161,-55,55
YDR084C,-1,128,78,50,50
YPL098C,1,83,34,49,49
YJL102W,-1,103,149,-46,46
YJL112W,1,68,22,46,46
YNL121C,1,47,3,44,44
YFL018C,-1,102,145,-43,43
YBR120C,0,93,135,-42,42
YJL063C,1,10,52,-42,42
YPR047W,0,107,68,39,39
YOR266W,1,84,51,33,33
YLL001W,1,52,83,-31,31
YGR112W,-1,105,134,-29,29
YPR024W,1,78,49,29,29
YGR101W,1,48,76,-28,28
YOL023W,0,92,119,-27,27
YER141W,-1,152,177,-25,25
YPR140W,1,42,18,24,24
YBL050W,-1,170,192,-22,22
YPR191W,-1,150,172,-22,22
YHR121W,-1,141,156,-15,15
YKL067W,-1,118,104,14,14
YNL026W,1,16,5,11,11
YLR370C,1,76,66,10,10
YBL045C,-1,109,118,-9,9
YNR045W,0,115,122,-7,7
YOR017W,-1,163,170,-7,7
YJR144W,1,53,59,-6,6
YMR302C,1,45,39,6,6
YGL143C,0,94,100,-6,6
YKR085C,1,5,11,-6,6
YML078W,-1,104,99,5,5
YJL054W,1,88,85,3,3
YBR044C,-1,149,152,-3,3
YBL102W,-1,185,183,2,2
YPR107C,-1,159,158,1,1
YBR185C,1,3,2,1,1
