,Gene,+/0/1,Score
0,YPR104C,-1,9.998111746579639
1,YCR037C,-1,9.98855946332354
2,YJL098W,-1,9.986592839288052
3,YGR128C,-1,9.980449943341675
4,YJL176C,-1,9.974662911560975
5,YLR231C,-1,9.966600065914301
6,YFR048W,-1,9.96332231018643
7,YPL011C,-1,9.949945667868025
8,YBL019W,-1,9.946853609564922
9,YOL052C,-1,9.9458151264957
10,YMR223W,-1,9.942938737462375
11,YKL216W,-1,9.937903172492076
12,YER165W,-1,9.931679968615406
13,YMR305C,-1,9.927127933055978
14,YDL171C,-1,9.926183721767792
15,YNL248C,-1,9.924845416641132
16,YML035C,-1,9.924735779956757
17,YGR111W,-1,9.923187117979761
18,YPR008W,-1,9.911822809530799
19,YNL169C,-1,9.9101754645629
20,YJL033W,-1,9.907017685934473
21,YDL051W,-1,9.9027496982412
22,YNL323W,-1,9.902110257414602
23,YGL043W,-1,9.896811794955605
24,YHR137W,-1,9.885401752400547
25,YIL029C,-1,9.877791065628449
26,YHR018C,-1,9.875130411874396
27,YDR503C,-1,9.861795867023467
28,YHL019C,-1,9.861259702384675
29,YKL041W,-1,9.852517578794318
30,YLR086W,-1,9.849287692070675
31,YMR301C,-1,9.84477075639272
32,YJL076W,-1,9.840727067104309
33,YDL200C,-1,9.837906595508192
34,YDL028C,-1,9.826668282098002
35,YDR255C,-1,9.82633584301678
36,YOR172W,-1,9.813343551100784
37,YOR137C,-1,9.810461560096455
38,YLR424W,-1,9.805301613437733
39,YBR167C,-1,9.801284338361054
40,YMR220W,-1,9.799067227242217
41,YLR378C,-1,9.794075836944092
42,YGL094C,-1,9.780344767334226
43,YML038C,-1,9.779970186212143
44,YLR222C,-1,9.762947211574952
45,YMR128W,-1,9.757280929202322
46,YOR056C,-1,9.75232582939324
47,YLR266C,-1,9.749739782074235
48,YDR496C,-1,9.746160112833882
49,YIL101C,-1,9.741992777945743
50,YGL112C,-1,9.734562858311017
51,YEL016C,-1,9.729699681003556
52,YDR198C,-1,9.719895762897648
53,YOR004W,-1,9.719490741303234
54,YDR232W,-1,9.70641897884165
55,YDR236C,-1,9.694393744249057
56,YMR091C,-1,9.690323088871208
57,YML043C,-1,9.68712366955264
58,YNL113W,-1,9.67641135201855
59,YMR239C,-1,9.67183714208246
60,YNL032W,-1,9.668746758521348
61,YOL133W,-1,9.663937488969747
62,YPL211W,-1,9.654372031507279
63,YBR161W,-1,9.645927136440212
64,YGR108W,-1,9.638313159959143
65,YPR111W,-1,9.635867388955075
66,YDR030C,-1,9.621835339465376
67,YLR183C,-1,9.617001543456627
68,YPR049C,-1,9.616967426399183
69,YDR174W,-1,9.612761546174374
70,YMR112C,-1,9.597297792486794
71,YOR078W,-1,9.595692194578302
72,YLR316C,-1,9.594420909580531
73,YHR133C,-1,9.589305186885749
74,YKR090W,-1,9.585561394136516
75,YJL148W,-1,9.583767998376029
76,YGL238W,-1,9.579966065192078
77,YOL043C,-1,9.575387155446924
78,YBL075C,-1,9.56609037976268
79,YML069W,-1,9.562355065106214
80,YOL020W,-1,9.527956167735436
81,YHR196W,-1,9.52316529308362
82,YBR055C,-1,9.518515674726983
83,YDR416W,-1,9.503411081703277
84,YDL143W,-1,9.493392875188439
85,YLL015W,-1,9.4901537508854
86,YPR010C,-1,9.486885068993836
87,YBR077C,-1,9.485839305345865
88,YNR009W,-1,9.483155433436346
89,YPR070W,-1,9.47878361114218
90,YPL131W,-1,9.473233087685623
91,YMR080C,-1,9.461123302056523
92,YNR053C,-1,9.456141075709283
93,YPL171C,-1,9.453980202502319
94,YGR014W,-1,9.451969003510495
95,YJL039C,-1,9.451808920338856
96,YNR030W,-1,9.450870984877488
97,YKL205W,-1,9.438614394711111
98,YGR145W,-1,9.433129894625841
99,YPR181C,-1,9.419790862329327
100,YFL033C,-1,9.411587206876755
101,YPL249C,-1,9.403719983362913
102,YKR050W,-1,9.402130422672604
103,YKL189W,-1,9.397814637573592
104,YKR055W,-1,9.389759416105026
105,YPL243W,-1,9.382933329208656
106,YJL173C,-1,9.372248591254406
107,YLR002C,-1,9.370556433739726
108,YDR363W-A,-1,9.361526671860732
109,YAR007C,-1,9.34342480110538
110,YPR042C,-1,9.330506596090842
111,YPL005W,-1,9.33023020908794
112,YDL167C,-1,9.322597449786958
113,YHR103W,-1,9.321539465730321
114,YGL145W,-1,9.316180440997345
115,YNL088W,-1,9.315701633145249
116,YML093W,-1,9.314258546756598
117,YCL001W,-1,9.30935876241769
118,YDR127W,-1,9.30926349179098
119,YOR075W,-1,9.303230586112921
120,YDL014W,-1,9.295905771818994
121,YFL013C,-1,9.290025058795857
122,YJL186W,-1,9.283571271953852
123,YDL049C,-1,9.26835594406799
124,YGR020C,-1,9.265904388064074
125,YGR206W,-1,9.265490994760459
126,YGR013W,-1,9.250655348052316
127,YBR015C,-1,9.250194877726264
128,YHR067W,-1,9.249826418529025
129,YNL327W,-1,9.244817496600845
130,YBR016W,-1,9.243250780283466
131,YGR274C,-1,9.240332046326875
132,YKL203C,-1,9.234690461505611
133,YML121W,-1,9.230322438691825
134,YER022W,-1,9.23031948789087
135,YMR026C,-1,9.229655110244535
136,YMR318C,-1,9.223519320271386
137,YIL056W,-1,9.222556498758529
138,YBR080C,-1,9.221574594582904
139,YDR141C,-1,9.221135292554672
140,YHR166C,-1,9.215358514961325
141,YGL076C,-1,9.214440664746695
142,YGR258C,-1,9.209202274357434
143,YNL075W,-1,9.207347927355329
144,YJL061W,-1,9.201517198314365
145,YDR138W,-1,9.201429653868361
146,YCR020W-B,-1,9.1934987547326
147,YNR015W,-1,9.192934180633413
148,YPL016W,-1,9.18314462365487
149,YBR110W,-1,9.181741104148548
