,Name,+/-,Score,True Positive,False Positive,True Negative,False Negative,Accuracy,Precision,Recall,False Positive Rate,Selectivity
0,YJR135W-A,1,189.16169019942754,1,0,4655,104,0.9781512605042016,1.0,0.009523809523809525,0.0,1.0
1,YCR028C-A,1,188.71729857530954,2,0,4655,103,0.9783613445378151,1.0,0.01904761904761905,0.0,1.0
2,YBR185C,1,188.2461055793949,3,0,4655,102,0.9785714285714285,1.0,0.02857142857142857,0.0,1.0
3,YKL053C-A,1,184.1664190047336,4,0,4655,101,0.978781512605042,1.0,0.0380952380952381,0.0,1.0
4,YKR085C,1,182.85621368823183,5,0,4655,100,0.9789915966386554,1.0,0.047619047619047616,0.0,1.0
5,YGR144W,1,182.71964367779583,6,0,4655,99,0.9792016806722689,1.0,0.05714285714285714,0.0,1.0
6,YLL013C,1,181.25289146129307,7,0,4655,98,0.9794117647058823,1.0,0.06666666666666667,0.0,1.0
7,YNL055C,1,180.23473821462215,8,0,4655,97,0.9796218487394958,1.0,0.0761904761904762,0.0,1.0
8,YFL036W,1,180.1770736665834,9,0,4655,96,0.9798319327731092,1.0,0.08571428571428572,0.0,1.0
9,YJL063C,1,180.0009060021863,10,0,4655,95,0.9800420168067226,1.0,0.09523809523809523,0.0,1.0
10,YMR134W,1,179.6099269276383,11,0,4655,94,0.9802521008403361,1.0,0.10476190476190476,0.0,1.0
11,YJR120W,1,178.58076534880092,12,0,4655,93,0.9804621848739495,1.0,0.11428571428571428,0.0,1.0
12,YDR393W,1,177.7267077951568,13,0,4655,92,0.980672268907563,1.0,0.12380952380952381,0.0,1.0
13,YML104C,1,177.55431230345474,14,0,4655,91,0.9808823529411764,1.0,0.13333333333333333,0.0,1.0
14,YOR211C,1,176.8009512957133,15,0,4655,90,0.9810924369747899,1.0,0.14285714285714285,0.0,1.0
15,YNL026W,1,176.7107331243615,16,0,4655,89,0.9813025210084033,1.0,0.1523809523809524,0.0,1.0
16,YML091C,1,176.57069306910557,17,0,4655,88,0.9815126050420168,1.0,0.1619047619047619,0.0,1.0
17,YOR037W,1,176.43664445129014,18,0,4655,87,0.9817226890756302,1.0,0.17142857142857143,0.0,1.0
18,YHR031C,1,176.29625731439634,19,0,4655,86,0.9819327731092437,1.0,0.18095238095238095,0.0,1.0
19,YLR304C,1,176.2830853381847,20,0,4655,85,0.9821428571428571,1.0,0.19047619047619047,0.0,1.0
20,YOR330C,1,176.25474083826083,21,0,4655,84,0.9823529411764705,1.0,0.2,0.0,1.0
21,YGR181W,1,176.06515676989886,22,0,4655,83,0.982563025210084,1.0,0.20952380952380953,0.0,1.0
22,YOL095C,1,176.01540839600491,23,0,4655,82,0.9827731092436974,1.0,0.21904761904761905,0.0,1.0
23,YPR125W,1,175.08894727391703,24,0,4655,81,0.9829831932773109,1.0,0.22857142857142856,0.0,1.0
24,YIL065C,1,175.07530754876228,25,0,4655,80,0.9831932773109243,1.0,0.23809523809523808,0.0,1.0
25,YGL055W,1,175.02802584690457,26,0,4655,79,0.9834033613445378,1.0,0.24761904761904763,0.0,1.0
26,YDR219C,1,174.95025095664548,27,0,4655,78,0.9836134453781512,1.0,0.2571428571428571,0.0,1.0
27,YDR470C,1,174.91427678923216,28,0,4655,77,0.9838235294117647,1.0,0.26666666666666666,0.0,1.0
28,YHR194W,1,174.81960589097554,29,0,4655,76,0.9840336134453781,1.0,0.2761904761904762,0.0,1.0
29,YER154W,1,174.6167910999725,30,0,4655,75,0.9842436974789915,1.0,0.2857142857142857,0.0,1.0
30,YDL006W,1,174.17154076298138,31,0,4655,74,0.9844537815126051,1.0,0.29523809523809524,0.0,1.0
31,YOL027C,1,174.17012401182,32,0,4655,73,0.9846638655462185,1.0,0.3047619047619048,0.0,1.0
32,YLR190W,1,173.70375642598728,33,0,4655,72,0.984873949579832,1.0,0.3142857142857143,0.0,1.0
33,YMR211W,1,173.57814707241226,34,0,4655,71,0.9850840336134454,1.0,0.3238095238095238,0.0,1.0
