,Gene,+/0/1,Score
0,YJL114W,-1,9.951828175322843
1,YOR373W,-1,9.950655286353935
2,YGR213C,-1,9.911304960144259
3,YNR064C,-1,9.908224613179378
4,YGL212W,-1,9.88994562414117
5,YBR299W,-1,9.851573739875258
6,YJL212C,-1,9.84459873682497
7,YLR467W,-1,9.8324748921146
8,YKR103W,-1,9.821470070865022
9,YKL165C,-1,9.810093978651619
10,YJL019W,-1,9.778519457397273
11,YCR081W,-1,9.75647365132936
12,YHR184W,-1,9.736477921779635
13,YHR154W,-1,9.680464026377361
14,YMR096W,-1,9.667756634601908
15,YGL032C,-1,9.659067347314915
16,YLR087C,-1,9.657418908160206
17,YFR034C,-1,9.656967945336216
18,YGL063W,-1,9.634297920507835
19,YAL053W,-1,9.626439062238088
20,YCL069W,-1,9.583524733646911
21,YPR164W,-1,9.573616196609914
22,YAL032C,-1,9.554675429258083
23,YNL279W,-1,9.493190938165515
24,YPL085W,-1,9.486601533817044
25,YDR009W,-1,9.474233663331802
26,YML113W,-1,9.46685793435196
27,YDL049C,-1,9.43774318274427
28,YFR036W,-1,9.435289031303776
29,YAL063C,-1,9.43072482489082
30,YGR055W,-1,9.396659965058777
31,YPR030W,-1,9.396218299478242
32,YCR017C,-1,9.395711761780007
33,YOR178C,-1,9.332400638771396
34,YNL128W,-1,9.325573857115174
35,YDR501W,-1,9.273811665252243
36,YDL223C,-1,9.24725240674777
37,YPL033C,-1,9.227990692238542
38,YIL132C,-1,9.185985716352379
39,YDR076W,-1,9.168489621687625
40,YMR051C,-1,9.117473191086049
41,YCR063W,-1,9.105531742332492
42,YAL051W,-1,9.09781072122113
43,YPL149W,-1,9.094978760021753
44,YOR071C,-1,9.08167122625121
45,YJR118C,1,88.43706405204043
46,YER048W-A,-1,82.05215006800154
47,YJL054W,1,80.9322132926809
48,YOL023W,0,80.16527927466996
49,YBR223C,-1,8.98802867575112
50,YDL245C,-1,8.92656074262963
51,YDR522C,-1,8.90337793940678
52,YAR009C,-1,8.899065881356137
53,YDR013W,-1,8.875503414619487
54,YDR314C,-1,8.871094123823667
55,YLR318W,-1,8.848517137614387
56,YGR006W,-1,8.822630619772413
57,YIR027C,-1,8.806695262125242
58,YLL046C,-1,8.804123892600202
59,YIL120W,-1,8.79708885470533
60,YFL003C,-1,8.788812043827578
61,YBR250W,-1,8.752879976442863
62,YBR240C,-1,8.74500311309344
63,YIL013C,-1,8.731440602246252
64,YFL031W,-1,8.710166669414752
65,YDL246C,-1,8.676848073446912
66,YCR105W,-1,8.65453557292504
67,YBL061C,-1,8.619827153206689
68,YBR085W,-1,8.611143948699926
69,YBR186W,-1,8.552805637803564
70,YHR185C,-1,8.515648554841434
71,YMR011W,-1,8.46088950664558
72,YDR040C,-1,8.390502084941687
73,YCR060W,-1,8.358869260645552
74,YDL160C,-1,8.281787323279705
75,YLR047C,-1,8.243915557278541
76,YHR214C-B,-1,8.226868427179653
77,YOR328W,-1,8.21852444514548
78,YHR189W,-1,8.21458232973319
79,YPR201W,-1,8.214023834976356
80,YOR107W,-1,8.211051725039718
81,YER045C,-1,8.19258517306385
82,YNL014W,-1,8.173295684898408
83,YGR249W,-1,8.171411488963285
84,YER018C,-1,8.100752269494137
85,YOR351C,-1,8.037628626144873
86,YMR319C,-1,8.020040796460707
87,YOR147W,1,78.71697323329579
88,YPR131C,1,78.0599199512676
89,YKR035W-A,-1,76.26651778630912
90,YOR136W,-1,75.41041963456883
91,YDR363W-A,-1,75.3528476379579
92,YDR513W,-1,74.4592861602041
93,YER141W,-1,73.6167717061362
94,YDR150W,1,73.50458888696903
95,YIL124W,-1,73.33162897039256
96,YOR354C,-1,72.11830147820001
97,YLR069C,0,71.61710594217311
98,YNL066W,1,71.181753498121
99,YGR232W,-1,71.12569458276084
100,YER153C,0,7.955896575237178
101,YCL048W,-1,7.879180341611498
102,YLR287C-A,-1,7.843320954082514
103,YOR008C-A,-1,7.836115407381584
104,YPL130W,-1,7.827686654484838
105,YBR136W,-1,7.826626215994345
106,YAL012W,-1,7.820349175128656
107,YPL283C,-1,7.808771915236103
108,YGL194C,-1,7.79002319688413
109,YGL089C,-1,7.789864771819767
110,YNL339C,-1,7.725575941893863
111,YPR078C,-1,7.675382616629282
112,YHL022C,-1,7.673688077907884
113,snR72,-1,7.643338229446272
114,YJR158W,-1,7.62472340134247
115,YGR097W,-1,7.5662454459816075
116,YOR346W,-1,7.5562887036211395
117,YNR072W,-1,7.44698610344571
118,YJR060W,-1,7.424454224974227
119,YDL220C,-1,7.365038798665963
120,YGR059W,-1,7.357242691189302
121,YHR048W,-1,7.320311111829555
122,YOR388C,-1,7.313596795834684
123,YDL109C,-1,7.310231954996018
124,YKR050W,-1,7.277946047552889
125,YLR160C,-1,7.266374474270286
126,YHR211W,-1,7.239942418773996
127,YCR089W,-1,7.233643406506616
128,YPR168W,-1,7.189757441994651
129,YPR194C,-1,7.074345867319858
130,YNL332W,-1,7.047544525554548
131,YGL183C,-1,7.0115852054364876
132,YCL052C,-1,69.37499528705666
133,YPL097W,0,69.09614240779592
134,YNL156C,-1,69.05850084319354
135,YBR139W,-1,68.42632744746041
136,YMR139W,-1,67.02953374080408
137,YOL060C,1,66.81243388705431
138,YDR511W,-1,66.6752591600009
139,YOL076W,1,66.4313119113984
140,YBR149W,-1,66.29510694841156
141,YBR044C,-1,65.67411610507565
142,YPL203W,-1,65.47393378937767
143,YHR008C,-1,65.42394472052493
144,YGR111W,-1,65.39226837298247
145,YLL006W,1,65.17662632110012
146,YBR120C,0,64.45907827138672
147,YBL045C,-1,64.43721853164038
148,YML004C,-1,64.23705315937914
149,YJR077C,-1,64.17572056164593
150,YOL082W,-1,64.09664950784472
151,YMR152W,-1,64.09309291785166
152,YPR191W,-1,63.902192332666345
153,YHR051W,-1,63.81909071023176
154,YHR091C,0,63.81589216301313
155,YKL067W,-1,63.25214041900563
156,YBL078C,-1,63.17554508627353
157,YER053C,-1,63.02207027776154
158,YLL026W,-1,62.91272358226732
159,YNL073W,0,62.88624365209034
160,YML057W,-1,62.75946575198998
161,YDR358W,-1,62.737736464791496
162,YLR394W,-1,62.47527199995977
163,YBL064C,-1,61.926661450626
164,YPL040C,-1,61.90590763932062
165,YLR262C-A,-1,61.69768647076489
166,YBL050W,-1,61.61148352538373
167,YBL080C,1,61.415996249074965
168,YEL012W,-1,61.32311336132504
169,YCR020W-B,-1,61.03077779270029
170,YPL154C,-1,60.97260966477604
171,YOR065W,-1,60.42005530874941
172,YNL051W,-1,60.2297955183472
173,YMR017W,-1,6.998245774069044
174,YNL078W,-1,6.981370617210304
175,YDR218C,-1,6.979106076962511
176,YIR019C,-1,6.875443686435078
177,YJL045W,-1,6.727719486491292
178,YBR020W,-1,6.624345469663551
179,YGL028C,-1,6.587123090390314
180,YPL082C,-1,6.572070628988939
181,YIL061C,-1,6.535473873352909
182,YBL005W-A,-1,6.523664709831518
183,YOR338W,-1,6.51151817922667
184,YHR053C,-1,6.5007595093724095
185,YKL086W,-1,6.424440053407379
186,YPR007C,-1,6.371908640074495
187,YER087C-B,-1,6.361837738433678
188,YBR067C,-1,6.354495196066751
189,YJR026W,-1,6.34558866060495
190,YPL121C,-1,6.332355634888094
191,YJR108W,-1,6.318757413223086
192,YBR012W-B,-1,6.183357304367075
193,YBL013W,-1,6.174329824951857
194,YDL133C-A,-1,6.165662660820051
195,YDR106W,-1,6.150620474703647
196,YER116C,-1,6.1120005755411455
197,YPL153C,-1,6.090306016034448
198,YLR453C,-1,6.025000641332472
199,YCR028C,-1,6.0097210988253345
200,YKR066C,-1,59.877913544078325
201,YGR253C,-1,59.87502411444865
202,YHR005C-A,1,59.84341916919671
203,YOR362C,-1,59.622899758334825
204,YBR026C,-1,59.49694608628758
205,YGR135W,-1,59.48836090495661
206,YNL239W,-1,59.456857890312676
207,YOL129W,-1,59.379378550314726
208,YDR001C,-1,59.32426537224211
209,YNL037C,-1,59.30354052428265
210,YNR045W,0,59.09646034267098
211,YOL151W,-1,59.09284756314264
212,YMR304W,-1,58.88522794226088
213,YER094C,-1,58.86445176204887
214,YBR183W,-1,58.80113426807509
215,YCR036W,-1,58.68546916765081
216,YJR104C,-1,58.68497438164559
217,YCR024C,-1,58.52428459124767
218,YDR084C,-1,58.51707457953307
219,YDR196C,-1,58.487138556645036
220,YML080W,-1,58.40414268439379
221,YML131W,-1,58.17271704912639
222,YLR270W,-1,58.104639772812504
223,YIR037W,-1,58.02615990261316
224,YFR052W,-1,57.974389747105306
225,YBL041W,-1,57.9660749367153
226,YOL143C,-1,57.877869839163395
227,YMR072W,1,57.51365633813987
228,YPR011C,-1,57.43799405470281
229,YNL160W,-1,57.41678846876772
230,YBL058W,-1,57.310154975464684
231,YBR126C,-1,57.255838203505846
232,YKR067W,-1,57.22680250283855
233,YGL161C,-1,57.17922183132123
234,YOR173W,-1,57.10422076967143
235,YHR104W,-1,57.09669071090457
236,YMR197C,-1,56.98404099931008
237,YOR132W,-1,56.962462151918544
238,YJR044C,-1,56.94739729984828
239,YPR025C,-1,56.84996345306712
240,YML092C,-1,56.79050260027361
241,YPL116W,-1,56.65836305963103
242,YJL020C,-1,56.610302697010184
243,YKL085W,-1,56.51802001505545
244,YMR210W,-1,56.45540623422403
245,YLR395C,-1,56.388873831055605
246,YCL035C,-1,56.227374434633475
247,YOR245C,-1,56.19920964550559
248,YHR113W,-1,56.09646008038726
249,YDR096W,-1,56.09105377582284
250,YMR105C,-1,56.04454567348262
251,YNL183C,-1,55.8755749161453
252,YPL206C,-1,55.86819843544936
253,YLR080W,-1,55.80570988756725
254,YPR103W,-1,55.55212159241057
255,YNL274C,-1,55.42077543705136
256,YER170W,-1,55.41392103617545
257,YOR070C,-1,55.365269071869875
258,YOR124C,-1,55.238870866775926
259,YPR021C,-1,55.23501829794401
260,YPR108W,-1,55.22627600101714
261,YKL117W,-1,55.15860372004781
262,YCL044C,1,55.11793649837773
263,YIR038C,-1,55.11236594333241
264,YKL068W,-1,54.915413924369204
265,YOL096C,-1,54.74459755000282
266,YDR171W,-1,54.734773111861784
267,YGL187C,-1,54.59426187426695
268,YBR035C,-1,54.559122561161985
269,YGR183C,-1,54.503203244710804
270,YOL065C,-1,54.47339255267434
271,YKL029C,-1,54.37042422134037
272,YAL030W,-1,54.30357210941753
273,YLR258W,-1,54.2186160621477
274,YDR452W,-1,54.144940341062465
275,YOR259C,-1,54.11841960938781
276,YOR036W,-1,54.11316622870682
277,YNR032C-A,-1,54.08903145062777
278,YPR107C,-1,54.087415438139416
