,Name,+/-,Score,True Positive,False Positive,True Negative,False Negative,Accuracy,Precision,Recall,False Positive Rate,Selectivity
0,YJR135W-A,1,195.8529179058969,104,4655,0,1,0.021848739495798318,0.02185333053162429,0.9904761904761905,1.0,0.0
1,YKL053C-A,1,186.31799070257694,103,4655,0,2,0.021638655462184873,0.021647751155947876,0.9809523809523809,1.0,0.0
2,YJL112W,1,184.0426717074588,102,4655,0,3,0.02142857142857143,0.021442085347908344,0.9714285714285714,1.0,0.0
3,YLR304C,1,182.93541013915092,101,4655,0,4,0.021218487394957984,0.021236333052985702,0.9619047619047619,1.0,0.0
4,YML091C,1,181.454560461214,100,4655,0,5,0.02100840336134454,0.02103049421661409,0.9523809523809523,1.0,0.0
5,YJL063C,1,180.0026782064815,99,4655,0,6,0.02079831932773109,0.020824568784181742,0.9428571428571428,1.0,0.0
6,YIL062C,1,179.890127812032,98,4655,0,7,0.020588235294117647,0.020618556701030927,0.9333333333333333,1.0,0.0
7,YBR185C,1,179.6620679839507,97,4655,0,8,0.020378151260504202,0.020412457912457913,0.9238095238095239,1.0,0.0
8,YOL095C,1,177.4424981871598,96,4655,0,9,0.020168067226890758,0.0202062723637129,0.9142857142857143,1.0,0.0
9,YPR083W,1,177.26107957423665,95,4655,0,10,0.01995798319327731,0.02,0.9047619047619048,1.0,0.0
10,YER154W,1,177.01161146726827,94,4655,0,11,0.019747899159663865,0.019793640766477154,0.8952380952380953,1.0,0.0
11,YLL001W,1,176.53541489405325,93,4655,0,12,0.01953781512605042,0.019587194608256107,0.8857142857142857,1.0,0.0
12,YOL027C,1,176.39186385233188,92,4655,0,13,0.019327731092436976,0.01938066147040236,0.8761904761904762,1.0,0.0
13,YDL217C,1,175.8320867095681,91,4655,0,14,0.01911764705882353,0.019174041297935103,0.8666666666666667,1.0,0.0
14,YKL013C,1,175.355633815052,90,4655,0,15,0.018907563025210083,0.018967334035827187,0.8571428571428571,1.0,0.0
15,YPR140W,1,174.88809142448008,89,4655,0,16,0.018697478991596638,0.01876053962900506,0.8476190476190476,1.0,0.0
16,YLR370C,1,174.53513682266203,88,4655,0,17,0.018487394957983194,0.018553658022348724,0.8380952380952381,1.0,0.0
17,YNL121C,1,174.18903977533046,87,4655,0,18,0.01827731092436975,0.018346689160691692,0.8285714285714286,1.0,0.0
18,YNL079C,1,174.13463875945308,86,4655,0,19,0.018067226890756304,0.018139632988820924,0.819047619047619,1.0,0.0
19,YCR028C-A,1,173.86390259932887,85,4655,0,20,0.017857142857142856,0.017932489451476793,0.8095238095238095,1.0,0.0
20,YOR037W,1,173.7517758423055,84,4655,0,21,0.01764705882352941,0.01772525849335303,0.8,1.0,0.0
21,YKR085C,1,173.0761811935663,83,4655,0,22,0.017436974789915967,0.017517940059096664,0.7904761904761904,1.0,0.0
22,YHR031C,1,172.99168187551186,82,4655,0,23,0.017226890756302522,0.017310534093308,0.780952380952381,1.0,0.0
23,YNL026W,1,172.6907043366009,81,4655,0,24,0.017016806722689074,0.01710304054054054,0.7714285714285715,1.0,0.0
24,YMR012W,1,172.32093973488918,80,4655,0,25,0.01680672268907563,0.01689545934530095,0.7619047619047619,1.0,0.0
25,YNL055C,1,172.00167023111135,79,4655,0,26,0.016596638655462185,0.016687790452049007,0.7523809523809524,1.0,0.0
26,YDL142C,1,171.38559195501355,78,4655,0,27,0.01638655462184874,0.01648003380519755,0.7428571428571429,1.0,0.0
27,YBR234C,1,171.34698120388202,77,4655,0,28,0.016176470588235296,0.016272189349112426,0.7333333333333333,1.0,0.0
28,YMR060C,1,171.19335468965585,76,4655,0,29,0.015966386554621848,0.01606425702811245,0.7238095238095238,1.0,0.0
29,YIL051C,1,170.73583683843447,75,4655,0,30,0.015756302521008403,0.015856236786469344,0.7142857142857143,1.0,0.0
30,YGR181W,1,170.20474904115068,74,4655,0,31,0.015546218487394958,0.015648128568407697,0.7047619047619048,1.0,0.0
31,YGR101W,1,169.71650221930236,73,4655,0,32,0.015336134453781512,0.015439932318104907,0.6952380952380952,1.0,0.0
32,YPR024W,1,169.35447810576397,72,4655,0,33,0.015126050420168067,0.015231647979691136,0.6857142857142857,1.0,0.0
33,YMR241W,1,169.192186033114,71,4655,0,34,0.014915966386554623,0.01502327549724926,0.6761904761904762,1.0,0.0
34,YOL009C,1,168.56904298097652,70,4655,0,35,0.014705882352941176,0.014814814814814815,0.6666666666666666,1.0,0.0
35,YFL039C,1,168.3092719145934,69,4655,0,36,0.014495798319327732,0.014606265876375953,0.6571428571428571,1.0,0.0
36,YFL036W,1,168.3083694685762,68,4655,0,37,0.014285714285714285,0.014397628625873385,0.6476190476190476,1.0,0.0
37,YNL310C,1,168.10208404023433,67,4655,0,38,0.01407563025210084,0.014188903007200339,0.638095238095238,1.0,0.0
38,YBR179C,1,167.73705383110791,66,4655,0,39,0.013865546218487394,0.013980088964202499,0.6285714285714286,1.0,0.0
39,YDL029W,1,167.6368499237483,65,4655,0,40,0.01365546218487395,0.013771186440677966,0.6190476190476191,1.0,0.0
40,YGL055W,1,166.87950094813567,64,4655,0,41,0.013445378151260505,0.0135621953803772,0.6095238095238096,1.0,0.0
41,YIL065C,1,166.7291589831002,63,4655,0,42,0.013235294117647059,0.013353115727002967,0.6,1.0,0.0
42,YLL013C,1,166.4804810033338,62,4655,0,43,0.013025210084033614,0.013143947424210304,0.5904761904761905,1.0,0.0
43,YLR355C,1,166.3143259852385,61,4655,0,44,0.012815126050420168,0.012934690415606446,0.580952380952381,1.0,0.0
44,YOR211C,1,166.27445759520197,60,4655,0,45,0.012605042016806723,0.012725344644750796,0.5714285714285714,1.0,0.0
45,YPR125W,1,166.14989517057256,59,4655,0,46,0.012394957983193277,0.012515910055154858,0.5619047619047619,1.0,0.0
46,YGL219C,1,165.80788285694007,58,4655,0,47,0.012184873949579832,0.012306386590282199,0.5523809523809524,1.0,0.0
47,YIL138C,1,165.8078303572256,57,4655,0,48,0.011974789915966387,0.012096774193548387,0.5428571428571428,1.0,0.0
48,YOR330C,1,165.30435938347796,56,4655,0,49,0.011764705882352941,0.01188707280832095,0.5333333333333333,1.0,0.0
49,YDR339C,1,165.1242358663767,55,4655,0,50,0.011554621848739496,0.01167728237791932,0.5238095238095238,1.0,0.0
50,YML104C,1,165.01726098684776,54,4655,0,51,0.01134453781512605,0.01146740284561478,0.5142857142857142,1.0,0.0
51,YDR219C,1,164.9806108908878,53,4655,0,52,0.011134453781512605,0.011257434154630416,0.5047619047619047,1.0,0.0
52,YGR144W,1,164.89934408548015,52,4655,0,53,0.010924369747899159,0.011047376248141066,0.49523809523809526,1.0,0.0
53,YMR134W,1,164.83102933217197,51,4655,0,54,0.010714285714285714,0.010837229069273268,0.4857142857142857,1.0,0.0
54,YDL198C,1,164.5604169859871,50,4655,0,55,0.01050420168067227,0.010626992561105207,0.47619047619047616,1.0,0.0
55,YBR192W,1,164.3193844456748,49,4655,0,56,0.010294117647058823,0.010416666666666666,0.4666666666666667,1.0,0.0
56,YKR036C,1,164.28232236216743,48,4655,0,57,0.010084033613445379,0.010206251328938975,0.45714285714285713,1.0,0.0
57,YLR368W,1,164.18608551094076,47,4655,0,58,0.009873949579831932,0.009995746490854955,0.44761904761904764,1.0,0.0
58,YMR275C,1,164.10807902489614,46,4655,0,59,0.009663865546218488,0.009785152095298873,0.4380952380952381,1.0,0.0
59,YNR035C,1,163.978701825798,45,4655,0,60,0.009453781512605041,0.009574468085106383,0.42857142857142855,1.0,0.0
60,YMR211W,1,163.5951676937636,44,4655,0,61,0.009243697478991597,0.009363694403064482,0.41904761904761906,1.0,0.0
61,YJR144W,1,163.39903186794297,43,4655,0,62,0.009033613445378152,0.009152830991911451,0.4095238095238095,1.0,0.0
62,YOR060C,1,163.10272430562873,42,4655,0,63,0.008823529411764706,0.00894187779433681,0.4,1.0,0.0
63,YDL006W,1,162.6428686914453,41,4655,0,64,0.008613445378151261,0.00873083475298126,0.3904761904761905,1.0,0.0
64,YBR091C,1,162.63147731137906,40,4655,0,65,0.008403361344537815,0.008519701810436636,0.38095238095238093,1.0,0.0
65,YMR302C,1,162.26109823917693,39,4655,0,66,0.00819327731092437,0.008308478909245846,0.37142857142857144,1.0,0.0
66,YDR393W,1,162.06862406554865,38,4655,0,67,0.007983193277310924,0.008097165991902834,0.3619047619047619,1.0,0.0
67,YOR326W,1,161.25142032891063,37,4655,0,68,0.007773109243697479,0.007885763000852515,0.3523809523809524,1.0,0.0
68,YKR042W,1,161.12469713961764,36,4655,0,69,0.007563025210084034,0.007674269878490727,0.34285714285714286,1.0,0.0
