Gene A,Gene B,Label,Score,True Positive,False Negative,True Negative,False Positive,Accuracy,Precision,Recall,False Positive Rate,Selectivity
YLL009C,YJL102W,1,10.692939,1.0,1021.0,9978.0,0.0,0.9071817994117737,1.0,0.000978473573923111,0.0,1.0
YIL042C,YLL009C,1,10.497876,2.0,1020.0,9978.0,0.0,0.9072727560997009,1.0,0.001956947147846222,0.0,1.0
YDR493W,YJL102W,1,9.434236,3.0,1019.0,9978.0,0.0,0.9073636531829834,1.0,0.002935420721769333,0.0,1.0
YGL219C,YJL180C,1,9.389228,4.0,1018.0,9978.0,0.0,0.9074545502662659,1.0,0.003913894295692444,0.0,1.0
YNL315C,YCR079W,1,9.3718815,5.0,1017.0,9978.0,0.0,0.9075454473495483,1.0,0.004892367869615555,0.0,1.0
YKR016W,YBR185C,1,9.099613,6.0,1016.0,9978.0,0.0,0.9076363444328308,1.0,0.005870841443538666,0.0,1.0
YKL137W,YDR529C,1,8.880916,7.0,1015.0,9978.0,0.0,0.9077273011207581,1.0,0.006849315017461777,0.0,1.0
YDR322W,YBR262C,1,8.847052,8.0,1014.0,9978.0,0.0,0.9078181982040405,1.0,0.007827788591384888,0.0,1.0
YLL009C,YDR258C,1,8.820421,9.0,1013.0,9978.0,0.0,0.907909095287323,1.0,0.008806262165307999,0.0,1.0
YDR079W,YGR112W,1,8.750112,10.0,1012.0,9978.0,0.0,0.9079999923706055,1.0,0.00978473573923111,0.0,1.0
YBL064C,YMR157C,0,8.726823,10.0,1012.0,9977.0,1.0,0.907909095287323,0.9090909361839294,0.00978473573923111,0.00010022048809332773,0.9998998045921326
YGR028W,YJR080C,1,8.64141,11.0,1011.0,9977.0,1.0,0.9079999923706055,0.9166666865348816,0.01076320931315422,0.00010022048809332773,0.9998998045921326
YEL020W-A,YNL242W,1,8.60141,12.0,1010.0,9977.0,1.0,0.9080908894538879,0.9230769276618958,0.011741682887077332,0.00010022048809332773,0.9998998045921326
YNL315C,YMR072W,1,8.454379,13.0,1009.0,9977.0,1.0,0.9081818461418152,0.9285714030265808,0.012720156461000443,0.00010022048809332773,0.9998998045921326
YDR493W,YIL065C,1,8.424783,14.0,1008.0,9977.0,1.0,0.9082727432250977,0.9333333373069763,0.013698630034923553,0.00010022048809332773,0.9998998045921326
YDR533C,YNR037C,0,8.417321,14.0,1008.0,9976.0,2.0,0.9081818461418152,0.875,0.013698630034923553,0.00020044097618665546,0.9997995495796204
YGR231C,YDR322C-A,1,8.414208,15.0,1007.0,9976.0,2.0,0.9082727432250977,0.8823529481887817,0.014677103608846664,0.00020044097618665546,0.9997995495796204
