YORF	NAME	GWEIGHT	Primig00_SK1a alpha t 0	Primig00_SK1a alpha 1h	Primig00_SK1a alpha 2h	Primig00_SK1a alpha 3h	Primig00_SK1a alpha 4h	Primig00_SK1a alpha 6h	Primig00_SK1a alpha 8h	Primig00_SK1a alpha 10h	Primig00_SK1alpha alpha t 0	Primig00_SK1alpha alpha 2h	Primig00_SK1alpha alpha 4h	Primig00_SK1alpha alpha 6h	Primig00_SK1alpha alpha 8h	Primig00_W303a alpha t 0	Primig00_W303a alpha 2h	Primig00_W303a alpha 4h	Primig00_W303a alpha 6h	Primig00_W303a alpha 8h	Primig00_W303a alpha 10h	Primig00_W303a alpha 12h	Primig00_W303a a t 0	Primig00_W303a a 2h	Primig00_W303a a 4h	Primig00_ 6h
EWEIGHT			0.4819085221949156	2.190480890470167	0.6876102638801646	-0.5005737793586102	0.9552862919495204	-0.39186175399858114	0.08301534455123587	-1.5001214004721293	-1.7977234319887618	0.5847280463907927	1.5087008833672173	-1.8561785779127649	2.1067169713423852	-0.5556196115842537	-2.111008516576641	-0.4721163377029421	0.30733973761941424	-1.8686046876517606	0.6304044347757022	-2.777090560765347	-0.8404089737560164	1.414665568523167	1.662477516066257	-0.03834498680517939
YDL025C	YDL025C	1.0	-1.1710510410991668	0.6404151171899942	-0.17970110020226981	0.8711416722989402	-0.49752944496860646	-0.5028512729132706	-0.11674939144075897	-0.7881429267365169	-0.5987815444122125	-0.8136064454972196	0.07969919217262139	-1.2119930363256768	0.18476485423294617	-1.2134273938409514	-0.28980358267480943	0.8835701753689088	0.7252338075949246	-0.045224761745259884	-0.42660730339742176	1.7787109549278917	0.6468582915118198	1.728212262942586	0.48074270755438836	1.019609217919253
YPR128C	YPR128C	1.0	1.554220951487067	1.0321191786763348	0.28532963531273575	1.0179586494177333	-1.3999079467662108	0.04451177665940295	-1.7870006491067465	0.3413188451933702	-0.3112340226333007	-2.0295043073806958	-0.5777083020029079	0.19624213567535384	-0.8410733717303602	-0.5183985091912375	-0.8064263901612128	1.1130993349089278	-0.006148966760576928	0.15364214984358363	-0.5619958298973228	-0.8982105931032146	-1.606012391631777	0.26424667602271495	-0.6276858452224892	-0.2825674953276209
YKL032C	YKL032C	1.0	-0.14866036209058361	1.0050495830047106	0.09693363329775141	0.011909113129692981	0.2617566812078149	-0.03092500769092946	-0.282858615270937	-1.4116215405182253	0.6315531144476411	-0.5314859603252368	0.7358926433751671	0.5066064511366636	-0.42409840638364793	0.5275574765095601	-1.1781999701027992	0.6651071676383601	-2.173755548347325	-1.1373146750480372	0.4227479958952833	-0.3675633322573064	0.17302964330495402	1.1753528629011332	0.14299274831098788	0.10813912100646407
YNL325C	YNL325C	1.0	-0.28311281747769956	1.6513200140803141	-1.217367825047106	0.6162047016626189	0.8853097741063519	-2.332182169671364	-0.7889302916763047	0.30488234728951097	0.018665893429755515	-0.47306952189962315	-0.27873983440051714	-1.8441617159066142	-0.8008610476985503	-0.02628180397479689	0.7998433224940855	0.13616384733738415	-0.779201496795825	-0.2530929218199525	1.245065781303373	0.046430657823470355	-0.7233448022104993	0.5916419577101005	-1.5055148650680341	0.9316640755666921
YJR150C	YJR150C	1.0	0.17888464191667744	1.5769469464641923	1.9268714543323944	-0.6211503749648445	1.6371750690749705	-0.7374381748967314	-0.8218460773277744	-0.5742043047670051	0.22218373217502552	0.011641123502761771	-0.0757421989456506	-0.7624560511760226	-1.400081522639272	-1.2121330019450154	-1.6195617173899848	1.442303493793074	-0.5424923191472424	-0.21984878843178526	-0.1617195419155462	0.3897759144430942	-0.5313018326400948	-0.8178756575756315	-1.6620546149700584	1.5758240818844602
YPL201C	YPL201C	1.0	0.692369615313843	-0.935884836319097	1.755076814707955	-0.4222308488249948	0.30912986440282636	0.8630357660577022	1.0579181421300101	0.29600927510817177	1.3347838783059442	0.9152402960353618	-1.8705192623167526	0.9424134441330381	-0.033309486953726326	-0.5155731268678664	0.5069183395234369	1.7970656796251667	0.6492489857154599	-2.3078203537745883	-0.5475666398370692	3.1742684435041064	-0.1345329219111165	-0.5041413610621539	-1.7234609228277367	-1.9942526222563906
YPR097W	YPR097W	1.0	1.962574389492082	0.40429699426652654	-0.006699115608829047	-1.162198257738142	-0.3819397151985124	-0.4426841997818157	0.37131566703337215	1.3800568725054285	-0.11207511065298865	0.5880489286196263	0.7714160107945998	-0.1736785270467075	-0.02773863800950074	0.8506982746026556	-0.28072231744784815	1.4083085204517258	1.4190475654488772	0.8521053290171666	2.0974646269201056	0.812288089696398	0.03768926238083065	0.10349179167906776	-1.5377110060587822	-0.4716315956073781
YER048C	YER048C	1.0	-0.4887769714048979	0.7688079359692923	1.8284185493647567	0.42112952068439075	0.6085606191915401	-1.5287330341898335	0.9658065100498656	-1.118241666724678	-0.38024827550561346	-0.5780581119080959	0.2317843548163809	-0.7498637301535871	0.17813754571645793	-0.03000568919578481	1.375575367985312	-0.16016720839955217	0.8678125567418963	-0.4119542833278077	-0.7662184311208505	-1.855160554612882	0.5489490938631144	0.37505210096645675	-0.3157213709471753	-0.9499587068114038
YIL114C	YIL114C	1.0	-0.6065004218314672	-0.9404803189603668	1.996254774173385	0.7110351602325501	0.9882462784978653	-0.5731618342826897	1.2893782309721111	0.8259896945050016	-0.23182666310674083	-0.04296069551078139	1.00740422374799	-1.482148407123168	-1.7353195860597617	0.8287673572057705	0.3566765243645074	1.6794189231280496	-0.06135806927970891	0.1889423435161902	-1.0856087363657823	-0.2235635165792963	-0.6296050051428168	-1.5087666155416337	-0.9446489695313165	-0.41579102204913404
