GO Term ID,GO Term Name,Num Genes,NN Nes,SPELL NES,NES Difference
GO:0048308,organelle inheritance,57,2.220499721318181,1.9380716374394336,0.2824280838787474
GO:0048311,mitochondrion distribution,26,2.296426250710088,1.9390321535820183,0.3573940971280698
GO:0000001,mitochondrion inheritance,24,2.203042330135064,1.887582757359925,0.31545957277513903
GO:0007005,mitochondrion organization,292,3.410094557938797,3.109154280118449,0.3009402778203478
GO:0000002,mitochondrial genome maintenance,50,2.0801400740976894,2.169483526720437,-0.08934345262274768
GO:0000003,reproduction,516,-1.0777139168736454,-1.555010069923218,0.47729615304957274
GO:0007033,vacuole organization,115,1.810922779638628,1.6830893458929386,0.12783343374568945
GO:0000011,vacuole inheritance,20,1.6926181129692996,1.427059172428822,0.2655589405404777
GO:0006281,DNA repair,314,0.9490123961532672,0.8620848624729417,0.08692753368032546
GO:0051052,regulation of DNA metabolic process,126,-1.0211160862097015,0.918142229984628,-1.9392583161943295
GO:0006310,DNA recombination,254,-1.6799237930610462,-1.3380498718336105,-0.34187392122743576
GO:0000018,regulation of DNA recombination,28,-1.1871628812398605,0.8110638986744809,-1.9982267799143414
GO:0006312,mitotic recombination,57,-0.971950821273082,-0.7861444142139498,-0.1858064070591322
GO:0051231,spindle elongation,25,0.5692636830907226,1.1190085629555382,-0.5497448798648156
GO:1903047,mitotic cell cycle process,368,1.2597927164798786,1.1733553949406348,0.08643732153924377
GO:0000070,mitotic sister chromatid segregation,129,0.8528908708422123,0.6400663933350926,0.21282447750711964
GO:0007052,mitotic spindle organization,42,0.7339600572694065,1.0978801163890748,-0.3639200591196683
GO:0000022,mitotic spindle elongation,24,0.6035254144508384,1.1453907913904204,-0.541865376939582
GO:0005984,disaccharide metabolic process,28,-0.6437147974873074,-1.3421421024616575,0.6984273049743501
GO:0000023,maltose metabolic process,14,0.9848311896715244,-1.9752551367331304,2.960086326404655
GO:0046352,disaccharide catabolic process,13,-0.8987940171307773,-1.4309650056308263,0.532170988500049
GO:0022618,ribonucleoprotein complex assembly,176,-2.174563085907846,-2.1569184306975138,-0.017644655210332427
GO:0042255,ribosome assembly,80,-2.065619987812149,-2.774444027993824,0.7088240401816752
GO:0042273,ribosomal large subunit biogenesis,129,-3.267806615338947,-3.455864577826432,0.18805796248748496
GO:0000027,ribosomal large subunit assembly,41,-2.2612763406349954,-2.8596408688391057,0.5983645282041103
GO:0042274,ribosomal small subunit biogenesis,145,-3.106033376784913,-3.2891878295096504,0.1831544527247373
GO:0000028,ribosomal small subunit assembly,28,-1.2927868434079066,-2.173948316896858,0.8811614734889512
GO:0006057,mannoprotein biosynthetic process,19,0.651200639789018,1.3881262314268743,-0.7369255916378563
GO:0031506,cell wall glycoprotein biosynthetic process,19,0.6478626243633367,1.374499823084175,-0.7266371987208382
GO:0000032,cell wall mannoprotein biosynthetic process,19,0.6501758308423314,1.4046089761515903,-0.7544331453092589
GO:0006631,fatty acid metabolic process,66,2.224400705444992,1.1676645206237888,1.0567361848212031
GO:0000038,very long-chain fatty acid metabolic process,11,1.20763435200411,1.061884571229821,0.1457497807742889
GO:0030001,metal ion transport,101,0.8798626782386902,-0.8171064394262229,1.696969117664913
GO:0000041,transition metal ion transport,64,0.9656750999967072,-0.9937657943451812,1.9594408943418884
GO:0070925,organelle assembly,207,-1.063777388265306,-1.139657581111258,0.07588019284595182
GO:1905037,autophagosome organization,45,1.0134500442635528,1.528085134075874,-0.5146350898123213
