GO Term ID,GO Term Name,ES,p-value,NES (NES*_pos = 1.852881736696634;NES*_neg=None)),Leading-edge subset
GO:0048308,organelle inheritance,-0.29630530461599247,0.34933774834437087,-1.0746391414132666,YBR130C;YEL013W;YER008C;YBR097W;YNL298W;YAL029C;YDR323C;YNL054W;YMR204C;YHL007C
GO:0000003,reproduction,-0.3695888000930293,0.0,-1.5467416825863067,YDR461W;YPL179W;YOL091W;YOR127W;YDL101C;YDR108W;YIL129C;YCL055W;YCR092C;YIL120W;YLR313C;YDR093W;YGR040W;YGL183C;YGR188C;YFR027W;YLR381W;YKL048C;YMR167W;YPL138C;YPL174C;YDR207C;YMR200W;YGL116W;YHR039C;YAL029C;YBR023C;YGL032C;YIR002C;YGL216W;YFR031C;YHR079C-A;YDR440W;YPL055C;YNL243W;YLR329W;YBR130C;YKR031C;YNL273W;YER020W;YPL121C;YCR040W;YFL033C;YIL132C;YJR021C;YLR362W;YAL056W;YPL209C;YDR439W;YOR178C;YOL069W;YDR285W;YHR164C;YLR433C;YOL117W;YFL009W;YKR029C;YJL073W;YLR135W;YOR230W;YOR208W;YER114C;YGL163C;YBR267W;YNL128W;YOR033C;YHL007C;YHR124W;YIR010W;YLR319C;YDR254W;YBR043C;YDR264C;YER166W;YKL089W;YIL017C;YNL127W;YNL210W;YPL130W;YJL170C;YNL078W;YPL204W;YDL216C;YOR191W;YHR111W;YJR066W;YNL161W;YDR208W;YNL250W;YIR025W;YPL164C;YMR133W;YLR086W;YHR005C;YDL159W;YDL017W;YDL155W;YOR014W;YCR091W;YBR081C;YMR043W;YMR139W;YDL227C;YML074C;YIR026C;YER173W
GO:0007033,vacuole organization,-0.2092896378938413,0.5840978593272171,-0.9203640250035834,YEL013W;YKL051W;YPL204W;YDR135C;YJL012C;YNL298W;YGR254W;YOL001W;YDR323C;YNL054W;YDR108W;YDL188C;YIL048W;YHL007C;YMR231W;YOR014W;YLR240W;YIR026C
GO:0000011,vacuole inheritance,-0.2701535165624614,0.6895306859205776,-0.8492437674070679,YEL013W;YNL298W;YDR323C;YNL054W;YHL007C
GO:0006281,DNA repair,-0.22089687664298202,0.2589928057553957,-1.0914489700618017,YMR173W;YDL164C;YDL102W;YJL164C;YIR002C;YML010W;YHR164C;YPL204W;YDL101C;YHR079C-A;YDR440W;YGR258C;YLR135W;YPL167C;YER147C;YDL140C;YML060W;YBR202W;YOR191W;YNL107W;YGL163C;YOR033C;YGL150C;YLR383W;YLR005W;YCL061C;YLR265C;YDR311W;YDR363W;YLR357W;YNL273W;YPL121C;YNL250W;YJR035W;YBR289W;YHL025W;YPR175W;YLR430W;YPL164C;YFR027W;YDR419W;YMR167W;YIL132C;YDR217C;YDL017W;YIL143C;YOR014W;YDR159W;YML023C;YDR489W;YKL114C;YOR328W;YDR030C;YOR386W;YGL113W;YDR439W;YER173W
GO:0051052,regulation of DNA metabolic process,-0.31296742006430694,0.03298350824587706,-1.4274968862004098,YDR285W;YIR002C;YML010W;YDL101C;YDR110W;YLR135W;YOL006C;YKL022C;YOR191W;YGL163C;YHR197W;YJL194W;YCL061C;YLR265C;YNL273W;YER164W;YNL250W;YHR085W;YDR217C;YIL143C;YNL068C;YLR233C;YOR359W;YDR082W;YDR069C;YBR170C
GO:0006310,DNA recombination,-0.3301023130091516,0.0049813200498132005,-1.497424441093754,YDR285W;YDL164C;YIR002C;YKR038C;YHR079C-A;YDR440W;YDR110W;YLR135W;YOL006C;YPL167C;YHL024W;YLR329W;YGR159C;YCR092C;YBR202W;YOR191W;YPL283C;YDL185W;YGL163C;YOR033C;YGL150C;YLR383W;YLR265C;YDR363W;YLR357W;YPL121C;YNL250W;YGR072W;YBR289W;YIR025W;YDR078C;YGL183C;YPL164C;YMR133W;YMR167W;YIL132C;YDL017W;YIL143C;YGL251C;YML023C;YDR489W;YGL201C;YJR021C;YHR039C;YOR023C;YOR328W;YMR080C;YPL194W;YGL113W;YNL210W;YDR439W;YDL227C;YER173W
GO:0000018,regulation of DNA recombination,-0.38922129251899507,0.14602587800369685,-1.3082456545395256,YDR285W;YIR002C;YDR110W;YOL006C;YIL143C
GO:0006312,mitotic recombination,-0.2384035695729265,0.6362038664323374,-0.8809227946491832,YNL250W;YPL283C;YGL163C;YOR033C;YGL150C;YOL006C;YIL143C;YDL227C
GO:0051231,spindle elongation,-0.36161630109736076,0.21963394342762063,-1.1945599865075192,YLR210W;YGL216W;YGR140W;YBL063W;YOR058C;YPR119W;YDL155W
