GO Term ID,GO Term Name,ES,p-value,NES (NES*_pos = 1.5400127239993784;NES*_neg=None)),Leading-edge subset
GO:0048308,organelle inheritance,-2.556456644886993,0.086,-1.2111520858501548,YAL048C
GO:0048311,mitochondrion distribution,-1.2053670565092671,0.1016949152542373,-1.432801666050141,YAL048C
GO:0000001,mitochondrion inheritance,-1.1653559423108812,0.1128747795414462,-1.4184793866650578,YAL048C
GO:0007005,mitochondrion organization,0.9999999999999998,0.0,0.9999999999999999,YNR020C;YIL146C;YPL189C-A;YDL239C;YDR332W;YFL046W;YLR203C;YNL315C;YBR262C;YPL215W;YGL059W;YLR099W-A;YHR117W;YAL048C;YGR049W;YMR159C;YLR253W;YDR379C-A;YDR381C-A;YNL100W;YBR120C;YHL021C;YGR150C;YBL059C-A;YMR257C;YDR493W;YAL008W;YBR269C;YGR062C;YBR227C;YGR223C;YIL157C;YJR100C;YKL037W;YER153C;YEL059C-A;YLR091W;YMR098C;YPR116W;YLR356W;YJL180C;YCR079W;YIL165C;YNL005C;YGR235C;YPL099C;YLL007C;YBR163W;YJL127C-B;YJR034W;YJL127C-A;YNR018W;YGR174C;YNR040W;YNL295W;YJL062W-A;YER058W;YJL197W;YDR185C;YLR038C;YPL250C;YOR019W;YML030W;YOR228C;YLR168C;YJR080C;YIR024C;YKL137W;YMR244C-A;YDR322W;YMR002W;YOR124C;YLR218C;YDL107W;YLR422W;YLR077W;YFR011C;YBR230C;YKR016W;YLR393W;YLR050C;YBR044C;YCL057C-A;YJL185C
GO:0000002,mitochondrial genome maintenance,-1.563978210483329,0.104,-1.1484339930852558,YGR150C;YDR332W;YBR163W;YLR091W
GO:0000003,reproduction,1.1948955916473305,0.296,1.000000000000013,YDL239C
GO:0007033,vacuole organization,3.6999999999999997,0.021,1.000000000000017,YPL250C;YGR223C;YMR159C
GO:0006281,DNA repair,1.3668122270742353,0.09,1.0000000000000178,YBR163W
GO:0051052,regulation of DNA metabolic process,3.0487804878048794,0.071,1.000000000000012,YNL295W
GO:0030001,metal ion transport,6.25,0.0,1.0,YAL048C
GO:0000041,transition metal ion transport,-3.4761904761904723,0.118,-1.1134498642506307,YAL048C
GO:0070925,organelle assembly,1.6721311475409832,0.065,0.9999999999999952,YPL250C;YGR223C
GO:1905037,autophagosome organization,-1.7526097594141523,0.01,-1.5069535127332405,YGR223C;YPL166W
GO:0000045,autophagosome assembly,-1.7408890776663104,0.022,-1.4936020678680442,YGR223C;YPL166W
GO:0043604,amide biosynthetic process,1.1649048625792828,0.205,0.9999999999999856,YNL005C;YPL215W;YMR257C;YBR120C;YLR203C;YJL062W-A;YER153C
GO:1901566,organonitrogen compound biosynthetic process,1.0783068783068797,0.168,1.0000000000000038,YNL005C;YPL215W;YHL021C;YMR159C;YGR223C;YMR257C;YBR120C;YLR203C;YJL062W-A;YLR168C;YER153C
GO:1901605,alpha-amino acid metabolic process,1.9032258064516123,0.0,0.9999999999999837,YFL046W
GO:0006575,cellular modified amino acid metabolic process,-3.3809523809523774,0.164,-1.0771611493764601,YHL021C
GO:0033750,ribosome localization,-1.8000000000000023,0.612,-0.9084180068636099,
GO:0042254,ribosome biogenesis,1.2625000000000006,0.757,0.9999999999999817,YGR150C
GO:0035556,intracellular signal transduction,1.3306122448979631,0.002,1.0000000000000064,YLL007C;YDR322W;YLR422W;YAL048C
GO:0006082,organic acid metabolic process,1.2386363636363682,0.311,1.0000000000000122,YFL046W
GO:1901564,organonitrogen compound metabolic process,1.032003938946332,0.314,0.9999999999999993,YNR020C;YHL021C;YCR079W;YFL046W;YMR257C;YLR203C;YLR168C;YNL005C;YPL215W;YGL059W;YDR322W;YOR124C;YMR159C;YBR227C;YGR223C;YJL062W-A;YER153C;YEL059C-A;YJL197W;YBR120C
GO:1901565,organonitrogen compound catabolic process,1.2447761194029814,0.822,0.9999999999999886,YBR227C;YOR124C;YJL197W
GO:0022607,cellular component assembly,1.0484780157835392,0.894,1.000000000000007,YLR038C;YNR020C;YJL180C;YPL189C-A;YDL239C;YPL250C;YFL046W;YBL059C-A;YMR257C;YLR203C;YNL315C;YML030W;YBR262C;YNL005C;YPL215W;YIR024C;YLR099W-A;YKL137W;YDR493W;YPL099C;YMR244C-A;YBR269C;YDR322W;YJR034W;YLR218C;YGR062C;YNR018W;YGR223C;YGR174C;YLR077W;YIL157C;YDR379C-A;YJL062W-A;YDR381C-A;YER153C;YLR393W;YEL059C-A;YER058W;YBR044C;YMR098C;YBR120C
GO:0006364,rRNA processing,1.3981042654028422,0.198,0.9999999999999901,YGR150C
GO:0071554,cell wall organization or biogenesis,1.3906976744186075,0.586,1.000000000000019,YDL239C
GO:1903046,meiotic cell cycle process,1.428571428571427,0.317,1.000000000000013,YDL239C
GO:0007010,cytoskeleton organization,1.426395939086291,0.375,1.0000000000000138,YLL007C
GO:0043603,cellular amide metabolic process,1.1441774491682086,0.212,1.000000000000017,YNL005C;YPL215W;YMR257C;YBR120C;YLR203C;YJL062W-A;YER153C
GO:0046483,heterocycle metabolic process,1.0397697540554662,0.789,1.0000000000000169,YLR091W;YGR150C;YDR332W;YMR098C;YBR163W;YNL295W;YBR120C;YLR203C;YPR116W
GO:1901360,organic cyclic compound metabolic process,1.0386178861788609,0.109,1.0000000000000124,YLR091W;YGR150C;YDR332W;YMR098C;YBR163W;YNL295W;YBR120C;YLR203C;YPR116W
GO:0046700,heterocycle catabolic process,1.6315789473684248,0.157,1.0000000000000193,YMR098C
GO:1901361,organic cyclic compound catabolic process,1.5915492957746473,0.0,0.9999999999999944,YMR098C
GO:0009059,macromolecule biosynthetic process,1.0551523947750356,0.624,0.9999999999999829,YNL005C;YPL215W;YMR159C;YGR223C;YMR257C;YBR120C;YLR203C;YJL062W-A;YER153C
GO:0009057,macromolecule catabolic process,1.204545454545457,0.186,0.9999999999999866,YBR227C;YOR124C;YMR098C;YJL197W
GO:0007049,cell cycle,1.1152777777777776,0.023,0.999999999999989,YDL239C;YOR019W
GO:0006401,RNA catabolic process,2.0370370370370408,0.14,1.0000000000000169,YMR098C
GO:0006812,cation transport,1.5400000000000014,0.051,1.000000000000015,YLR038C;YML030W;YNR018W;YAL048C
GO:0006979,response to oxidative stress,2.866666666666664,0.0,0.9999999999999993,YJR100C
GO:0022402,cell cycle process,1.1455805892547655,0.362,0.9999999999999934,YDL239C
GO:0070646,protein modification by small protein removal,-1.0243902439024402,0.459,-0.8404485965570291,
GO:0008380,RNA splicing,2.360655737704915,0.376,1.0000000000000036,YLR203C;YGR150C
GO:0016070,RNA metabolic process,1.0610510046367878,0.076,1.0000000000000222,YLR091W;YGR150C;YMR098C;YBR120C;YLR203C;YPR116W
GO:0034470,ncRNA processing,1.2447761194029836,0.55,0.9999999999999903,YGR150C;YPR116W;YLR091W
GO:0006397,mRNA processing,1.6560000000000004,0.764,1.0000000000000204,YLR203C;YGR150C;YBR120C
GO:0016570,histone modification,2.555555555555559,0.4,0.9999999999999793,YOR124C
GO:0006914,autophagy,1.4415584415584404,0.824,0.9999999999999923,YLR422W;YMR159C;YGL059W;YCR079W;YIL146C;YPL250C;YGR223C;YJL185C;YKL037W;YLL007C;YIL165C;YAL008W;YOR019W;YGR049W;YJR100C;YLR356W
GO:0061726,mitochondrion disassembly,-1.103249849742593,0.072,-1.1438596009831805,YGR223C;YGR049W;YPL166W
GO:0000422,autophagy of mitochondrion,-1.103249849742593,0.081,-1.139866518975597,YGR223C;YGR049W;YPL166W
GO:0061912,selective autophagy,-1.4848484848484833,0.693,-0.9118145203078591,
GO:0000423,mitophagy,0.5194545533971298,0.671353251318102,0.8794599593040096,YCR079W
GO:0016237,lysosomal microautophagy,-2.7311574077249343,0.011,-1.267791425085487,YGR223C;YPL166W
