GO Term ID,GO Term Name,ES,p-value,NES (NES*_pos = None;NES*_neg=None)),Leading-edge subset
GO:0048308,organelle inheritance,1.3333333333333326,0.53,1.0000000000000042,YFL039C
GO:0000003,reproduction,1.0279441117764476,0.205,0.9999999999999833,YFL039C
GO:0007033,vacuole organization,1.1400000000000001,0.0,1.0000000000000007,YFL039C
GO:0000011,vacuole inheritance,3.8000000000000016,0.0,0.9999999999999828,YFL039C
GO:0006281,DNA repair,1.0468227424749164,0.0,1.0000000000000075,YFL039C
GO:0051052,regulation of DNA metabolic process,1.1261261261261257,0.252,1.0000000000000098,YOR060C
GO:1903047,mitotic cell cycle process,1.0396600566572232,0.579,0.9999999999999989,YFL039C
GO:0042274,ribosomal small subunit biogenesis,1.1076923076923078,0.0,0.999999999999984,
GO:0043604,amide biosynthetic process,1.0202578268876614,0.189,0.9999999999999843,YKR085C;YJL063C;YIL051C;YBL080C
GO:1901566,organonitrogen compound biosynthetic process,1.0098522167487687,0.054,1.0000000000000122,YJL116C;YKR085C;YBL080C;YJL063C;YIL051C
GO:1901605,alpha-amino acid metabolic process,1.0858895705521472,0.0,1.0000000000000142,YIL051C
GO:0051656,establishment of organelle localization,1.1196581196581192,0.736,1.0000000000000053,YLR370C
GO:0042254,ribosome biogenesis,1.035897435897436,0.0,0.9999999999999825,
GO:0006082,organic acid metabolic process,1.0308056872037916,0.376,0.9999999999999812,YIL051C;YBL080C
GO:0006790,sulfur compound metabolic process,1.1007194244604315,0.073,1.0000000000000087,YCR020C
GO:1901564,organonitrogen compound metabolic process,1.003331746787244,0.778,1.0000000000000042,YJL116C;YKR085C;YBL080C;YCR020C;YCL044C;YFL039C;YJL063C;YIL051C
GO:0016053,organic acid biosynthetic process,1.0769230769230769,0.0,0.9999999999999887,YIL051C
GO:1901565,organonitrogen compound catabolic process,1.0320987654320988,0.0,0.9999999999999828,YCL044C;YIL051C
GO:0008652,cellular amino acid biosynthetic process,1.1228070175438598,0.323,0.9999999999999891,YIL051C
GO:0022607,cellular component assembly,1.010449320794148,0.612,1.0000000000000175,YKL013C;YFL039C;YLR370C;YBR234C;YNR035C
GO:0030866,cortical actin cytoskeleton organization,1.2045454545454544,0.255,0.9999999999999819,YKL013C;YJR065C;YFL039C;YLR370C;YBR234C;YNR035C
GO:0044396,actin cortical patch organization,2.000000000000001,0.0,1.0000000000000004,YKL013C;YJR065C;YLR370C;YBR234C;YNR035C
GO:0006364,rRNA processing,1.0498220640569396,0.854,1.000000000000016,
GO:1901607,alpha-amino acid biosynthetic process,1.1414141414141417,0.586,1.0000000000000244,YIL051C
GO:0071554,cell wall organization or biogenesis,1.0456140350877192,0.903,0.9999999999999879,YJL116C;YFL039C
GO:1903046,meiotic cell cycle process,1.0526315789473677,0.525,0.9999999999999937,YFL039C
GO:0007010,cytoskeleton organization,1.0337078651685394,0.045,0.9999999999999751,YKL013C;YJR065C;YFL039C;YLR370C;YBR234C;YNR035C
GO:0007017,microtubule-based process,1.1400000000000001,0.0,1.0000000000000007,YNR035C
GO:0000226,microtubule cytoskeleton organization,1.152173913043479,0.0,0.999999999999988,YNR035C
GO:0043603,cellular amide metabolic process,1.0180032733224227,0.038,1.0000000000000084,YKR085C;YJL063C;YIL051C;YBL080C
GO:0046483,heterocycle metabolic process,1.004543160020192,0.302,1.0000000000000167,YOR060C;YBL080C;YCR020C;YFL039C;YJL116C
GO:1901360,organic cyclic compound metabolic process,1.0044160942100098,0.063,1.0000000000000075,YOR060C;YBL080C;YCR020C;YFL039C;YJL116C
GO:0009059,macromolecule biosynthetic process,1.0075966850828726,0.819,1.0000000000000182,YKR085C;YJL063C;YIL051C;YBL080C
GO:0009057,macromolecule catabolic process,1.0300429184549353,0.205,1.0000000000000178,YCL044C
GO:0007049,cell cycle,1.0164556962025317,0.0,0.9999999999999849,YOR060C;YFL039C
GO:0000278,mitotic cell cycle,1.037735849056603,0.628,0.9999999999999887,YFL039C
GO:0061640,cytoskeleton-dependent cytokinesis,1.194444444444444,0.535,1.000000000000004,YFL039C
GO:0000281,mitotic cytokinesis,1.197183098591549,0.569,1.0000000000000249,YFL039C
GO:0030010,establishment of cell polarity,1.2222222222222217,0.613,1.0000000000000218,YFL039C
GO:0006979,response to oxidative stress,1.1217391304347821,0.494,0.9999999999999964,YFL039C
GO:0022402,cell cycle process,1.0216383307573422,0.325,0.9999999999999891,YFL039C
GO:0016070,RNA metabolic process,1.0095307917888563,0.0,1.0000000000000073,YBL080C
GO:0034470,ncRNA processing,1.0345679012345679,0.0,0.9999999999999802,
GO:0016570,histone modification,1.1129032258064515,0.0,0.9999999999999996,YFL039C
GO:0000479,"endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",1.3043478260869565,0.798,0.9999999999999837,
GO:0000462,"maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",1.1521739130434783,0.738,0.9999999999999875,
GO:0000466,"maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",1.1772151898734178,0.799,1.0000000000000009,
GO:0000447,"endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",1.4516129032258063,0.0,0.9999999999999826,
GO:0000478,endonucleolytic cleavage involved in rRNA processing,1.3043478260869565,0.781,0.9999999999999837,
GO:0000469,cleavage involved in rRNA processing,1.1971830985915493,0.0,1.000000000000025,
GO:0000460,maturation of 5.8S rRNA,1.1772151898734178,0.809,1.0000000000000009,
GO:0030490,maturation of SSU-rRNA,1.1333333333333333,0.0,0.9999999999999967,
GO:0000967,rRNA 5'-end processing,1.5833333333333333,0.886,1.0000000000000107,
GO:0090501,RNA phosphodiester bond hydrolysis,1.0765027322404372,0.0,0.9999999999999959,
GO:0000472,"endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",1.6666666666666667,0.738,0.9999999999999881,
GO:0090502,"RNA phosphodiester bond hydrolysis, endonucleolytic",1.1085271317829457,0.623,1.0000000000000164,
