GO Term ID,GO Term Name,ES,p-value,NES (NES*_pos = None;NES*_neg=-1.8573122758793692)),Leading-edge subset
GO:0048308,organelle inheritance,-0.916666666666669,0.4649298597194389,-0.872154734251729,
GO:0048311,mitochondrion distribution,0.945054945054945,0.006507592190889371,1.6620953391306554,YGR231C
GO:0000001,mitochondrion inheritance,0.946236559139785,0.00646551724137931,1.6121412053631845,YGR231C
GO:0007005,mitochondrion organization,1.0,0.0,1.0,YLR423C;YBR037C;YBL103C;YKR087C;YMR035W;YCR065W;YFR028C;YOL071W;YOR297C;YFL016C;YIL022W;YDR231C;YLR067C;YLL009C;YLR305C;YIR021W;YOR045W;YGR231C;YMR150C;YHR024C;YPL149W;YDR512C;YDL059C;YBL078C;YNR007C;YPL240C;YGL180W;YIR004W;YGL191W;YML081C-A;YGR033C;YIL042C;YJL104W;YER125W;YOR027W;YLL018C-A;YPL029W;YHR171W;YBL017C;YOL145C;YPR100W;YMR203W;YGR028W;YDL113C;YNL169C;YPL218W;YJL036W;YPR020W;YKL084W;YOR232W;YFR004W;YER017C;YJL143W;YKL141W;YDR322C-A;YPR049C;YGR082W;YGR029W;YLR059C;YJL003W;YAL015C;YGR112W;YJL102W;YBL022C;YGR183C;YKL166C;YDR529C;YDR079W;YPL100W;YNL131W;YBL045C;YDR065W;YLR259C;YPR133W-A;YLR163C;YDL149W;YNL223W;YLR295C;YGR178C;YDR511W;YAL005C;YIL098C;YLL042C;YGR132C;YDL126C;YML129C;YNL328C;YNR032W;YLR090W;YNL242W;YNR017W;YPL063W;YOR043W;YER095W;YNL064C;YPR185W;YEL030W;YOL026C;YML032C;YOR020C;YKR065C;YHR116W;YDR375C;YER083C;YLR008C;YKL011C;YJR045C;YDR022C;YBR217W;YKL134C;YDL069C;YBR279W;YBR024W;YKL195W;YNL138W;YFR021W
GO:0000002,mitochondrial genome maintenance,-0.5223880597014917,0.926,-0.9135792703580904,
GO:0000003,reproduction,1.2756892230576398,0.55,1.0000000000000002,YML032C;YER125W;YER095W;YFR028C;YOL071W;YDR512C
GO:0007033,vacuole organization,-50.000000000000014,0.14,-0.9997394352940275,
GO:0006281,DNA repair,1.5634517766497442,0.073,0.9999999999999979,YML032C;YBR279W;YER095W;YOL145C;YAL015C;YDL059C
GO:0051052,regulation of DNA metabolic process,12.99999999999997,0.796,0.9999999999999978,YML032C;YBR279W;YPL240C;YOL145C;YAL015C;YDL126C;YJR045C;YBL022C;YDL059C
GO:0006310,DNA recombination,1.8248175182481818,0.25,0.9999999999999912,YDL059C;YML032C;YBR279W;YER095W
GO:0000018,regulation of DNA recombination,-0.9438202247191028,0.41898527004909986,-1.0502363461499118,YBR279W
GO:0006312,mitotic recombination,-0.9000000000000015,0.607,-0.8953822148198926,
GO:1903047,mitotic cell cycle process,1.4462151394422307,0.195,0.9999999999999936,YBR279W;YER095W;YOL145C;YDL126C;YFR028C
GO:0007052,mitotic spindle organization,-1.4933333333333352,0.03138373751783167,-1.5253045285878046,YDL126C
GO:0022618,ribonucleoprotein complex assembly,2.9661016949152508,0.0,0.9999999999999861,YPL240C
GO:0006631,fatty acid metabolic process,-1.2745098039215683,0.761,-0.8472146190141067,
GO:0030001,metal ion transport,-6.25,0.14,-0.9878787280073498,
GO:0070925,organelle assembly,2.0888888888888872,0.0,0.9999999999999866,YLR423C;YFR028C;YHR171W;YNL242W;YPR049C;YPR185W;YKL166C;YNL169C;YPL100W;YJL036W;YPL149W;YBR217W;YBL078C;YNR007C;YGL180W;YDL149W;YFR004W;YGR178C;YFR021W
GO:1905037,autophagosome organization,-0.9891374270432325,0.0,-2.100016493267591,YLR423C;YNR007C;YGL180W;YDL149W;YFR028C;YPL100W;YJL036W;YNL242W;YPR185W;YPL149W;YPR049C;YBL078C;YFR021W
GO:0000045,autophagosome assembly,-0.9731556918834199,0.0,-2.165638398567713,YLR423C;YNR007C;YGL180W;YDL149W;YFR028C;YPL100W;YJL036W;YNL242W;YPR185W;YPL149W;YPR049C;YBL078C;YFR021W
GO:0043604,amide biosynthetic process,1.2471655328798172,0.618,1.0000000000000222,YAL005C;YDL069C;YLR067C;YKL166C;YML129C;YPR100W;YJL102W;YGR178C
GO:1901566,organonitrogen compound biosynthetic process,1.106243154435927,0.76,1.0000000000000093,YAL005C;YDR322C-A;YML129C;YHR171W;YLR067C;YPR100W;YJL102W;YKL166C;YNL169C;YPL100W;YPR020W;YPL149W;YBR217W;YDL069C;YNR007C;YNL223W;YLR295C;YML081C-A;YGR178C;YFR021W
GO:0031503,protein-containing complex localization,-4.999999999999998,0.729,-0.9913523075995172,
GO:0033750,ribosome localization,-0.8709677419354825,0.5572519083969466,-0.7527019015914997,
GO:0051168,nuclear export,6.799999999999986,0.726,0.9999999999999808,YER125W
GO:0051656,establishment of organelle localization,8.666666666666655,0.605,0.9999999999999896,YER125W;YPL218W
GO:0042254,ribosome biogenesis,1.3958333333333386,0.243,1.0000000000000104,YBR279W;YER125W;YLR059C
GO:0000054,ribosomal subunit export from nucleus,-0.8412698412698401,0.605060506050605,-0.736640112536506,
GO:0000055,ribosomal large subunit export from nucleus,0.6190476190476188,0.8065395095367848,0.8137125314458705,
GO:0000819,sister chromatid segregation,4.515151515151512,0.599,0.9999999999999929,YDL126C
GO:0140014,mitotic nuclear division,3.1481481481481524,0.447,0.9999999999999757,YFR028C
GO:0035556,intracellular signal transduction,1.521126760563383,0.361,0.9999999999999961,YKR087C;YKL166C;YLR305C;YNL138W;YGR178C;YOR043W
GO:0044772,mitotic cell cycle phase transition,2.67647058823529,0.044,1.0000000000000062,YOL145C;YFR028C;YBR279W
