GO Term ID,GO Term Name,ES,p-value,NES (NES*_pos = 1.5878909827101686;NES*_neg=-1.896553609399479)),Leading-edge subset
GO:0000003,reproduction,-2.043256997455453,0.111,-1.332481518663874,YMR144W
GO:0022618,ribonucleoprotein complex assembly,-0.8144611186903193,0.6122112211221122,-0.9196803074905044,YIL104C
GO:0043604,amide biosynthetic process,-1.6495393891310126,0.457,-0.9879976234024904,YOR302W;YPL111W
GO:1901566,organonitrogen compound biosynthetic process,7.677685950413162,0.761,0.9999999999999888,YDR007W;YIR034C;YHL018W;YDR044W;YCR054C;YNL040W;YEL038W;YGL202W;YJR130C;YER069W;YPL172C;YDL131W;YLR027C;YDR047W;YJR148W;YIL074C;YGR012W;YGL154C;YJR024C;YLR089C;YLL062C;YFL030W;YKL211C;YER091C;YGL184C;YER023W;YDL171C;YFR023W;YGR124W;YDR354W;YNL104C;YPL023C;YGL009C;YCL009C;YPL111W;YER141W;YLL058W;YJL088W;YMR321C;YDR234W;YML096W;YBR248C;YGL040C;YER090W;YDR127W;YER081W;YOL058W;YMR009W;YDR035W;YLR289W;YHR018C;YMR064W;YEL046C;YPL074W;YPR118W;YER014W;YMR108W;YJR016C;YOR108W;YLR438W;YBR166C;YNR050C;YER055C;YHR037W;YCL064C;YER086W;YGL148W;YOR323C;YIL094C;YGR208W;YMR062C;YPR060C;YIL116W;YNL277W;YOR278W;YBR249C;YGL026C;YIL020C;YHR033W;YPR145W;YPR035W;YHR137W;YOR202W;YML082W;YCL030C;YOR302W;YGL125W;YAL062W;YJR085C;YNL316C;YPL252C;YOL140W;YBR115C;YOR176W;YKR069W;YHR208W;YHR025W;YOR375C;YLR142W;YKL132C;YFR025C
GO:1901605,alpha-amino acid metabolic process,0.4609352299336729,0.0,1.7246880735229244,YMR009W;YDR007W;YNL104C;YGL009C;YCL009C;YLR351C;YHR018C;YHR033W;YPR145W;YGR087C;YPR035W;YER069W;YHR112C;YGL196W;YDR019C;YMR108W;YIL168W;YAL062W;YNL316C;YLL058W;YJR016C;YJL088W;YOR108W;YDR111C;YDR234W;YLR027C;YBR166C;YGR012W;YOL140W;YHR037W;YLR089C;YCL064C;YER086W;YFL030W;YLL062C;YHR208W;YER090W;YKL106W;YDR502C;YKL211C;YER091C;YIL094C;YOR375C;YER023W;YMR189W;YLR142W;YDL171C;YOL058W;YMR062C;YLR283W
GO:0006575,cellular modified amino acid metabolic process,-0.29335005265748193,0.8669623059866962,-0.7231241838570039,YNL191W;YMR321C
GO:0031503,protein-containing complex localization,0.8061762840122844,0.06471816283924843,1.3577373203336578,YIR014W
GO:0042254,ribosome biogenesis,-1.6944444444444386,0.08071748878923767,-1.497612330558044,YLL046C
GO:0006355,regulation of DNA-templated transcription,-1.6443148688046931,0.512,-0.8988735589438301,
GO:0006082,organic acid metabolic process,-0.7203533312216958,0.892,-0.9228624422112228,YIL074C;YNL277W;YHR025W;YNL217W;YNL191W
GO:0006790,sulfur compound metabolic process,-0.36124501464992254,0.415014164305949,-1.0164100594305827,YNL277W;YLL057C;YGL184C;YNL191W;YOR285W;YKR069W;YMR321C
GO:1901564,organonitrogen compound metabolic process,1.6321458160729567,0.0,0.999999999999996,YDR007W;YIR034C;YHL018W;YDR044W;YCR054C;YNL040W;YOL057W;YEL038W;YFR044C;YMR178W;YGL202W;YJR130C;YER069W;YHR112C;YPL172C;YGL196W;YGL203C;YER163C;YHR047C;YDL131W;YBR208C;YDR111C;YLR027C;YDR047W;YJR148W;YIL074C;YKL157W;YGR012W;YGL154C;YJR024C;YLR089C;YLL062C;YFL030W;YGL258W-A;YKL211C;YER091C;YPR151C;YGL184C;YER023W;YDL171C;YFR023W;YGR124W;YKL087C;YDR354W;YLR283W;YNL104C;YPL023C;YJR062C;YGL009C;YCL009C;YLR351C;YBR074W;YMR251W;YGR087C;YAL039C;YPL111W;YDR019C;YER141W;YLL058W;YMR114C;YJL088W;YMR321C;YDR234W;YML096W;YCL057W;YBR248C;YPL246C;YGL040C;YKL215C;YBR281C;YER090W;YMR174C;YDR127W;YER081W;YOL058W;YMR009W;YDR035W;YLR289W;YER057C;YHR018C;YDL219W;YMR064W;YEL046C;YDL141W;YDL215C;YPL074W;YPR118W;YPL222W;YER014W;YMR108W;YJR016C;YOR108W;YLR438W;YBR166C;YDR321W;YNR050C;YNL191W;YER055C;YHR037W;YCL064C;YER086W;YDR415C;YGL148W;YKL106W;YDR502C;YOR323C;YIL094C;YGR208W;YMR062C;YPR060C;YBR094W;YIL116W;YNL277W;YOR278W;YBR249C;YGL026C;YIL020C;YHR033W;YPR145W;YHR113W;YDR380W;YPR035W;YHR137W;YOR202W;YML082W;YCL030C;YIL108W;YOR302W;YGL125W;YIL168W;YAL062W;YJR085C;YNL316C;YPL252C;YOL140W;YBR115C;YOR176W;YKR069W;YHR208W;YHR025W;YOR375C;YLR142W;YMR189W;YJR010W;YKL132C;YFR025C
GO:0000096,sulfur amino acid metabolic process,0.2782614288822839,0.7033898305084746,0.8520720588024996,YMR009W;YHR112C;YJR148W;YGR012W;YDR502C;YER091C;YEL038W;YDR380W;YLL062C;YLL058W;YHR208W
GO:0016053,organic acid biosynthetic process,0.38731933891225223,0.010050251256281407,1.3516394545980548,YMR009W;YDR007W;YNL104C;YGL009C;YCL009C;YHR018C;YHR033W;YPR145W;YPR035W;YER069W;YMR108W;YAL062W;YNL316C;YLL058W;YJR016C;YJL088W;YOR108W;YDR234W;YLR027C;YBR166C;YGR012W;YOL140W;YLR089C;YHR037W;YCL064C;YER086W;YFL030W;YLL062C;YHR208W;YER090W;YKL211C;YIL094C;YOR375C;YER023W;YLR142W;YDL171C;YOL058W;YMR062C
GO:0044272,sulfur compound biosynthetic process,-0.2879301264725383,0.7312252964426877,-0.8464153309675135,YNL277W;YMR321C;YGL184C;YKR069W
GO:0000097,sulfur amino acid biosynthetic process,-0.28231047176837115,0.6252983293556086,-0.8865829824834209,YNL277W;YMR321C;YGL184C;YKR069W
GO:0016054,organic acid catabolic process,0.5317888023569197,0.0022727272727272726,1.567147344015902,YDR111C;YLR027C;YHR137W;YDL215C;YKL106W;YGL196W;YJR148W;YDR380W;YGR087C;YDR019C;YLR142W;YMR189W;YLR089C;YCL064C;YER086W;YHR037W;YHR208W
GO:0044273,sulfur compound catabolic process,-0.4387263470598207,0.5261958997722096,-0.9417168474117203,YNL191W;YLL057C
GO:1901565,organonitrogen compound catabolic process,-0.847168053882236,0.693,-0.9466407356907315,YPL111W;YMR174C;YPR151C;YHR047C;YNL191W
GO:0008652,cellular amino acid biosynthetic process,0.4151736509694175,0.00392156862745098,1.6038932845145684,YMR009W;YDR007W;YNL104C;YGL009C;YCL009C;YHR018C;YHR033W;YPR145W;YPR035W;YER069W;YMR108W;YAL062W;YNL316C;YLL058W;YJR016C;YJL088W;YOR108W;YDR234W;YLR027C;YBR166C;YGR012W;YOL140W;YLR089C;YHR037W;YCL064C;YER086W;YFL030W;YLL062C;YHR208W;YER090W;YKL211C;YIL094C;YOR375C;YER023W;YLR142W;YDL171C;YOL058W;YMR062C
GO:0051703,biological process involved in intraspecies interaction between organisms,0.4401004363513863,0.7724770642201835,0.8002951804695567,YAL063C
GO:0022607,cellular component assembly,15.111111111111065,0.1,0.9999999999999897,YML050W;YMR191W;YMR123W;YNL240C;YAL039C;YER048W-A;YIL104C;YMR031C;YLR199C;YGR131W;YGR106C;YKL050C;YGR105W;YPL252C;YDR132C;YHR195W;YGR232W;YMR086W;YDL189W;YKL087C
GO:0006568,tryptophan metabolic process,0.5870254180361261,0.12302284710017575,1.337805343832172,YER090W;YGR087C;YDR007W;YKL211C
GO:0009073,aromatic amino acid family biosynthetic process,0.3411737469893548,0.5666131621187801,0.9215584808241818,YER090W;YHR137W;YDR007W;YKL211C;YBR166C;YNL316C
GO:1901607,alpha-amino acid biosynthetic process,0.4686601900532989,0.0,1.7583627338600722,YMR009W;YDR007W;YNL104C;YGL009C;YCL009C;YHR018C;YHR033W;YPR145W;YPR035W;YER069W;YMR108W;YAL062W;YNL316C;YLL058W;YJR016C;YJL088W;YOR108W;YDR234W;YLR027C;YBR166C;YGR012W;YOL140W;YLR089C;YHR037W;YCL064C;YER086W;YFL030W;YLL062C;YHR208W;YER090W;YKL211C;YIL094C;YOR375C;YER023W;YLR142W;YDL171C;YOL058W;YMR062C
GO:0007017,microtubule-based process,0.6083123425692702,0.8215859030837004,0.8045481062398878,
GO:0043603,cellular amide metabolic process,-2.1817581495395357,0.478,-0.9916549215349103,YNL191W
GO:0046483,heterocycle metabolic process,1.8012879484821083,0.003,1.000000000000026,YDR007W;YHL018W;YPL023C;YDR044W;YOR278W;YNL040W;YDL219W;YGL026C;YIL020C;YER064C;YDR380W;YGR087C;YMR178W;YER069W;YPL172C;YER014W;YGL125W;YER141W;YJR085C;YOR017W;YBR208C;YDR047W;YLR438W;YLR082C;YPL252C;YGL040C;YOR176W;YMR318C;YHR121W;YIR001C;YKR069W;YER090W;YKL211C;YOR323C;YER023W;YKL132C;YFR023W;YDR354W
GO:1901360,organic cyclic compound metabolic process,1.753496503496472,0.862,0.9999999999999927,YDR007W;YDR035W;YHL018W;YPL023C;YDR044W;YOR278W;YNL040W;YBR249C;YDL219W;YGL026C;YIL020C;YER064C;YDR380W;YGR087C;YMR178W;YGL202W;YER069W;YHR137W;YPL172C;YER014W;YGL125W;YER141W;YJR085C;YNL316C;YOR017W;YBR208C;YDR047W;YLR438W;YLR082C;YBR166C;YPL252C;YGL040C;YOR176W;YMR318C;YHR121W;YIR001C;YKR069W;YER090W;YGL148W;YKL211C;YOR323C;YDR127W;YER023W;YKL132C;YFR023W;YDR354W;YPR060C
GO:0046700,heterocycle catabolic process,0.483495169199347,0.8106060606060606,0.7987842657830955,YGR087C
GO:1901361,organic cyclic compound catabolic process,0.3861425793249288,0.9025787965616046,0.7422543737555547,YDR380W;YGR087C
GO:0005976,polysaccharide metabolic process,-0.5149290035700383,0.1673228346456693,-1.28731226527004,YLR273C;YKR058W;YFR015C;YEL011W;YHR047C;YLR258W;YFR017C;YPR160W
GO:0009059,macromolecule biosynthetic process,2.6101083032491195,0.086,1.0000000000000184,YER069W;YLR273C;YPL074W;YLR289W;YKR058W;YFR015C;YEL011W;YNL040W;YIL045W;YOR302W;YER064C;YLR258W;YJL137C;YMR064W;YFR023W;YPR184W;YFR017C
GO:0016051,carbohydrate biosynthetic process,-0.524221547014465,0.16893203883495145,-1.2807847660449365,YLR258W;YEL011W;YKR058W
GO:0000271,polysaccharide biosynthetic process,-0.5905138706690205,0.07838983050847458,-1.440367528850521,YLR258W;YEL011W;YKR058W
GO:0009057,macromolecule catabolic process,-1.2785758518803723,0.411,-1.0155701094381586,YPR151C;YMR174C
