GO Term ID,GO Term Name,ES,p-value,NES (NES*_pos = None;NES*_neg=None)),Leading-edge subset
GO:0048308,organelle inheritance,-2.2947581646060953,0.227,-1.0594585561916343,YDL239C
GO:0048311,mitochondrion distribution,-1.051724137931035,0.15639097744360902,-1.3647277796528487,YAL048C;YDL239C
GO:0000001,mitochondrion inheritance,-1.016666666666668,0.14064914992272023,-1.373588926800049,YAL048C;YDL239C
GO:0007005,mitochondrion organization,1.0000000000000004,0.0,1.0000000000000002,YBR230C;YER153C;YER058W;YLR168C;YBR120C;YKL037W;YMR257C;YNL295W;YNR018W;YDR332W;YLR091W;YGR049W;YLR218C;YGR174C;YLR393W;YIR024C;YNL315C;YLR038C;YMR159C;YOR228C;YAL008W;YFR011C;YMR098C;YBR227C;YBR269C;YJR080C;YIL157C;YDR493W;YDR379C-A;YLR077W;YPL215W;YMR244C-A;YJR100C;YLL007C;YAL048C;YFL046W;YNL005C;YNL100W;YBL059C-A;YKR016W;YLR253W;YKL137W;YPL166W;YNR020C;YGR062C;YJR034W;YBR163W;YIL146C;YLR356W;YLR050C;YGR223C;YEL059C-A;YLR422W;YLR203C;YNR040W;YHL021C;YOR124C;YGR150C;YOR019W;YDR185C;YML030W;YJL127C-B;YBR262C;YDR322W;YLR099W-A;YGL059W;YCR079W;YDL107W;YJL185C;YBR044C;YJL062W-A;YPL099C;YDR381C-A;YPL250C;YDL239C;YGR235C;YMR002W;YJL180C;YIL165C;YHR117W;YJL197W;YCL057C-A;YPR116W
GO:0000002,mitochondrial genome maintenance,-1.39668383615745,0.353,-1.0115760645648821,YPR116W
GO:0000003,reproduction,1.1921296296296304,0.836,0.9999999999999946,YDL239C
GO:0007033,vacuole organization,3.5806451612903203,0.573,1.0000000000000129,YGR223C;YPL166W;YMR159C;YPL250C
GO:0006281,DNA repair,1.3608695652173903,0.451,0.9999999999999943,YBR163W
GO:0051052,regulation of DNA metabolic process,2.9761904761904736,0.0,1.0000000000000224,YNL295W
GO:0030001,metal ion transport,5.88235294117646,0.0,0.9999999999999903,YAL048C
GO:0000041,transition metal ion transport,-3.1499999999999932,0.959,-0.9618467457518316,
GO:0070925,organelle assembly,1.658536585365853,0.255,0.9999999999999891,YGR223C;YPL166W;YPL250C
GO:1905037,autophagosome organization,-1.4872575926104334,0.046,-1.2683580282917652,YPL166W;YMR159C;YPL250C
GO:0000045,autophagosome assembly,-1.365471473359456,0.195,-1.165870087853605,YPL166W;YPL250C
GO:0043604,amide biosynthetic process,1.1624472573839648,0.815,0.9999999999999933,YER153C;YPL215W;YJL062W-A;YLR203C;YBR120C;YNL005C;YMR257C
GO:1901566,organonitrogen compound biosynthetic process,1.0771670190274845,0.37,1.0000000000000198,YGR223C;YER153C;YPL215W;YJL062W-A;YLR203C;YMR159C;YLR168C;YBR120C;YNL005C;YMR257C;YHL021C
GO:1901605,alpha-amino acid metabolic process,1.882978723404258,0.565,1.000000000000013,YFL046W
GO:0006575,cellular modified amino acid metabolic process,-3.1499999999999937,0.934,-0.9591961023142392,
GO:0033750,ribosome localization,-1.862068965517244,0.375,-0.9094430503393621,
GO:0042254,ribosome biogenesis,1.2585669781931428,0.379,1.000000000000009,YGR150C
GO:0035556,intracellular signal transduction,1.3252032520325203,0.591,1.000000000000001,YAL048C;YDR322W;YLL007C;YLR422W
GO:0006082,organic acid metabolic process,1.235127478753539,0.408,1.0000000000000024,YFL046W
GO:1901564,organonitrogen compound metabolic process,1.0314960629921262,0.385,1.0000000000000067,YER153C;YLR168C;YBR120C;YBR227C;YNR020C;YGL059W;YCR079W;YMR257C;YJL062W-A;YGR223C;YEL059C-A;YPL215W;YLR203C;YFL046W;YNL005C;YMR159C;YHL021C;YOR124C;YJL197W;YDR322W
GO:1901565,organonitrogen compound catabolic process,1.241071428571428,0.318,1.000000000000006,YBR227C;YOR124C;YJL197W
GO:0022607,cellular component assembly,1.047297297297299,0.006,1.000000000000007,YER153C;YER058W;YLR099W-A;YMR098C;YBR120C;YKL137W;YPL166W;YBR269C;YNR020C;YGR062C;YJR034W;YMR257C;YBR044C;YJL062W-A;YIL157C;YPL099C;YNR018W;YDR381C-A;YPL250C;YDR493W;YDR379C-A;YLR218C;YGR223C;YLR077W;YEL059C-A;YPL215W;YDL239C;YMR244C-A;YLR203C;YGR174C;YLR393W;YIR024C;YNL315C;YFL046W;YNL005C;YLR038C;YJL180C;YBL059C-A;YML030W;YBR262C;YDR322W
GO:0006364,rRNA processing,1.391509433962266,0.562,1.0000000000000067,YGR150C
GO:0071554,cell wall organization or biogenesis,1.3842592592592584,0.109,0.9999999999999906,YDL239C
GO:1903046,meiotic cell cycle process,1.4213197969543137,0.125,0.9999999999999953,YDL239C
GO:0007010,cytoskeleton organization,1.419191919191917,0.33,1.0000000000000002,YLL007C
GO:0043603,cellular amide metabolic process,1.1420664206642053,0.793,1.0000000000000198,YER153C;YPL215W;YJL062W-A;YLR203C;YBR120C;YNL005C;YMR257C
GO:0046483,heterocycle metabolic process,1.0392259414225937,0.171,0.999999999999987,YPR116W;YNL295W;YMR098C;YLR203C;YGR150C;YBR163W;YBR120C;YDR332W;YLR091W
GO:1901360,organic cyclic compound metabolic process,1.0380904012188932,0.033,0.9999999999999841,YPR116W;YNL295W;YMR098C;YLR203C;YGR150C;YBR163W;YBR120C;YDR332W;YLR091W
GO:0046700,heterocycle catabolic process,1.61940298507462,0.896,0.999999999999986,YMR098C
GO:1901361,organic cyclic compound catabolic process,1.5804195804195877,0.064,0.9999999999999846,YMR098C
GO:0009059,macromolecule biosynthetic process,1.0543872371283516,0.65,0.9999999999999906,YGR223C;YER153C;YPL215W;YJL062W-A;YLR203C;YMR159C;YBR120C;YNL005C;YMR257C
GO:0009057,macromolecule catabolic process,1.2015113350125974,0.101,1.0000000000000109,YBR227C;YJL197W;YOR124C;YMR098C
GO:0007049,cell cycle,1.1137309292649098,0.006,1.000000000000013,YOR019W;YDL239C
GO:0006401,RNA catabolic process,2.0121951219512204,0.0,1.0000000000000056,YMR098C
GO:0006812,cation transport,1.5298013245033129,0.626,1.0000000000000087,YAL048C;YNR018W;YLR038C;YML030W
GO:0006979,response to oxidative stress,2.804347826086964,0.027,0.9999999999999916,YJR100C
GO:0022402,cell cycle process,1.143598615916954,0.138,0.9999999999999901,YDL239C
GO:0070646,protein modification by small protein removal,-1.0500000000000007,0.658,-0.8652969605317644,
GO:0008380,RNA splicing,2.322580645161289,0.308,1.0,YGR150C;YLR203C
GO:0016070,RNA metabolic process,1.0602316602316595,0.562,0.999999999999988,YPR116W;YMR098C;YGR150C;YLR203C;YBR120C;YLR091W
GO:0034470,ncRNA processing,1.2410714285714284,0.0,1.0000000000000064,YGR150C;YPR116W;YLR091W
GO:0006397,mRNA processing,1.6428571428571408,0.661,1.0000000000000104,YBR120C;YLR203C;YGR150C
GO:0016570,histone modification,2.5090909090909035,0.65,1.000000000000001,YOR124C
