GO Term ID,GO Term Name,ES,p-value,NES (NES*_pos = None;NES*_neg=-1.9219163568065676)),Leading-edge subset
GO:0048308,organelle inheritance,-1.0000000000000004,0.44,-0.8616720701843419,
GO:0048311,mitochondrion distribution,0.8604651162790695,0.027210884353741496,1.453355324923777,YGR132C
GO:0000001,mitochondrion inheritance,0.8636363636363636,0.07589285714285714,1.4387414627706199,YGR132C
GO:0007005,mitochondrion organization,1.0000000000000002,0.0,1.0,YKL084W;YER095W;YLL009C;YJL102W;YDR511W;YLR008C;YGR082W;YDR022C;YNR007C;YCR065W;YIR004W;YLR423C;YPL240C;YIR021W;YBL045C;YGR132C;YDL069C;YNL138W;YKL195W;YML081C-A;YIL098C;YKR087C;YNR032W;YDR322C-A;YAL005C;YKL166C;YBR037C;YNL169C;YGR112W;YPL100W;YJL003W;YGL191W;YER083C;YKL134C;YIL022W;YLR305C;YFR028C;YBL103C;YOR045W;YOR027W;YNL328C;YPR133W-A;YNL242W;YPL029W;YNL131W;YBR024W;YER017C;YNR017W;YBR279W;YNL064C;YFR004W;YML129C;YGR183C;YKR065C;YNL223W;YMR150C;YBR217W;YLR163C;YDR231C;YJL036W;YPL063W;YPL218W;YDR529C;YMR035W;YLR259C;YLR059C;YGR231C;YBL022C;YDL113C;YOR043W;YBL017C;YOL145C;YKL011C;YHR116W;YHR024C;YDR079W;YDR375C;YOL071W;YEL030W;YDL126C;YGR033C;YPR100W;YLL018C-A;YDR512C;YJL143W;YLL040C;YOR297C;YOR020C;YER125W;YML032C;YAL015C;YBL078C;YGR029W;YHR171W;YLR295C;YKL141W;YFL016C;YLR090W;YOR232W;YJR045C;YPL149W;YLR067C;YLL042C;YDR065W;YJL104W;YMR203W;YOL026C;YGR178C;YGR028W;YDL149W;YPR020W
GO:0000002,mitochondrial genome maintenance,-0.6615180430074097,0.33733733733733734,-1.0383077402620517,YDL059C
GO:0000003,reproduction,1.2599009900990101,0.066,1.0000000000000073,YER095W;YFR028C;YER125W;YDR512C;YOL071W;YLL040C;YML032C
GO:0007033,vacuole organization,34.66666666666664,0.01,0.99999999999999,YBL078C;YFR028C;YHR171W;YBR217W;YJL036W;YNR007C;YPL100W;YDL149W;YNL242W;YLR423C;YPL149W
GO:0006281,DNA repair,1.524752475247525,0.681,0.999999999999983,YAL015C;YER095W;YBR279W;YOL145C;YML032C
GO:0051052,regulation of DNA metabolic process,8.357142857142849,0.022,0.9999999999999883,YAL015C;YDL126C;YBL022C;YBR279W;YOL145C;YJR045C;YML032C;YPL240C
GO:0006310,DNA recombination,1.7605633802816893,0.099,1.0000000000000147,YBR279W;YML032C;YER095W
GO:0000018,regulation of DNA recombination,-0.6547619047619045,0.8201320132013201,-0.7044426596778963,YBR279W
GO:0006312,mitotic recombination,-1.6909090909090871,0.017,-1.517932912876941,YDL059C;YML032C;YER095W
GO:1903047,mitotic cell cycle process,1.41796875,0.094,1.0,YDL126C;YER095W;YFR028C;YBR279W;YOL145C
GO:0007052,mitotic spindle organization,-1.3142857142857116,0.23789764868603042,-1.2892446649739295,YDL126C
GO:0022618,ribonucleoprotein complex assembly,2.734375,0.0,1.0,YPL240C
GO:0006631,fatty acid metabolic process,-1.5869565217391324,0.327,-0.9856739714559621,YER125W
GO:0030001,metal ion transport,-9.090909090909093,0.337,-0.9942828734775114,
