GO Term ID,GO Term Name,ES,p-value,NES (NES*_pos = None;NES*_neg=-1.9974398082827034)),Leading-edge subset
GO:0048308,organelle inheritance,1.0,0.0,1.0626636152623636,YGR231C
GO:0048311,mitochondrion distribution,1.0,0.0,1.680797884522189,YGR231C
GO:0000001,mitochondrion inheritance,1.0,0.0,1.6624591768913293,YGR231C
GO:0007005,mitochondrion organization,1.0000000000000002,0.0,1.0,YIR021W;YDL059C;YGR231C;YIL098C;YMR035W;YDR511W;YBR279W;YLL040C;YDL113C;YKL084W;YDR231C;YDR065W;YBL022C;YPR049C;YDR322C-A;YPL100W;YPL218W;YGL191W;YER017C;YBL078C;YJR045C;YGR132C;YLR059C;YLR305C;YNL328C;YIR004W;YML081C-A;YHR116W;YML129C;YHR024C;YLR163C;YGR082W;YER095W;YOR027W;YFR021W;YBL103C;YJL104W;YNR017W;YER125W;YOR232W;YPR020W;YGR028W;YNL169C;YEL030W;YIL042C;YHR171W;YLR295C;YJL003W;YLL042C;YAL005C;YBR037C;YLL009C;YNR032W;YKL166C;YGR033C;YOR045W;YDL069C;YPR133W-A;YOR297C;YDR512C;YBR024W;YPL029W;YFR004W;YDR375C;YOL026C;YLR090W;YGR112W;YBL017C;YPL063W;YNR007C;YLR067C;YJL036W;YDR529C;YFL016C;YOL145C;YOL071W;YOR020C;YFR028C;YIL022W;YPL149W;YPL240C;YKL011C;YNL131W;YBL045C;YGR178C;YGR183C;YGL180W;YPR185W;YJL102W;YDR022C;YLR008C;YKL134C;YKL195W;YCR065W;YNL223W;YDL149W;YKL141W;YGR029W;YKR087C;YML032C;YDL126C;YER083C;YKR065C;YOR043W;YMR150C;YNL242W;YDR079W;YMR203W;YLR423C;YNL138W;YPR100W;YLR259C;YNL064C;YAL015C;YJL143W;YBR217W
GO:0000002,mitochondrial genome maintenance,-0.5223880597014923,0.5725725725725725,-0.9067375087636055,
GO:0000003,reproduction,1.2756892230576393,0.692,0.9999999999999998,YOL071W;YML032C;YER095W;YDR512C;YFR028C;YER125W;YLL040C
GO:0007033,vacuole organization,-50.0,0.338,-0.9997365863790699,
GO:0006281,DNA repair,1.5634517766497427,0.173,0.9999999999999996,YOL145C;YDL059C;YML032C;YER095W;YAL015C;YBR279W
GO:0051052,regulation of DNA metabolic process,12.999999999999972,0.242,0.999999999999998,YOL145C;YDL059C;YBL022C;YML032C;YDL126C;YAL015C;YPL240C;YJR045C;YBR279W
GO:0006310,DNA recombination,1.8248175182481798,0.807,0.9999999999999901,YML032C;YBR279W;YDL059C;YER095W
